"ACT_WHORED_Z_AGRIZOOPHOBIA": "Je to velkej problém."
"ACT_WHORED_Z_BDSM": "Nelituje je, jsou za to placení."
"ACT_WHORED_BEERMUSCLES": "Tvoje pěsti jsou ta nejlepší zbraň."
"ACT_WHORED_BRUTES_FAIL": "Utíkej, nebo tě rozšlapou!"
"ACT_PIMPING_NAME": "SOUBOJ PASÁKŮ"
"ACT_ACTIVITY_DESCRIPTION_1": "Respekt si nejsnáze získáš prostřednictvím miniher.  "
"CHOPSHOP_VIEW_DETAILS": "PODROBNOSTI"
"ACT_TORCH_START_TEXT2": "NASBÍREJ BONUSOVÉ BODY ZA ZAPALOVÁNÍ LIDÍ A VOZIDEL."
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "{RECRUIT_DISMISS_IMG} NAVERBUJ [format][color:green]KONKTAKT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "PŘIVEZ [format][color:green]ŠTĚTKY[/format] ZPÁTKY K [format][color:teal]ZIMOSOVI[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "VÝBĚR ÚROVNĚ STRÁŽNÉHO ANDĚLA"
"ACT_WHORED_Z_SURVIVAL_HORROR": "Nikde kolem žádné byliny."
"ACT_WHORED_A_KEEP_AWAY": "Tihle zombíci rádi vybuchujou."
"ACT_WHORED_D_SR_DESIGN": "Je to alegorie."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Vrať se do oblasti!"
"ACT_WHORED_MALLCOP": "Za spravedlnost!"
"ACT_RUNNING_MAN_BUTTON": "Chceš stisknout tlačítko?"
"STRONGHOLD_FAILURE_SUB_TEXT": "PEVNOST SKONČILA NEZDAREM"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "[format][color:green]ŠLAPKY[/format] BYLY ZATČENY, JDI ZA NĚ ZAPLATIT KAUCI"
"ACT_WHORED_Z_GROUP_RATE": "Poplatky jsou nekřesťanský."
"ACT_WHORED_WEENIEROAST_FAIL": "Maso je třeba pořádně propéct!"
"ACT_WHORED_NUTSHOTS": "Rána pěstí do koulí."
"HORDE_LEVEL_ZOMBIE": "OSTROV ZOMBÍKŮ"
