"ACT_WHORED_Z_AGRIZOOPHOBIA": "Es un gran problema."
"ACT_WHORED_Z_BDSM": "No te sientas mal, han pagado por ello."
"ACT_WHORED_BEERMUSCLES": "Los puños son tu mejor arma."
"ACT_WHORED_BRUTES_FAIL": "¡Hay que estar bien atento!"
"ACT_PIMPING_NAME": "CHULEO"
"ACT_ACTIVITY_DESCRIPTION_1": "La forma más rápida de lograr respeto es realizando ACTIVIDADES. "
"CHOPSHOP_VIEW_DETAILS": "VER DETALLES"
"ACT_TORCH_START_TEXT2": "ACUMULA TIEMPO DE BONIFICACIÓN PRENDIENDO FUEGO A LA GENTE Y LOS VEHÍCULOS"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "PULSA {RECRUIT_DISMISS_IMG} PARA RECLUTAR AL [format][color:green]CONTACTO[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "LLEVA A LAS [format][color:green]CHICAS[/format] DE VUELTA CON [format][color:teal]ZIMOS[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "SELECCIÓN DE NIVEL DE ÁNGEL DE LA GUARDA"
"ACT_WHORED_Z_SURVIVAL_HORROR": "No hay flipados por aquí."
"ACT_WHORED_A_KEEP_AWAY": "A estos zombis les gusta hacer pum."
"ACT_WHORED_D_SR_DESIGN": "Es una alegoría."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "¡Vuelve al área!"
"ACT_WHORED_MALLCOP": "¡Justicia en el hipermercado!"
"ACT_RUNNING_MAN_BUTTON": "¿Pulsar el botón?"
"STRONGHOLD_FAILURE_SUB_TEXT": "FORTALEZA FRACASADA"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "HAN ARRESTADO A LAS [format][color:green]CHICAS[/format] PÁGALES LA FIANZA"
"ACT_WHORED_Z_GROUP_RATE": "El precio de la sesión está por las nubes."
"ACT_WHORED_WEENIEROAST_FAIL": "La carne hay que cocinarla antes de metérsela en la boca."
"ACT_WHORED_NUTSHOTS": "Un puñetazo en la entrepierna."
"HORDE_LEVEL_ZOMBIE": "ISLA DE ZOMBIS"
"ACT_VANDAL_BONUS_BLANK": ""
