"ACT_WHORED_Z_AGRIZOOPHOBIA": "C'est un gros problème."
"ACT_WHORED_Z_BDSM": "Ne culpabilise pas, ils ont payé pour ça."
"ACT_WHORED_BEERMUSCLES": "Tes poings sont ta meilleure arme."
"ACT_WHORED_BRUTES_FAIL": "Tu dois rester vigilant!"
"ACT_PIMPING_NAME": "MAC À DAMES"
"ACT_ACTIVITY_DESCRIPTION_1": "La façon la plus rapide de gagner du respect est d'accomplir des ACTIVITÉS. "
"CHOPSHOP_VIEW_DETAILS": "VOIR DÉTAILS"
"ACT_TORCH_START_TEXT2": "GAGNE DU TEMPS BONUS EN ENFLAMMANT LES GENS ET LES VÉHICULES"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "APPUIE SUR {RECRUIT_DISMISS_IMG} POUR RECRUTER LE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "RAMÈNE LES [format][color:green]PUTES[/format] CHEZ [format][color:teal]ZIMOS[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "CHOIX DU NIVEAU ANGE GARDIEN"
"ACT_WHORED_Z_SURVIVAL_HORROR": "Il n'y a pas d'herbe par ici."
"ACT_WHORED_A_KEEP_AWAY": "Ces zombies adorent s'éclater."
"ACT_WHORED_D_SR_DESIGN": "C'est une allégorie."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Reviens dans la zone!"
"ACT_WHORED_MALLCOP": "La sécurité avant tout!"
"ACT_RUNNING_MAN_BUTTON": "Appuie sur la touche?"
"STRONGHOLD_FAILURE_SUB_TEXT": "ÉCHEC DU BASTION"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "LES [format][color:green]PUTES[/format] ONT ÉTÉ ARRÊTÉES, VA PAYER LEUR CAUTION"
"ACT_WHORED_Z_GROUP_RATE": "Ça coûte la peau du cul."
"ACT_WHORED_WEENIEROAST_FAIL": "Il faut cuire la viande avant de la mettre dans la bouche."
"ACT_WHORED_NUTSHOTS": "Un coup dans l'entrejambe."
"HORDE_LEVEL_ZOMBIE": "L'ÎLE AUX ZOMBIES"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "BIEN JOUÉ! LES FLICS ONT PERDU TA TRACE."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "DOWNTOWN"
"ACT_FRAUD_EARN_MONEY": "TU NE PEUX GAGNER DE L'ARGENT QUE DANS LES [format][color:teal]ZONES DE SCORE[/format] INDIQUÉES"
"HASH_6F9BAA83": "LIEUTENANTS TUÉS :"
"ACT_WHORED_A_AY_DIOS_MIO": "L'esprit de la Lucha Libre!"
"ACT_CHOP_SHOP_TITLE": "CHOIX DU NIVEAU GARAGE CLANDESTIN"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "TU AS DÉTRUIT LE VÉHICULE"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "RAMÈNE LES [format][color:green]CONTACTS[/format]"
"ACT_WHORED_Z_VEGAN": "Arrête le massacre"
"ACT_WHORED_Z_MURDER_BENDER": "Qu'est-ce qui s'est passé la nuit dernière?"
"ACT_WHORED_MINIFURRIES_FAIL": "Quelle mort adorable."
"ACT_WHORED_SONICBOOMSTICK": "Ce flingue est plutôt classe."
"ACT_WHORED_DRUNKEN_BOXING": "Quand tu es saoul, tu as une force incroyable."
"ACT_ESCORT_TIGER_START": "DÉMARRER ESCORTE TIGRE"
"ACT_FRAUD_GO_GET_HURT": "Appuie sur {ATTACK_PRIMARY_IMG} ou {ATTACK_SECONDARY_IMG} pour plonger. Plus la chute est dure, plus tu gagnes d'argent"
"HASH_C2FADF85": "AMÈNE LE [format][color:green]CLIENT[/format] AU [format][color:teal]CLUB DE STRIP-TEASE[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "T'as plus de mal à apprendre à viser qu'à apprendre à boire."
"ACT_WHORED_FLAMEBRUTE_FAIL": "C'était peut-être trop chaud pour toi?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "CONSEIL : Si tu charges complètement le flingue, tu feras directement exploser l'ennemi!"
"ACT_HITMAN_TITLE": "CHOIX DU NIVEAU TUEUR À GAGES"
"ACT_TORCH_TIME_LABEL_TEXT": "TEMPS"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Aide tes [format][color:green]potes[/format] à rejoindre [format][color:blue]leur destination[/format]."
"ACT_ESCORT_PI_SPAWNED": "ÉCHAPPE AU [format][color:red]DÉTECTIVE PRIVÉ[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "L'emplacement est indiqué."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Commence à sculpter."
"MISSION_FAILURE_DIED_TEXT": "T'ES MORT"
"ACT_ZOMBIE_HUD_SCORE": "SCORE : "
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "TU N'AS PLUS DE TEMPS"
