"ACT_WHORED_Z_AGRIZOOPHOBIA": "È un grosso problema."
"ACT_WHORED_Z_BDSM": "Niente paura: hanno pagato per questo."
"ACT_WHORED_BEERMUSCLES": "I pugni sono la tua arma migliore."
"ACT_WHORED_BRUTES_FAIL": "Stai in guardia!"
"ACT_PIMPING_NAME": "PAPPONE"
"ACT_ACTIVITY_DESCRIPTION_1": "Il modo più veloce di guadagnare rispetto è con le MODALITÀ. "
"CHOPSHOP_VIEW_DETAILS": "VISUALIZZA DETTAGLI"
"ACT_TORCH_START_TEXT2": "ACCUMULA TEMPO BONUS DANDO FUOCO A PERSONE E VEICOLI"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "PREMI {RECRUIT_DISMISS_IMG} PER RECLUTARE IL [format][color:green]CONTATTO[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "RIPORTA LE [format][color:green]PROSTITUTE[/format] DA [format][color:teal]ZIMOS[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "SELEZIONE LIVELLO ANGELO CUSTODE"
"ACT_WHORED_Z_SURVIVAL_HORROR": "Niente erba da queste parti."
"ACT_WHORED_A_KEEP_AWAY": "Questi zombi adorano esplodere."
"ACT_WHORED_D_SR_DESIGN": "È un'allegoria."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Torna in zona!"
"ACT_WHORED_MALLCOP": "La legge è in sconto per tutti!"
"ACT_RUNNING_MAN_BUTTON": "Premi il pulsante?"
"STRONGHOLD_FAILURE_SUB_TEXT": "ROCCAFORTE NON CONQUISTATA"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "LE [format][color:green]PROSTITUTE[/format] SONO STATE ARRESTATE VAI A PAGARE LA CAUZIONE"
"ACT_WHORED_Z_GROUP_RATE": "Questa sessione ha una tariffa alle stelle."
"ACT_WHORED_WEENIEROAST_FAIL": "Cuoci la carne prima di metterla in bocca."
"ACT_WHORED_NUTSHOTS": "Un pugno alle parti basse."
"HORDE_LEVEL_ZOMBIE": "ISOLA DEGLI ZOMBI"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "BEL LAVORO! GLI SBIRRI HANNO PERSO IL VANTAGGIO."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "CENTRO"
"ACT_FRAUD_EARN_MONEY": "PUOI GUADAGNARE DENARO SOLO NELLE [format][color:teal]ZONE PUNTI[/format] INDICATE"
"HASH_6F9BAA83": "LUOGOTENENTI UCCISI:"
"ACT_WHORED_A_AY_DIOS_MIO": "Lo spirito di lucha libre!"
"ACT_CHOP_SHOP_TITLE": "SELEZIONE LIVELLO RIVENDITORE D'AUTO RUBATE"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "HAI DISTRUTTO IL VEICOLO"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "RIPORTA INDIETRO I [format][color:green]CONTATTI[[/format]"
"ACT_WHORED_Z_VEGAN": "Ferma la carnapocalisse"
"ACT_WHORED_Z_MURDER_BENDER": "Cos'è SUCCESSO la scorsa notte."
"ACT_WHORED_MINIFURRIES_FAIL": "Sopraffatto da una tenerissima morte."
"ACT_WHORED_SONICBOOMSTICK": "Questa pistola ha un certo non so che."
"ACT_WHORED_DRUNKEN_BOXING": "Quando ti ubriachi, la tua forza aumenta."
"ACT_ESCORT_TIGER_START": "AVVIARE LA MODALITÀ SCORTA LA TIGRE"
"ACT_FRAUD_GO_GET_HURT": "Premi {ATTACK_PRIMARY_IMG} o {ATTACK_SECONDARY_IMG} per fare un tuffo. Più il tuffo è doloroso, più elevato è il guadagno"
"HASH_C2FADF85": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]LOCALE DI SPOGLIARELLO[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Imparare a prendere la mira è molto più difficile che imparare a bere."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Scotta un po' troppo?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "SUGGERIMENTO PRO: carica del tutto la pistola per annientare il nemico all'istante!"
"ACT_HITMAN_TITLE": "SELEZIONE LIVELLO KILLER"
"ACT_TORCH_TIME_LABEL_TEXT": "TEMPO"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Aiuta i tuoi [format][color:green]amici[/format] a raggiungere la loro [format][color:blue]destinazione[/format]."
"ACT_ESCORT_PI_SPAWNED": "SFUGGI ALL'[format][color:red]INVESTIGATORE PRIVATO[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "La posizione è indicata."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Affetta la carne."
"MISSION_FAILURE_DIED_TEXT": "SEI MORTO"
"ACT_ZOMBIE_HUD_SCORE": "PUNTEGGIO: "
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "HAI IMPIEGATO TROPPO TEMPO"
"ACT_CHOPSHOP_NONE": "NESSUN RIVENDITORE D'AUTO RUBATE IN ELENCO"
"ACT_WHORED_Z_SUPER_SIZED": "Non esagerare con la caffeina."
"ACT_VANDAL_START_2_MSG": "CAUSA %ls IN [format][color:red]DANNI ALLA PROPRIETÀ[/format] ENTRO IL TEMPO LIMITE"
"ACT_HELI_PROTECTION_START_MESSAGE": "I TUOI [format][color:green]AMICI[/format] HANNO BISOGNO CHE TU LI PROTEGGA"
"PAUSE_ACTIVITIES_READY": "Modalità disponibile."
"ACT_WHORED_Z_GIRLS_NIGHT": "Le ragazze si stanno sciogliendo."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "BONUS CIVILI"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "DISTRUGGI LE ANTENNE PARABOLICHE"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "DISONESTO!"
