"ACT_WHORED_Z_AGRIZOOPHOBIA": "これはやっかいだ"
"ACT_WHORED_Z_BDSM": "料金は頂いているので大丈夫"
"ACT_WHORED_BEERMUSCLES": "己の拳こそ最強の武器だ"
"ACT_WHORED_BRUTES_FAIL": "くれぐれも用心しろ！"
"ACT_PIMPING_NAME": "スカウト"
"ACT_ACTIVITY_DESCRIPTION_1": "手っ取り早くリスペクトを獲得したいならアクティビティに挑戦するといい  "
"CHOPSHOP_VIEW_DETAILS": "詳細を見る"
"ACT_TORCH_START_TEXT2": "人や車に火を点けて\nボーナスポイントを稼げ"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "{RECRUIT_DISMISS_IMG}で[format][color:green]協力者[/format]をスカウトしろ"
"ACT_PIMPING_RETURN_TO_BROTHEL": "[format][color:green]エステティシャン[/format]を[format][color:teal]ズィーモス[/format]の所まで連れて帰れ"
"ACT_GUARDIAN_ANGEL_TITLE": "ガーディアンエンジェルレベル選択"
"ACT_WHORED_Z_SURVIVAL_HORROR": "ハーブはどこだ..."
"ACT_WHORED_A_KEEP_AWAY": "爆裂ゾンビ"
"ACT_WHORED_D_SR_DESIGN": "宴もたけなわ"
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "エリアに戻れ！"
"ACT_WHORED_MALLCOP": "正義を貫け！"
"ACT_RUNNING_MAN_BUTTON": "ボタンを押す？"
"STRONGHOLD_FAILURE_SUB_TEXT": "拠点制圧失敗"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "[format][color:green]エステティシャン[/format]が逮捕された。すぐに救出に向かえ！"
"ACT_WHORED_Z_GROUP_RATE": "高額料金ボッタクリ"
"ACT_WHORED_WEENIEROAST_FAIL": "肉は食う前に焼け"
"ACT_WHORED_NUTSHOTS": "急所を狙え"
"HORDE_LEVEL_ZOMBIE": "ゾンビアイランド"
"ACT_VANDAL_BONUS_BLANK": "ボーナス"
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "よくやった！警察は情報源を失った"
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "DOWNTOWN"
"ACT_FRAUD_EARN_MONEY": "金を稼げるのは指定の[format][color:teal]スコアリングエリア[/format]だけだ"
"HASH_6F9BAA83": "始末したギャング幹部："
"ACT_WHORED_A_AY_DIOS_MIO": "ルチャリブレの精神！"
"ACT_CHOP_SHOP_TITLE": "ヤミ改造工場レベル選択"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "車両が壊れてしまった"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "[format][color:green]協力者[/format]を連れ戻せ"
"ACT_WHORED_Z_VEGAN": "肉はもうウンザリだ"
"ACT_WHORED_Z_MURDER_BENDER": "昨日の夜なにがあった？"
"ACT_WHORED_MINIFURRIES_FAIL": "ほれぼれするような死で圧倒しろ"
"ACT_WHORED_SONICBOOMSTICK": "近距離での破壊力はケタ違いだ！"
"ACT_WHORED_DRUNKEN_BOXING": "酔ったときは、眠れる力が目覚めるもの"
"ACT_ESCORT_TIGER_START": "タイガーエスコートを開始"
"ACT_FRAUD_GO_GET_HURT": "{ATTACK_PRIMARY_IMG}か{ATTACK_SECONDARY_IMG}で車にアタれ\nタイミングが良いとデカく稼げるぞ"
"HASH_C2FADF85": "[format][color:green]客[/format]を[format][color:teal]クラブ[/format]へ連れて行け"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "飲めるようになるより、狙いをつけられるようになるほうがずっと難しいぞ"
"ACT_WHORED_FLAMEBRUTE_FAIL": "熱すぎて手に負えないって？"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "ヒント：銃をフルチャージすれば、敵を一発で倒せるぞ！"
"ACT_HITMAN_TITLE": "ヒットマンレベル選択"
"ACT_TORCH_TIME_LABEL_TEXT": "時間"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "[format][color:green]仲間[/format]が[format][color:blue]目的地[/format]に移動するまで援護しろ"
"ACT_ESCORT_PI_SPAWNED": "[format][color:red]私立探偵[/format]をまけ"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "場所が表示されている"
"ACT_WHORED_ZOMBIE_CHAINSAW": "さあ切り分けよう"
"MISSION_FAILURE_DIED_TEXT": "死んでしまった"
"ACT_ZOMBIE_HUD_SCORE": "スコア："
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "時間切れだ"
"ACT_CHOPSHOP_NONE": "ヤミ改造工場がリストにないぞ"
"ACT_WHORED_Z_SUPER_SIZED": "カフェインは控えめに"
"ACT_VANDAL_START_2_MSG": "時間内に%lsドルの[format][color:red]損害額[/format]を叩き出せ"
"ACT_HELI_PROTECTION_START_MESSAGE": "[format][color:green]仲間[/format]を護衛しろ"
"PAUSE_ACTIVITIES_READY": "スタート可能"
"ACT_WHORED_Z_GIRLS_NIGHT": "女子もハメを外したい"
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "一般市民ボーナス"
