"ACT_WHORED_Z_AGRIZOOPHOBIA": "Это большая проблема."
"ACT_WHORED_Z_BDSM": "Не грусти, они за это заплатят."
"ACT_WHORED_BEERMUSCLES": "Лучшее оружие - кулаки"
"ACT_WHORED_BRUTES_FAIL": "Бегите на цыпочках"
"ACT_PIMPING_NAME": "ПИЛОТАЖ"
"ACT_ACTIVITY_DESCRIPTION_1": "Самый быстрый способ заработать авторитет - выполнять ЗАДАНИЯ. "
"CHOPSHOP_VIEW_DETAILS": "ПОДРОБНОСТИ"
"ACT_TORCH_START_TEXT2": "ЗАРАБАТЫВАЙТЕ БОНУСНЫЕ ОЧКИ, ПОДЖИГАЯ ЛЮДЕЙ И МАШИНЫ"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "НАЖМИТЕ {RECRUIT_DISMISS_IMG}, ЧТОБЫ ПОДОБРАТЬ [format][color:green]ИНФОРМАТОРА[/format]."
"ACT_PIMPING_RETURN_TO_BROTHEL": "ОТВЕЗИТЕ [format][color:green]ШЛЮХ[/format] [format][color:teal]ЗАЙМОСУ[/format]."
"ACT_GUARDIAN_ANGEL_TITLE": "ВЫБОР УРОВНЯ ЗАДАНИЯ \"АНГЕЛ-ХРАНИТЕЛЬ\""
"ACT_WHORED_Z_SURVIVAL_HORROR": "Нет здесь никаких травок."
"ACT_WHORED_A_KEEP_AWAY": "Эти зомби любят взрываться."
"ACT_WHORED_D_SR_DESIGN": "Это аллегория."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Возвращайтесь в зону!"
"ACT_WHORED_MALLCOP": "За правосудие в торговых комплексах!"
"ACT_RUNNING_MAN_BUTTON": "Нажать на кнопку? "
"STRONGHOLD_FAILURE_SUB_TEXT": "ЗАХВАТ КРЕПОСТИ ПРОИГРАН"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "[format][color:green]ШЛЮХИ[/format] АРЕСТОВАНЫ. ОСВОБОДИТЕ ИХ!"
"ACT_WHORED_Z_GROUP_RATE": "Штраф сильно увеличился."
"ACT_WHORED_WEENIEROAST_FAIL": "Мясо не едят сырым - его сначала готовят."
"ACT_WHORED_NUTSHOTS": "Удар в пах."
"HORDE_LEVEL_ZOMBIE": "ОСТРОВ ЗОМБИ"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "ОТЛИЧНО! КОПЫ ПОТЕРЯЛИ СЛЕД."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "ЦЕНТР ГОРОДА"
"ACT_FRAUD_EARN_MONEY": "ВЫ МОЖЕТЕ ЗАРАБОТАТЬ ДЕНЬГИ ТОЛЬКО В [format][color:teal]ЗОНАХ ЗАРАБОТКА[/format]"
