"ACT_WHORED_Z_AGRIZOOPHOBIA": "It's a big problem."
"ACT_WHORED_Z_BDSM": "Don't feel bad, they paid for this."
"ACT_WHORED_BEERMUSCLES": "Your fists are your best weapon."
"ACT_WHORED_BRUTES_FAIL": "Gotta keep on your toes!"
"ACT_PIMPING_NAME": "SNATCH"
"ACT_ACTIVITY_DESCRIPTION_1": "The quickest way to earn respect is by performing ACTIVITIES. "
"CHOPSHOP_VIEW_DETAILS": "VIEW DETAILS"
"ACT_TORCH_START_TEXT2": "ACCRUE BONUS POINTS BY FLAMING PEOPLE AND VEHICLES"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "{RECRUIT_DISMISS_IMG} RECRUIT [format][color:green]CONTACT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "BRING THE [format][color:green]HOS[/format] BACK TO [format][color:teal]ZIMOS[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "GUARDIAN ANGEL LEVEL SELECTION"
"ACT_WHORED_Z_SURVIVAL_HORROR": "No herbs around here."
"ACT_WHORED_A_KEEP_AWAY": "These zombies like to go boom."
"ACT_WHORED_D_SR_DESIGN": "It's an allegory."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Return to the area!"
"ACT_WHORED_MALLCOP": "And justice for mall!"
"ACT_RUNNING_MAN_BUTTON": "Press the button?"
"STRONGHOLD_FAILURE_SUB_TEXT": "STRONGHOLD FAILED"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "THE [format][color:green]HOS[/format] HAVE BEEN ARRESTED, GO BAIL THEM OUT"
"ACT_WHORED_Z_GROUP_RATE": "This session fee is through the roof."
"ACT_WHORED_WEENIEROAST_FAIL": "You cook the meat before you put it in your mouth."
"ACT_WHORED_NUTSHOTS": "A punch to the groin."
"HORDE_LEVEL_ZOMBIE": "ZOMBIE ISLAND"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "GOOD JOB!  THE COPS LOST THEIR LEAD."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "DOWNTOWN"
"ACT_FRAUD_EARN_MONEY": "YOU CAN ONLY EARN MONEY IN THE INDICATED [format][color:teal]SCORING AREAS[/format]"
"ACT_WHORED_A_AY_DIOS_MIO": "The spirit of lucha libre!"
"ACT_CHOP_SHOP_TITLE": "CHOP SHOP LEVEL SELECTION"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "YOU DESTROYED THE VEHICLE"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "BRING THE [format][color:green]CONTACTS[/format] BACK"
"ACT_WHORED_Z_VEGAN": "Stop the meat-pocalyspe"
"ACT_WHORED_Z_MURDER_BENDER": "What HAPPENED last night."
"ACT_WHORED_MINIFURRIES_FAIL": "Overrun with adorable death."
"ACT_WHORED_SONICBOOMSTICK": "This gun has a certain boom to it."
"ACT_WHORED_DRUNKEN_BOXING": "When you're drunk, you have super strength."
"ACT_ESCORT_TIGER_START": "START TIGER ESCORT"
"ACT_FRAUD_GO_GET_HURT": "Press {ATTACK_PRIMARY_IMG} or {ATTACK_SECONDARY_IMG} to take a dive. The more painful the dive, the more money you earn"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Learning to aim is a lot harder than learning to drink here."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Maybe too hot to handle?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "PROTIP: Charging the gun up fully will insta-gib an enemy!"
"ACT_HITMAN_TITLE": "HITMAN LEVEL SELECTION"
"ACT_TORCH_TIME_LABEL_TEXT": "TIME"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Help your [format][color:green]homies[/format] get to [format][color:blue]their destination[/format]."
"ACT_ESCORT_PI_SPAWNED": "EVADE THE [format][color:red]PRIVATE INVESTIGATOR[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "The location is indicated."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Start carving it up."
"MISSION_FAILURE_DIED_TEXT": "YOU DIED"
"ACT_ZOMBIE_HUD_SCORE": "SCORE: "
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "YOU RAN OUT OF TIME"
"ACT_CHOPSHOP_NONE": "NO CHOP SHOPS LISTED"
"ACT_WHORED_Z_SUPER_SIZED": "No one needs this much caffeine."
"ACT_VANDAL_START_2_MSG": "DO %ls IN [format][color:red]PROPERTY DAMAGE[/format] BEFORE THE TIME RUNS OUT"
"ACT_HELI_PROTECTION_START_MESSAGE": "YOUR [format][color:green]HOMIES[/format] NEED YOUR PROTECTION"
"PAUSE_ACTIVITIES_READY": "Activity available."
"ACT_WHORED_Z_GIRLS_NIGHT": "The lady's are cutting loose."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "CIVILIAN BONUS"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "DESTROY THE SATELLITE DISHES"
"ACT_WHORED_GENKI_REVENGE_FAIL": "UN-ETHICAL!"
"ACT_ZOMBIE_HUD_WAVE": "WAVE: "
"ACT_VANDAL_SUMMARY_PROPERTY": "PROPERTY"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "THE [format][color:red]BUYER[/format] GOT AWAY"
"ACTIVITY_LEVEL_SELECTION": "ACTIVITY LEVEL SELECTION"
"ACT_VANDAL_START_NO_DISTRICT": "This is it.  We need you to cause as much mayhem as you possibly can."
"ACT_VANDAL_GANG": "GANG MEMBER"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "DOMESTIC CAR BONUS"
"ACT_TRAFFIC_INVALID_VEHICLE": "THE DRIVER WON'T DELIVER IN THAT!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "YOU UNCOVERED A TRAP! RECRUIT THE [format][color:green]HOS[/format] AND GET AWAY."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "ATTACKER COMING FROM [format][color:red]LEFT[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Not enough cars. Go get some more."
"ACT_WHORED_ROLLERHOS": "Beware the roller hos."
"ACT_WHORED_MINI_BRUTES": "Big things come in small packages."
"ACT_WHORED_DRINKING_GAME": "The more you kill, the less drunk you get!"
"ACT_RUNNING_MAN_TRAP_KILL": "TRAP KILL"
"ACT_GUARDIAN_ANGEL_FAIL": "PROTECTEE DIED! WATCH THE ICON OVER THEIR HEAD TO TRACK THEIR HEALTH"
"ACT_VANDAL_COP": "COP"
"ACT_TRAFFIC_BUYER_DEAD": "A BUYER HAS BEEN KILLED"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "CELEB'S LIFE"
"ACT_FRAUD_BONUS_AIR_TIME": "AIRTIME BONUS"
"ACT_ESCORT_IRS_SPAWNED": "EVADE THE [format][color:red]IRS[/format]"
"ACT_WHORED_Z_HORS_DOE": "Who doesn't love those little hotdogs?"
"COMBO_BREAKER_TEXT": "COMBO BREAKER"
"ACT_VANDALISM_COMBO_JUST_COMBO": "COMBO: "
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "YOU UNCOVERED A TRAP! KILL ALL THE [format][color:red]MORNINGSTAR[/format] BEFORE RECRUITING THE [format][color:green]HOS[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]CLIENT[/format] WANTS THE ENTERTAINER TO DO THE WICKED WICK"
"ACT_WHORED_Z_10_CENTS": "Collect those cans."
"ACT_WHORED_D_COUNTING_CALS": "Energy drinks can kill you."
"ACT_WHORED_D_SANGENTS": "Fight the men of mystery."
"ACT_WHORED_GIMPS_FAIL": "You're supposed to punish them."
"ACT_WHORED_MINIGUNBRUTE": "Mini-gun brutes incoming!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "YOU GET A BONUS FOR DESTROYING [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONUS: DESTROY %s  (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Bonus Seconds Earned!"
"ACT_WHORED_A_4TH_JULY": "Rockets.  Booze.  It's a national pastime."
"ACT_WHORED_MINICANS_FAIL": "You've been recycled."
"CHOP_STYLISH_1_RIMS": "STYLISH 1 RIMS"
"ACT_VANDAL_CAR_SPORTS_MSG": "SPORTS CARS"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]YOUR HOMIE'S CAR[/format] IS NEARLY DESTROYED"
"ACT_WHORED_HOBO_SHOTGUN": "You should have given them more change..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "COMBO:"
"ACT_FRAUD_GOAL": "EARN %ls BEFORE TIME RUNS OUT"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "The cars needed are indicated."
"CELL_PHONE_MUST_ADD_VEHICLES": "There are no vehicles in your garage for your homie to bring. Bring vehicles back to your crib and park them in the garage to retreive."
"ACT_WHORED_Z_KIRBY": "Send 'em to dream land."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "GET BACK TO THE TARGETS!"
"CHOP_RETRO_SPOILER": "RETRO SPOILER"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Some [format][color:green]Saints[/format] are pinned down in a firefight.  Help them fight off their [format][color:red]attackers[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Zombies on the run."
"MISSION_FAILURE_PARTNER_DIED": "YOUR PARTNER WAS KILLED"
"ACT_EARNED_RESPECT_AND_MONEY": "You have earned %d respect and %d cash!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "You earn no money for killing %ls."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "DESTROY THE [format][color:red]AIRPLANE[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "KEEP THE TIGER DISTRACTED!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Wrong angel of death..."
"ACT_WHORED_BRUTEBOOM": "Push them over the edge."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "YOU RAN OUT OF TIME BEFORE REACHING THE EXIT. YOUR WAGER OF %ls HAS BEEN LOST."
"ACT_RUNNING_MAN_COMBO_TOTAL": "COMBO TOTAL: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "WAITING ON HOST"
"GAME_COMBO_TEXT": "COMBO: "
"ACT_HELI_BOAT_DELIVER_TEXT": "DELIVER THE DRUGS FROM THE BOAT TO YOUR HOMIES"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "BRING THE [format][color:green]CLIENT[/format] TO THE [format][color:teal]XXX THEATER[/format]"
"ACTIVITY_COMPLETED": "COMPLETED"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Just brutal."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "COMPLETE ALL %d TASKS"
"ACT_FRAUD_BONUS_VEHICLE": "VEHICLE HIT BONUS"
"ACT_ESCORT_CAR_SWITCH_MSG": "THAT CAR IS LOOKING A LITTLE OLD, GET A NEW CAR AT THE [format][color:teal]STRIP CLUB[/format]"
"ACT_WHORED_D_CANGELS": "They aim for your heart."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "PROTECT YOUR [format][color:green]HOMIES[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "COMBO TOTAL"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Fraud Distance Record: %.2f feet"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "SUV BONUS"
"ACT_VANDAL_BONUS_TEAM": "TEAM BONUS"
"ACT_TRAFFIC_DEAL_SUCCESS": "DEAL COMPLETED.  HEAD TO THE NEXT [format][color:teal]LOCATION[/format]."
"ACT_TORCH_START_TEXT3": "CASH IN YOUR BONUS TIME BY CROSSING CHECKPOINTS"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "TOO MANY CONTACTS DIED, RECRUIT THEM {RECRUIT_DISMISS_IMG} THEN QUICKLY FLEE THE SCENE"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "The %s has a shipment of weapons coming in on the freeway.  Destroy the [format][color:red]trucks[/format] before they get to their destination."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "A list of cars needed can be found in the pause menu."
"ACT_WHORED_BIG_FAIL": "Maybe not strong enough."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Exit unlocked!\n Continue playing for more cash or head for the exit!"
"ACT_ESCORT_TIGER_ATTACK": "THE TIGER IS HITTING THE WHEEL"
"ACTIVITY_NAME_TANK_MAYHEM": "TANK MAYHEM"
"ACT_TANK_MAYHEM_COMBO_GSI": "COMBO"
"CHOPSHOP_VEHICLES": "VEHICLES"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "CROSS ALL THE [format][color:teal]CHECKPOINTS[/format] BEFORE TIME RUNS OUT"
"ACT_ESCORT_CALM_TIGER": "CALM THE TIGER DOWN"
"ACT_TANK_MAYHEM_FAIL": "USE COMBOS TO SCORE HIGHER AND REPAIR STATIONS TO STAY ALIVE"
"STRONGHOLD_SUCCESS_SUB_TEXT": "STRONGHOLD COMPLETED"
"ACT_ZOMBIE_SURVIVOR_DEAD": "A SURVIVOR HAS DIED"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "MOTORCYCLE BONUS"
"ACT_FRAUD_TOTAL_LAST_HIT": "LAST HIT TOTAL"
"ACT_ESCORT_FAST_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO DRIVE AT 55 MPH FOR %d SECONDS"
"ACT_WHORED_D_WAVE_OF_DEAD": "When you get bit, there's no turning back."
"ACT_WHORED_GRENADIERS_FAIL": "Don't try catching them."
"ACT_WHORED_SWAG_BAG": "Furry conventions have interesting swag."
"MISSION_FAILURE_CANCEL_TEXT": "THE MISSION WAS CANCELLED"
"ACT_HITMAN_NAME": "HITMAN"
"ACT_ESCORT_TIGER_NAME": "TIGER ESCORT"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "WARM THINGS UP BY MOVING {ANALOG_RS_IMG} TO THE HOT SPOT"
"ACT_ZOMBIE_TITLE": "ZOMBIE LEVEL SELECTION"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "THE DEALER WILL BE ARRESTED IN 10 SECONDS!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "THE HELICOPTER IS FULL, TAKE THE PASSENGERS TO A [format][color:blue]SAFE SPOT[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Attacker coming from [format][color:red]underneath[/format] us."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "EVADE THE [format][color:red]IRATE CLIENT[/format]"
"ACT_WHORED_D_31DAYS": "Survive the zomb-pocalypse."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "So big, so angry, so undead."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "HIGH SCORE: "
"ACT_HELI_NEWS_VAN_KILL_TEXT": "DESTROY THE NEWS VANS"
"ACT_TRAFFICKING_TITLE": "TRAFFICKING LEVEL SELECTION"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_CONTACT_OBJECTIVE": "RESCUE %d KINZIE'S CONTACTS AND BRING THEM BACK"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "DRIVE QUICKLY TO KEEP THE TIGER HAPPY AS YOU BUILD UP YOUR COURAGE."
"ACT_WHORED_A_MEAN_GIRLS": "There's always one queen bee."
"ACT_WHORED_D_PORKCHOP": "GET THE FUCK OUTTA HERE!"
"ACT_VANDAL_BONUS_COMBO_MULT": "COMBO BONUS"
"ACT_FRAUD_START": "START INSURANCE FRAUD"
"ACT_TRAFFIC_BUYER_FLEE": "THE [format][color:red]BUYER[/format] LEFT WITHOUT PAYING.  KILL THEM."
"ACT_FRAUD_BONUS_WITNESS": "PEDESTRIAN WITNESS BONUS"
"ACT_ESCORT_ESCORTING_MSG": "DRIVE AROUND AND LET THE [format][color:green]CLIENT[/format] HAVE SOME FUN"
"ACT_WHORED_D_YKANO": "3. 2. 1. Let's jam..."
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "YOUR PARTNER WAS BUSTED"
"GAMEPLAY_PASSED_OUT": "Lights out, dude."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Go back to the %ls district!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "YOUR [format][color:green]HOMIES[/format] ARE HEADING OUT ON SOME DEALS, PROTECT THEM FROM ATTACKERS"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "Your [format][color:green]homies'[/format] car ran out of gas, recruit them, and fly them [format][color:teal]home.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "VEHICLE SURFING BONUS"
"ACT_ESCORT_STOP_MSG": "STOP FOR %d SECONDS"
"ACT_WHORED_A_END": "Games are art."
"ACT_WHORED_DILDO": "Don't need to be a ho to be a pro."
"HORDE_LEVEL_ANGELS": "ANGEL'S CASINO"
"ACTIVITY_NAME_MAYHEM": "MAYHEM"
"CTS_MESSAGE_GO_FRONT_DOOR": "GO TO THE FRONT DOOR"
"ACT_ESCORT_START": "START ESCORT"
"CHOP_HOT_ROD_HOOD": "HOT ROD HOOD"
"ACT_TRAFFIC_OBJECTIVE_1": "PROTECT THE [format][color:green]DEALER[/format] WHILE THEY MAKE THEIR DELIVERIES"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "YOUR HOMIES HAVE DIED"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "THE ENTERTAINER IS WORN OUT, GET A FRESH GIRL AND A NEW CAR AT THE [format][color:teal]STRIP CLUB[/format]"
"ACT_WHORED_Z_RITA": "MAKE MY MONSTER GROW!"
"ACT_WHORED_D_LILLIPUTIANS": "Little problems need big solutions."
"ACT_RUNNING_MAN_START": "START PROFESSOR GENKI'S S.E.R.C."
"ACTIVITY_NAME_FRAUD": "FRAUD"
"ACT_ZOMBIE_CANT_REVIVE": "You need at least 1 food item to revive someone!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "FAVORITE TARGET"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} RECRUIT [format][color:green]HOS[/format]"
"ACT_FRAUD_BONUS_DONE": "MOVE ON TO ANOTHER [format][color:teal]BONUS AREA[/format]"
"ACT_WHORED_D_BE_GUILED": "Where's Charlie when you need him."
"ACT_WHORED_BRUTES": "Send in the brutes!"
"ACT_WHORED_AYDIOSMIO": "Two men, two grenade launchers, and an army of mini luchadores."
"ACT_WHORED_STARPOWER_FAIL": "Too much power to handle."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "GUARDIAN ANGEL"
"ACT_TORCH_RACE_TARGETS": "KILL THE [format][color:red]MARKED TARGETS[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "RECRUIT THE [format][color:green]HOS[/format] AND BRING THEM BACK TO [format][color:teal]ZIMOS[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "The gangs all here."
"ACT_WHORED_D_ITSATRAP": "Ackbar loves the bitches."
"ACT_WHORED_COMM_SERVICE_FAIL": "You let the drink win out."
"ACT_WHORED_GAT_ATTACK_FAIL": "The bigger you are, the harder you fall."
"ACT_WHORED_MINIZOMBIES_FAIL": "They're tiny and dead: that's half the work right there..."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "WAITING FOR HOST TO PLACE ANY WAGER ON THE NEXT ROUND"
"ACT_TANK_MAYHEM_START": "START TANK MAYHEM"
"GAMEPLAY_BUSTED": "YOU'RE BUSTED!"
"ACT_VANDAL_SUMMARY_TOTAL": "TOTAL"
"ACT_FRAUD_OBJECTIVE": "Throw your self into harms way and rack up $%d in injuries before time runs out."
"ACT_WHORED_D_WEENIE_ROAST": "Start the campfire."
"ACT_WHORED_STRIPPERS": "Strippers incoming!"
"ACT_WHORED_ROUND1_FAIL": "What!? On the first wave?"
"CONTROL_SELECT_LEVEL": "SELECT LEVEL"
"ACT_TRAFFIC_DRIVER_LOST": "THE DEALER WAS ABANDONED."
"ACT_ESCORT_PLEASURE": "PLEASURE "
"ACT_ESCORT_KILL_MSG": "KILL THE [format][color:red]TARGET[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "The safeword is \"ow\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Need you're regenerating health? In my day we only had health packs!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "VEHICLE DELIVERED"
"CHOP_LUXERY_BODY_KIT": "LUXURY BODY KIT"
"ACT_VANDAL_CAR_LUXURY_MSG": "LUXURY CARS"
"ACT_ESCORT_FAIL_LEFT_CAR": "YOU ABANDONED THE CAR"
"ACT_WHORED_A_GENKI_GAMES": "Super Ethical Reality Explosions Funtime Go!"
"ACT_WHORED_BIG": "You're bigger, you're tougher, and you're stronger!"
"HORDE_CHARACTER_SUPER": "SUPER"
"ACT_TRAFFIC_OBJECTIVE_2": "THE [format][color:green]DEALER[/format] MUST SUCCESSFULLY COMPLETE %d DEALS"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "They got her!  She's gone."
"ACT_ESCORT_TRIP_MOTEL_MSG": "BRING THE [format][color:green]CLIENT[/format] FOR SOME HOURLY FUN AT THE [format][color:teal]MOTEL[/format] "
"CHOP_MUSCLE_HOOD": "MUSCLE HOOD"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "YOU KILLED ONE OF THE CONTACTS"
"GARAGE_FULL": "YOUR GARAGE IS FULL"
"ACT_WHORED_Z_HOW_ROMANTIC": "Rockets are a girl's best friend."
"ACT_WHORED_A_EYE_BEHOLDER": "Don't ask about her weight."
"YOU_VE_BEEN_CRITICALLY_HIT": "YOU'VE BEEN CRITICALLY HIT!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "STRONGHOLD CANCELLED"
"ACT_FRAUD_NAME": "INSURANCE FRAUD"
"ACT_FRAUD_GO_SCORING_AREA": "GO TO THE [format][color:teal]%ls DISTRICT[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Punching is an art to be mastered."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ZOMBIES LEFT: "
"ACT_TRAFFIC_CHASE_HELICOPTER": "YOU'VE PICKED UP A [format][color:red]NEWS HELICOPTER[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "THE HELPER DIED"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Your client didn't like being a human shield."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "DON'T LET THOSE NEWS VANS GET ANY FOOTAGE"
"ACT_WHORED_Z_ONE_SIDED": "This really isn't fair."
"ACT_WHORED_ZOMBIESATV": "Grind them up."
"ACT_WHORED_ZOMBIEBRUTES": "Now those are some big zombies!"
"ACT_WHORED_NINJAS": "Did you hear that sound?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "And she got it. Oh did she get it..."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "LOW-RIDER RIMS"
"ACT_VANDAL_SUMMARY_CARS": "CARS"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format] seconds earned!"
