"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"DARK_GREEN": "TMAVĚ ZELENÁ"
"LOGO_VOLITION_5": "ROZHODNUTÍ 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "AZTÉCKÝ PTÁK"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "DĚDOVA ČEPICE"
"CUST_CAT_MAKEUP_MOUTH": "ÚSTA"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "JEDNOBAREVNÝ"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "POHODÁŘ"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "BOJOVÁ VESTA"
"CUST_CAT_HAIR": "VLASY"
"CUST_GANG_PUNK": "PANKÁČ"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "ODBARVENÁ BLONĎATÁ"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "ZAPOMNĚL JSEM NĚCO?"
"CUST_COMP_FACE_WART_4": "BRADAVICE 4"
"IRIDESCENT_1": "DUHOVÁ 1"
"HAIR_COLOR_RED": "ČERVENÁ"
"CUST_VARIANT_VEST_A": "STYL 1"
"CUST_WEAR_OPEN_TIE": "ROZEPNUTÉ S KRAVATOU"
"CUST_WEAR_UNZIPPED": "ROZEPNUTÉ"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "NÁUŠNICE ČERNÉ VDOVY"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "VÝŠKA ČELA"
"CUST_COLOR_CLOTHING_RED_1": "ČERVENÁ 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "FANTÓMOVA JESKYNĚ 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "KALHOTKY SHAUNDI"
"CUST_INSULT_FIST": "POTŘÁST PĚSTÍ"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "VÝŠKA LALŮČKŮ"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "STRANY ÚST"
"VEHICLE_COLOR_MOCHA_TAN": "MOKKA"
"CUST_COLOR_ORANGE_1": "ORANŽOVÁ 1"
"CUST_SKIN_SILVER": "STŘÍBRO"
"CUST_COLOR_CLOTHING_VIOLET_9": "FIALOVÁ 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "SVĚTLE FIALOVÝ ODSTÍN"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "URÁŽKA SYNŮ SAMEDIHO 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "MODROZELENÁ 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Větší oblast účinku."
"VEHICLE_COLOR_TINT_60": "ODSTÍN 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "BOTY VOJÁKA BUDOUCNOSTI"
"CUST_TATTOO_TORSO_CHEST": "HRUDNÍK"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "VÝRAZ TVÁŘE"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "DÉLKA NOSNÍCH DÍREK"
"RIM_SET_018": "SADA RÁFKŮ 18"
"HAIR_COLOR_GRAY_MATTE": "MATNÁ ŠEDÁ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "KOŠILE URBAN SAFARI"
"CUST_VARIANT_HOOD_AND_POCKET": "KAPUCE S KAPSOU"
"CUST_VARIANT_SILK": "HEDVÁBNÝ"
"CUST_VARIANT_LATEX": "LATEX"
"CUST_ITEM_IMPRESSIONS_MALE_O": "MANHATTAN STYLE"
"CUST_ITEM_CM_STAG": "ELITA STAG"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "TVAR BRADY"
"CUST_COLOR_CLOTHING_GREENS_3": "ZELENÁ 3"
"SLOT_BULL_HORNS": "TRUBKY"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "BEZ VZORU"
"CUST_SKIN_BLUE_3": "MODRÁ JASNÉ OBLOHY"
"CUST_COMPLIMENT_X": "TANEC"
"CUST_VARIANT_STYLE_B": "STYL 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "VYSOKÉ BOTY VESMÍRNÉ PRINCEZNY"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "LETECKÉ BRÝLE"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MAGOR DO MUZIKY"
"CUST_COLOR_GRAY_3": "ŠEDÁ 3"
"CUST_VARIANT_FADE_UP_JEANS": "VYBLEDLÉ"
"CUST_TATTOO": "TETOVÁNÍ"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "VELIKOST OČÍ"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "HLOUBKA ČELA"
"CUST_TATTOO_RARM_8": "VŠEHOCHUŤ"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MATNÁ"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATNÝ MATERIÁL"
"SLOT_GRILL_COLOR": "BARVA MŘÍŽKY CHLADIČE"
"SLOT_SIDE_MIRRORS": "BOČNÍ ZRCÁTKA"
