"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"DARK_GREEN": "VERDE SCURO"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "UCCELLO AZTECO"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "CAPPELLO DEL NONNO"
"CUST_CAT_MAKEUP_MOUTH": "BOCCA"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "SOLIDO"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "FRESCO COME UNA ROSA"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "GIUBBOTTO TOSTO"
"CUST_CAT_HAIR": "CAPELLI"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "JAZZISTA"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "OSSIGENATI"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "DIMENTICATO QUALCOSA?"
"CUST_COMP_FACE_WART_4": "VERRUCA 4"
"IRIDESCENT_1": "IRIDESCENTE 1"
"HAIR_COLOR_RED": "SCARLATTI"
"CUST_VARIANT_VEST_A": "STILE 1"
"CUST_WEAR_OPEN_TIE": "APERTA CON CRAVATTA"
"CUST_WEAR_UNZIPPED": "LAMPO APERTA"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "ORECCHINI VEDOVA NERA"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "ALTEZZA FRONTE"
"CUST_COLOR_CLOTHING_RED_1": "ROSSO 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "CAVERNA FANTASMI 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "MUTANDINE SHAUNDI"
"CUST_INSULT_FIST": "MOSTRA I PUGNI"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "ALTEZZA LOBO"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "LATI BOCCA"
"VEHICLE_COLOR_MOCHA_TAN": "MOCHA"
"CUST_COLOR_ORANGE_1": "ARANCIONE 1"
"CUST_SKIN_SILVER": "ARGENTO"
"CUST_COLOR_CLOTHING_VIOLET_9": "VIOLA 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "TINTA VIOLA CHIARO"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "PROVOCAZIONE SAMEDI 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "BLU VERDE 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Colpisce un'area più vasta."
