"CUST_ITEM_CF_HAIR_MED": "DO RAMION"
"DARK_GREEN": "CIEMNOZIELONE"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "AZTECKI PTAK"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "CZAPKA DZIADKA"
"CUST_CAT_MAKEUP_MOUTH": "USTA"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "JEDNOLITE"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "OGÓRKOWY LUZ"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "MOCARNA KAMIZELKA"
"CUST_CAT_HAIR": "WŁOSY"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "TLENIONY BLOND"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "ZAPOMNIAŁEŚ O CZYMŚ?"
"CUST_COMP_FACE_WART_4": "BRODAWKA 4"
"IRIDESCENT_1": "OPALIZUJĄCY 1"
"HAIR_COLOR_RED": "CZERWONE"
"CUST_VARIANT_VEST_A": "STYL 1"
"CUST_WEAR_OPEN_TIE": "OTWARTE Z KRAWATEM"
"CUST_WEAR_UNZIPPED": "ROZPIĘTA"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "KOLCZYKI \"CZARNA WDOWA\""
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "WYSOKOŚĆ CZOŁA"
"CUST_COLOR_CLOTHING_RED_1": "CZERWONY 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "JASKINIA ZJAW 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "MAJTKI SHAUNDI"
"CUST_INSULT_FIST": "TRZĄCHAPIĄCHA"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "WYSOKOŚĆ PŁATKÓW USZU"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "BOKI UST"
"VEHICLE_COLOR_MOCHA_TAN": "JASNY BRĄZ MOKKA"
"CUST_COLOR_ORANGE_1": "POMARAŃCZOWY 1"
"CUST_SKIN_SILVER": "SREBRNA"
"CUST_COLOR_CLOTHING_VIOLET_9": "FIOLETOWY 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "ODCIEŃ JASNEGO FIOLETU"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "DRWINA SAMEDI 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "NIEBIESKOZIELONY 4"
