"CUST_ITEM_CF_HAIR_MED": "ДО ПЛЕЧ"
"DARK_GREEN": "ТЕМНО-ЗЕЛЕНЫЙ"
"LOGO_VOLITION_5": "Воля 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "ПТИЦА АЦТЕКОВ"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "ДЕДУШКИНА ШЛЯПА"
"CUST_CAT_MAKEUP_MOUTH": "РОТ"
"LOGO_UNDERGROUND": "99 Метро."
"CUST_VARIANT_CMBOT_USCRUBS01": "ТВЕРДЫЙ"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "КРУТОЙ ПЕРЕЦ"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "МОГУЧАЯ КУРТКА"
"CUST_CAT_HAIR": "ВОЛОСЫ"
"CUST_GANG_PUNK": "ПАНК"
"CUST_COMP_MUSTACHE_28": "ХИПСТЕР"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "ОБЕСЦВЕЧЕННЫЙ БЕЛЫЙ"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "НИЧЕГО НЕ ЗАБЫЛ?"
"CUST_COMP_FACE_WART_4": "БОРОДАВКА 4"
"IRIDESCENT_1": "РАДУЖНЫЙ 1"
"HAIR_COLOR_RED": "РЫЖИЙ"
"CUST_VARIANT_VEST_A": "СТИЛЬ 1"
"CUST_WEAR_OPEN_TIE": "ОТКРЫТЫЙ, С ГАЛСТУКОМ"
"CUST_WEAR_UNZIPPED": "РАССТЕГНУТЫЙ"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "СЕРЕЖКИ \"ЧЕРНАЯ ВДОВА\""
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "ВЫСОТА ЛБА"
"CUST_COLOR_CLOTHING_RED_1": "КРАСНЫЙ 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "ПЕЩЕРА ПРИЗРАКОВ 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "ТРУСИКИ ШАУНДИ"
"CUST_INSULT_FIST": "ПОТРЯСТИ КУЛАКОМ"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "ВЫСОТА МОЧЕК "
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "СТОРОНЫ РТА"
"VEHICLE_COLOR_MOCHA_TAN": "СВЕТЛО-КОФЕЙНЫЙ"
"CUST_COLOR_ORANGE_1": "АПЕЛЬСИН 1"
"CUST_SKIN_SILVER": "СЕРЕБРО"
"CUST_COLOR_CLOTHING_VIOLET_9": "ФИОЛЕТОВЫЙ 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "КРАСКА \"ФИОЛЕТОВЫЙ СВЕТ\""
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "НАСМЕШКА САМЕДИ 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "СИНЕ-ЗЕЛЕНЫЙ 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Действует на большую площадь."
"VEHICLE_COLOR_TINT_60": "КРАСКА 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "БОТИНКИ СОЛДАТА БУДУЩЕГО"
"CUST_TATTOO_TORSO_CHEST": "ГРУДЬ"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "ВЫРАЖЕНИЕ ЛИЦА."
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "ДЛИНА НОЗДРЕЙ"
"RIM_SET_018": "НАБОР ОБОДОВ 18"
"HAIR_COLOR_GRAY_MATTE": "МАТОВЫЙ С ПРОСЕДЬЮ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "РУБАШКА \"ГОРОДСКОЕ САФАРИ\""
