"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"DARK_GREEN": "DARK GREEN"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "AZTEC BIRD"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"CUST_CAT_MAKEUP_MOUTH": "MOUTH"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "SOLID"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "CUCUMBER COOL"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "MIGHTY VEST"
"CUST_CAT_HAIR": "HAIR"
"UNIVERSITY_GIFT_NAME": "Stilwater U. Gift Shoppe"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "BLEACHED BLONDE"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "FORGOT SOMETHING?"
"CLOTHES_STORE_TITLE": "SLOPPY SECONDS"
"CUST_COMP_FACE_WART_4": "WART 4"
"IRIDESCENT_1": "IRIDESCENT 1"
"HAIR_COLOR_RED": "RED"
"CUST_VARIANT_VEST_A": "STYLE 1"
"CUST_WEAR_OPEN_TIE": "OPEN W/TIE"
"CUST_WEAR_UNZIPPED": "UNZIPPED"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "BLACK WIDOW EARRINGS"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "FOREHEAD HEIGHT"
"CUST_COLOR_CLOTHING_RED_1": "RED 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "PHANTOM CAVE 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "SHAUNDI PANTIES"
"CUST_INSULT_FIST": "SHAKE FIST"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "LOBE HEIGHT"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "MOUTH SIDES"
"VEHICLE_COLOR_MOCHA_TAN": "MOCHA TAN"
"CUST_COLOR_ORANGE_1": "ORANGE 1"
"CUST_SKIN_SILVER": "SILVER "
"CUST_COLOR_CLOTHING_VIOLET_9": "VIOLET 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "PURPLE LIGHT TINT"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "SAMEDI TAUNT 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "BLUE GREEN 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Affect a larger area."
"VEHICLE_COLOR_TINT_60": "TINT 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "FUTURE SOLDIER BOOTS"
"CUST_TATTOO_TORSO_CHEST": "CHEST"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "FACIAL EXPRESSION"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "NOSTRIL LENGTH"
"RIM_SET_018": "RIM SET 18"
"HAIR_COLOR_GRAY_MATTE": "GRAY MATTE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "URBAN SAFARI COLLARED SHIRT"
"CUST_VARIANT_HOOD_AND_POCKET": "HOOD WITH POCKET"
"CUST_VARIANT_SILK": "SILK"
"CUST_VARIANT_LATEX": "LATEX"
"CUST_ITEM_IMPRESSIONS_MALE_O": "MANHATTAN STYLE"
"CUST_ITEM_CM_STAG": "STAG ELITE"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "CHIN SHAPE"
"CUST_COLOR_CLOTHING_GREENS_3": "GREEN 3"
"SLOT_BULL_HORNS": "BULL HORNS"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "PLAIN"
"CUST_SKIN_BLUE_3": "CLEAR SKY BLUE"
"CUST_COMPLIMENT_X": "RAISE THE ROOF"
"CUST_VARIANT_STYLE_B": "STYLE 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "SPACE PRINCESS BOOTS"
