"HITMAN_TARGET_33_SHORT_DESC": "非協力的なサプリ製造組織"
"DIVERSION_STREAKING_RAN_OUT_OF_TIME_TEXT": "時間切れ！"
"DIVERSION_VEHICLE_SURFING_BEST_TIME": "カーサーフィン記録"
"CHOPSHOP_SHORT_2_3": "負け犬レーサーにTORCHを"
"TUT_TITLE_COLLECTIBLE": "コレクション"
"HITMAN_TARGET_12_DESCRIPTION": "もう限界だ！エニグマスがプレイするトランスが酷くて、オレのグルーヴが台無しなんだよ！[format][color:em]SALANDER[/format] へ行って[format][color:em]ラジオでK12[/format]をガンガンかければおびき出せるはずだ。きっちり始末してくれ！"
"DIVERSION_CHOP_SHOP_WANTED": "[format][color:teal]ヤミ改造工場[/format]がこの車両を探している"
"SEX_DOLL_COLLECTED": "エクササイズドール"
"CHOPSHOP_SHORT_3_5": "TRASH TRUCKを調達しろ"
"CHOPSHOP_LONG_2_6": "TEMPTRESSはレアな車ね。スタイリッシュで小回りも利いて何といってもメチャクチャ速い。客はどんなに高くても金を出すわ。もちろん、あたしにしたって同じことよ。\nNEW BARANEC辺りを探してね"
"DIVERSION_CHALLENGES_STREAKING_TIME": "ストリーキング時間"
"DIVERSION_CHALLENGES_EXPLORE_HOODS": "探索した縄張り"
"DIVERSION_COMBAT_TRICKS_BRUTE_BEAT_KILL": "ブルート格闘キル"
"CHOPSHOP_SHORT_5_3": "CHARLIEターゲット情報：TORNADO"
"HITMAN_TARGET_13_DESCRIPTION": "「都会のモラル十字軍」っていう連中を知ってる？アグネスとかいう女が率いる異端審問気取りのカン違い組織よ。ヤツらの本部は、[format][color:em]ASHWOODの教会[/format]の側にあるわ。本部の前で[format][color:em]ストリーキング[/format]をしてやれば、リーダーの女をおびき出せると思うわ"
"HITMAN_TARGET_H13_SHORT_DESC": "飛行機の手配"
"DIVERSION_SURVIVAL_GOAL_NAME_SILVER": "シルバー"
"DIVERSION_HIJACKING": "爆裂！セインツ"
"HITMAN_CALL_DISPLAY_6D": "ピザーリア"
"HITMAN_TARGET_23_SHORT_DESC": "ギャンブラーはウソをつかない"
"DIVERSION_CHALLENGES_DESTROY_CARS": "破壊した車"
"TUT_DIVERSION_MUGGING": "{SHOULDER_CAMERA_IMG}で金品を強奪できる。\nキャッシュを落とすまで、対象を数秒間しっかり狙い続けろ"
"CHOPSHOP_LONG_5_6": "今度のヤマはかなりデカいぜ。STAG所有の重貨物機CONDORなら、どんなヤバいことをやらかした連中でも逃亡できる。警備は相当に厳重だが、SUNSET PARKにある連中の基地付近で見つかるだろう"
"CHOPSHOP_SHORT_4_5": "何でも運べるSTORK"
"DIVERSION_CHALLENGES_GAMBLING_WINS": "ギャンブル勝利回数"
"DIVERSION_CHALLENGES_KILL_POLICE": "警官を始末しろ"
"DIVERSION_HOSTAGE_SPEED_WARN": "人質が逃げ出す前に\nスピードを上げろ"
"TUT_DIV_CHOP_SHOP_GPS": "ヤミ改造工場と契約をした。\n現在進行中のミッションまたはアクティビティを完了すると、GPSが有効になる"
"HITMAN_TARGET_24_DESCRIPTION": "私は名乗るほどの者ではない。が、依頼の内容はきわめて重要だ。弁護士のチャンドラーは、不幸にも事故に遭ったスティールポートの市民たちを食い物にしている。この街のためを思えばあんな男は始末するに越したことはない。当然、君には報酬を支払おう。DOWNTOWNで[format][color:em]わざと車にひかれ[/format]、事故を装ってくれ... ヤツが現われるはずだ"
"DIVERSION_CHALLENGES_WINDSHIELD_CANNON": "フロントガラス砲距離"
"DIVERSION_WHORING_SEXY_MOVE_FORMAT": "%ls %lsを披露しろ！"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_1_STRING": "プロの殺し屋"
"DIVERSION_BEST_TWO_WHEELS": "片輪走行記録"
"ACT_HITMAN_LIST": "ターゲットリストの人物を殺せ"
"DIVERSION_CHALLENGES_HUMAN_SHIELD_KILLS": "ヒューマンシールドで倒した人数"
"DIVERSION_CHALLENGES_DO_NUTSHOTS": "急所攻撃"
"DIVERSION_SAFECRACKING_SAFE_OPEN": "金庫破りを開始"
"HITMAN_CALL_TEXT_6D": "ターゲットのダニーにデリバリーさせるよう電話しろ。おまけにピザもデリバリーされる"
"CHOPSHOP_LONG_5_3": "とある大物のクライアントがTORNADOをご所望だ。ちょっとしたいさかいを終わらせたいらしい。警備隊基地にあるはずだ"
"HITMAN_TARGET_H13_DESCRIPTION": "キルベインの広報担当のホイットニーは知ってるな？あの女を消したいんだがオレたちの仕業だとバレるのはまずい。ヤツの部下からマスコミに漏れたら終りだ。飛行機の墜落事故に見せかければたいした証拠は残らないだろう。[format][color:em]AIRPORTのゲートであの女を拾って[/format]飛行機で上空に連れだせ[format]。あとは[color:em]お前だけ飛び降りればいい[/format]"
"HITMAN_TARGET_71_SHORT_DESC": "RE：スティールポート市民サービス"
"DIVERSION_CHALLENGES_VEHICLE_SURFING": "カーサーフィン時間"
"LOCALIZE_HITMAN_DISPLAY_NAME": "HITMAN_DISPLAY_NAME"
"DIVERSION_TWO_WHEEL": "片輪走行"
"DIVERSION_HOSTAGE_TITLE": "人質"
"HITMAN_TARGET_24_SHORT_DESC": "スティールポート市民サービス"
"DIVERSION_COOP_GSI_MY_SCORE": "自分のスコア："
"DIVERSION_WHEELIE_STOPPIE_TITLE": "ウィリー／ストッピー"
"CHOPSHOP_SHORT_5_6": "FOXTROTターゲット情報：CONDOR"
"CHOPSHOP_LONG_4_5": "密輸品、密輸人、密輸人の中に隠した密輸品... STORKはなんでも運べる便利な乗り物だ。\nAIRPORTの敷地内や周辺を探せば見つかるぞ"
"HITMAN_LOC_2_3": "THE GROVE"
"HITMAN_TARGET_4_3": "PR0TIP"
"DIVERSION_CHALLENGES_BARNSTORMING_LOCATIONS": "アクロバット飛行スポット"
"PAUSE_ACT_HITMAN_EMPTY": "ヒットマンのターゲットなし"
"DIVERSION_SURVIVAL_GOAL_NAME_GOLD": "ゴールド"
"CHOPSHOP_LONG_2_3": "このTORCHはストリートレースでチャンピオンになった野郎の愛車なんだけど、2位だった負け犬が欲しがってるわ。ASHWOODで見つかるはずよ"
"HITMAN_TARGET_H12_DESCRIPTION": "ジェラードはレスラー時代も食えねえ野郎だったが、引退後はますますヒドい。ルチャドールの裏ビジネスでも特に汚ねえ仕事は大体ヤツが一枚かんでるんだ。[format][color:em]だがそんなヤツもマッスルカーには目がないらしい。いかにも好きそうな車でヤツのガソリンスタンドに乗り付けて[/format]、始末してやれ。コソコソする必要は無用だ。何ならガソリンスタンドごと吹っ飛ばしたっていいぜ！"
"HITMAN_TARGET_61_SHORT_DESC": "選挙妨害活動"
"STORE_HOLDUP_MOVE": "店主を倒してキャッシュを入手しろ"
"CHOPSHOP_LONG_3_5": "市営の鉄くれ、ゴミ清掃車。こんなのがなぜ必要かって？ゴミを出さなきゃならねえからだ。早朝に街を見回ればそこらじゅうで見つかるはずだ"
"CHOPSHOP_SHORT_2_6": "異国の女帝「TEMPTRESS」"
"HITMAN_LOC_5_3": "LOREN SQUARE"
"HITMAN_TARGET_3_3": "カール"
