"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Disfrázate de soldado Morningstar."
"DLC2_OUTRO_PC_09": "¡Guau!"
"HOMIE_DLC2_KWILANNA": "JENNY"
"UNL_DESC_DLC2_VEHICLE_ALIEN_SHIP": "Ya dispones de la nave espacial Aegean en el garaje de tu casa."
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "VEHÍCULO: AEGEAN"
"UNL_DLC2_STORY01_ALERT": "PANDILLEROS EN EL ESPACIO"
"CUST_ITEM_ZOMBIE_HAT_M_MASK": "MÁSCARA DE ZOMBI 2"
"DLC2_ACHIEVE_SR3_XENAPHOBE": "Xenáfobo"
"DLC2_OUTRO_PC_19": "Supongo que habrá valido."
"DLC2_WPN_AUTOLASER_DESCRIPT": "ARMA DE DISPARO RÁPIDO DE LAS VETERANAS DE LAS AMAZONAS ESPACIALES"
"CUST_ITEM_DLC_SUIT_SLASHER": "EL APUÑALADOR"
"DLC2_M03_GOTO_SECOND_TRANSMITTER": "VE AL [format][color:location]SEGUNDO TRANSMISOR[/format]"
"DLC2_M03_GOTO_FIRST_TRANSMITTER": "VE AL [format][color:location]PRIMER TRANSMISOR[/format]"
"DLC2_M02_DESTROY_CONSOLE": "DESTRUYE EL [format][color:kill]PANEL[/format]"
"DLC2_OUTRO_KWILANNA_03": "Cabrón, hijo de puta..."
"DLC2_INTRO_PC_03": "Voy a matar a ese hijo de... puta... "
"CUST_GANG_ALIENS": "ALIENÍGENA"
"CM_MSSPCL_EYES": "GAFAS DE ESPECIALISTA MORNINGSTAR"
"CUST_ITEM_LUSPEC_SUIT": "ESPECIALISTA LUCHADOR"
"DLC2_M03_PERFORM_NEAR_CRASH": "REALIZA UN CASI ACCIDENTE"
"DLC2_M03_UPLOAD_VIRUS": "DEFIÉNDETE MIENTRAS SE CARGA EL [format][color:protect]VIRUS[/format]"
"DLC2_M01_OBJ_GO_TO_VEHICLE": "LLEGA HASTA EL [format][color:use]VEHÍCULO[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS04": "Disfrázate de especialista Morningstar."
"DLC2_OUTRO_DIRECTOR_16": "¿ESTÁS SORDA? ¡¿QUÉ COJONES ESTÁS HACIENDO?!"
"DLC2_OUTRO_KWILANNA_13": "Solo hago lo que me has enseñado."
"CUST_GANG_PENTHOUSE": "PENTHOUSE"
"HOMIE_DLC2_SPACE_BRUTINA": "BRUTINA ESPACIAL"
"UNL_DESC_DLC2_ASSET05_OUTFITS03": "Ahora puedes ser peludo y aterrador con esta mezcla de guantes, máscaras y pies a juego."
"CUST_ITEM_CM_DLC_SLASHER": "EL APUÑALADOR"
"CUST_ITEM_ZOMBIE_HAT_F_MASK": "MÁSCARA DE ZOMBI 1"
"DLC2_M03_FAIL_AIRCRAFT_DESTROYED": "¡TU NAVE HA SIDO DESTRUIDA!"
"DLC2_M02_OBJ_MISSION_START": "VE AL [format][color:location]DECORADO[/format]"
"DLC2_ACHIEVE_SR3_CAMERAMEN_DOWN": "Saboteador sindical"
"UNL_DLC2_ITEM_MIND_CONTROL_HELMET": "OBJETO: CASCO DE CONTROL MENTAL"
"DLC2_M03_GET_IN_RANGE": "PONTE DENTRO DEL ALCANCE DEL [format][color:location]TRANSMISOR[/format]"
"DLC2_M03_MISSION_NAME": "¡ESO NO ESTÁ EN EL LIBRETO!"
