"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Переоденьтесь в солдата Моргенштерна."
"DLC2_OUTRO_PC_09": "Ого!"
"HOMIE_DLC2_KWILANNA": "ДЖЕННИ"
"UNL_DESC_DLC2_VEHICLE_ALIEN_SHIP": "Теперь в гараже вашего жилища есть эгейский космический корабль. "
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "МАШИНА - ЭГЕЙСКИЙ КОРАБЛЬ"
"UNL_DLC2_STORY01_ALERT": "ГАНГСТЕРЫ В КОСМОСЕ "
"CUST_ITEM_ZOMBIE_HAT_M_MASK": "МАСКА ЗОМБИ 2"
"DLC2_ACHIEVE_SR3_XENAPHOBE": "Ксенофоб"
"DLC2_OUTRO_PC_19": "Полагаю, снято."
"DLC2_WPN_AUTOLASER_DESCRIPT": "СКОРОСТРЕЛЬНОЕ ОРУЖИЕ КОСМИЧЕСКИХ АМАЗОНОК-ВЕТЕРАНОК."
"CUST_ITEM_DLC_SUIT_SLASHER": "КРОМСАТЕЛЬ"
"DLC2_M03_GOTO_SECOND_TRANSMITTER": "ОТПРАВЛЯЙТЕ КО [format][color:location]ВТОРОМУ ПЕРЕДАТЧИКУ[/format]."
"DLC2_M03_GOTO_FIRST_TRANSMITTER": "ОТПРАВЛЯЙТЕСЬ К  [format][color:location]ПЕРВОМУ ПЕРЕДАТЧИКУ[/format]."
"DLC2_M02_DESTROY_CONSOLE": "УНИЧТОЖЬТЕ [format][color:kill]КОНСОЛЬ[/format]"
"DLC2_OUTRO_KWILANNA_03": "Тупой мудак, тупой осел..."
"DLC2_INTRO_PC_03": "Я убью ЭТОГО сукина... сына..."
"CUST_GANG_ALIENS": "ЧУЖОЙ"
"CM_MSSPCL_EYES": "ОЧКИ СПЕЦИАЛИСТА \"МОРГЕНШТЕРНА\""
"CUST_ITEM_LUSPEC_SUIT": "СПЕЦИАЛИСТ ЛУЧАДОРОВ"
"DLC2_M03_PERFORM_NEAR_CRASH": "ВЫПОЛНИТЕ ТРЮК \"БЛИЗКО К СТОЛКНОВЕНИЮ\""
"DLC2_M03_UPLOAD_VIRUS": "ЗАЩИЩАЙТЕ, ПОКА [format][color:protect]ВИРУС[/format] ЗАГРУЖАЕТСЯ"
"DLC2_M01_OBJ_GO_TO_VEHICLE": "СЯДЬТЕ В [format][color:use]МАШИНУ[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS04": "Переоденьтесь в специалиста Моргенштерна."
"DLC2_OUTRO_DIRECTOR_16": "ТЫ ГЛУХАЯ? ТЫ, БЛЯДЬ, ЧТО ВООБЩЕ ДЕЛАЕШЬ?"
"DLC2_OUTRO_KWILANNA_13": "Я всего лишь делаю то, чем ты меня научил."
"CUST_GANG_PENTHOUSE": "PENTHOUSE"
"HOMIE_DLC2_SPACE_BRUTINA": "КОСМОЗВЕРЮГА"
"UNL_DESC_DLC2_ASSET05_OUTFITS03": "Вы можете стать мохнатым и страшным, используя этот костюм."
"CUST_ITEM_CM_DLC_SLASHER": "КРОМСАТЕЛЬ"
"CUST_ITEM_ZOMBIE_HAT_F_MASK": "МАСКА ЗОМБИ 1"
"DLC2_M03_FAIL_AIRCRAFT_DESTROYED": "ВАШ КОРАБЛЬ БЫЛ УНИЧТОЖЕН!"
"DLC2_M02_OBJ_MISSION_START": "ИДИТЕ [format][color:location]НА СЪЕМОЧНУЮ ПЛОЩАДКУ[/format]"
"DLC2_ACHIEVE_SR3_CAMERAMEN_DOWN": "Гроза профсоюза"
"UNL_DLC2_ITEM_MIND_CONTROL_HELMET": "ПРЕДМЕТ - ШЛЕМ УПРАВЛЕНИЯ РАЗУМОМ"
"DLC2_M03_GET_IN_RANGE": "ДОБЕРИТЕСЬ ДО ЗОНЫ ДЕЙСТВИЯ [format][color:location]ПЕРЕДАТЧИКА[/format]."
"DLC2_M03_MISSION_NAME": "ЭТОГО НЕ БЫЛО В СЦЕНАРИИ!"
"DLC2_M02_DESTORY_GENERATOR": "УНИЧТОЖЬТЕ [format][color:kill]ГЕНЕРАТОР[/format]"
"DLC2_OUTRO_PC_10": "Эй, Дженни! Дженни, поговори со мной!"
"CUST_ITEM_DLC_FOOT_SLASHER": "САПОГИ ЗАДИРЫ"
"DLC2_M03_TUT_ALIEN_AIRCRAFT": "{HELI_UP_IMG} ПОВЫСИТЬ УГОЛ ПОДЪЕМА\n{HELI_DOWN_IMG} ПОНИЗИТЬ УГОЛ ПОДЪЕМА\n{VTOL_TRANSITION_IMG} ПЕРЕКЛЮЧИТЬСЯ В РЕЖИМ ПОЛЕТА"
"DLC2_M02_USE_MACHINE_TRG_MSG": "ОТКЛЮЧИТЬ"
"DLC2_M02_EXPLOSION_WARNING": "ОТОЙДИТЕ НА БЕЗОПАСНОЕ РАССТОЯНИЕ "
"DLC2_M01_OBJ_JUMP": "ПРЫГНУТЬ"
"DLC2_M01_OBJ_GO_TO_ARMORY": "ОТПРАВЛЯЙТЕСЬ НА  [format][color:location]ВЕРТОЛЕТНУЮ ПЛОЩАДКУ ГВАРДИИ[/format]"
"CUST_ITEM_DLC_SHOES_WEREWOLF": "ЛАПЫ ОБОРОТНЯ"
"UNL_DESC_DLC2_VEHICLE_SPACE_JET_BIKE": "Теперь в гараже вашего жилища есть реактивный байк \"Коса\"."
"UNL_DLC2_GANG_ALIENS": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DLC2_ASSET05_CLOTHING": "ПРЕДМЕТЫ - МАСКИ УЖАСОВ"
"CUST_ITEM_DLC_SUIT_DKRSPCL": "КОСТЮМ СПЕЦИАЛИСТА ДЕКЕРОВ"
"CUST_ITEM_ZOMBIE_UBDY_M_SHIRT": "РУБАШКА ЗОМБИ"
"DLC2_ACHIEVE_SR3_SHOOT_THAT_GREEN_STUFF": "Месть навигатора"
"DLC2_INTRO_KWILANNA_16": "Нет... только меня!"
"DLC2_INTRO_DIRECTOR_13": "КТО ЭТА ДУБЛЕРША И ПОЧЕМУ ОНА СО МНОЙ РАЗГОВАРИВАЕТ?"
"HOMIE_DESC_DLC2_SPACE_BRUTINA": "Неземная красотка бьет так, что мало не покажется."
"CUST_ITEM_DLC_GLOVES_WEREWOLF": "ПЕРЧАТКИ ОБОРОТНЯ"
