"DLC3_OUTRO_08_TAG": "ダンサーポール？"
"DLC3_INTRO_20_JIMMY": "サインだけでもちょうだいよ？"
"DLC3_INTRO_03_JIMMY": "ボクは君を見捨てないよジョニー...　一番のファンなのさ"
"UNL_DESC_DLC3_STORY03_VEHICLES": "ガレージにトルビトロンが追加された"
"UNL_DLC3_HOMIE_JOHNNY_TAG": "ジョニー・タグ"
"DLC3_OUTRO_06_TAG": "ギャット...　ダチ？"
"UNL_DLC3_STORY03_VEHICLES": "トルビトロン"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "ジョニー・タグの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれ"
"UNL_DLC3_STORY03_ALERT": "クローンの災難"
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "スーパーパワーを手に入れた！"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "ジョニー・ガード"
"DLC3_M01_GET_BACK_TO_CLUB": "[format][color:location]TECHNICALLY LEGAL[/format]に戻れ"
"DLC3_INTRO_18_JIMMY": "よっし　いこう！"
"DLC3_INTRO_15_JIMMY": "これはすごいぞ！"
"DLC3_INTRO_10_PIERCE": "ギャットをクローンしただと？"
"DLC3_M01_ABANDONED_STRIP_CLUB": "TECHNICALLY LEGALの中でジミーを待て"
"DLC3_M01_INTERROGATE_OWNER": "[format][color:use]マネージャー[/format]を尋問しろ"
"DLC3_OUTRO_12_JIMMY": "ジ・エンド　...？"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "ギャットの大型クローンと大暴れ！"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "科学の時間"
"CUST_ITEM_DLC_UPP_WITCH": "魔女のローブ"
"CUST_ITEM_DLC_HAT_WITCH": "魔女の帽子"
"DLC3_M03_MISSION_NAME": "クローン投入"
"DLC3_M03_DEFEND_TAG": "[format][color:defend]タグ[/format]を守れ"
"DLC3_INTRO_06_JIMMY": "十分に揃ったと思った..."
"HOMIE_DLC3_AISHA_BRUTELLA": "アイーシャ・ブルテラ"
"CUST_ITEM_DLC_FOOT_WITCH": "魔女のブーツ   "
"UNL_DLC3_CUST02_VEHICLES": "セイラム"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "トルビトロンから離れてしまった！"
"DLC3_M01_FAILURE_CAR_DESTROYED": "ジミーの車が破壊された"
"HOMIE_DLC3_JOHNNY_TAG": "ジョニー・タグ"
"UNL_DLC3_CUST02_OUTFITS01": "魔女"
"DLC3_M01_MISSION_NAME": "科学の時間"
"DLC3_OUTRO_04_PLAYER": "言いたいことはわかる　でも今からでも遅くない"
"DLC3_OUTRO_02_PIERCE": "いまさら話し合いかよ..."
"DLC3_INTRO_01_JIMMY": "それは暗く　荒れた夜のことだった..."
"DLC3_ACHIEVE_SR3_BAMF": "B.A.M.F."
"UNL_DESC_DLC3_CUST02_OUTFITS01": "魔女は生き方的にもファッション的にもイケていることを証明しよう。"
"DLC3_WPN_FIREBALL": "セインツショット"
"DLC3_OUTRO_07_PLAYER": "そうだ　さあもう帰ろう"
"DLC3_INTRO_14_TAG": "ショーゴはどこだ！？"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "歌声ではなく拳でファンをノックアウト！"
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "泣きっ面にハチ"
"DLC3_M01_INTERROGATE_GANG": "[format][color:use]幹部[/format]を尋問しろ"
"DLC3_OUTRO_10_JIMMY": "こうして我らがヒーローの物語は幕を閉じた　彼らの絆はさらに...　深まったのであった　"
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "ポケット入らないモンスター"
"UNL_DLC3_CUST02_CLOTHING": "魔女とウィンナー"
"DLC3_WPN_SAINTSFLOWFIST": "セインツパンチ"
"DLC3_M02_FAIL_TRUCK_DEAD": "トルビトロンが破壊された！"
"DLC3_M02_PROTECT_PIERCE": "[format][color:defend]ピアース[/format]を護衛しろ"
"DLC3_OUTRO_01_PLAYER": "ジョニー　仲間がわからないのか？"
"DLC3_M02_DEFEND_STAGE": "[format][color:defend]ステージ[/format]を守れ"
"DLC3_M01_LOOK_FOR_TAG": "[format][color:location]FRIENDLY FIRE[/format]を調べろ"
"DLC3_INTRO_04_JIMMY": "サンプルの最終には時間を必要とした"
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "火の玉を授ける"
"DLC3_INTRO_19_PIERCE": "オマエは待ってろ　ここはプロにまかせな"
"DLC3_M02_FIND_TAG": "[format][color:location]タグ[/format]を探せ"
"DLC3_OUTRO_05_PIERCE": "そうさ　俺達はダチだろ？"
"DLC3_M01_GOTO_FRIENDLY_FIRE": "[format][color:location]FRIENDLY FIRE[/format]へ行け"
"DLC3_OUTRO_03_TAG": "セインツ...　だめだった"
"CUST_ITEM_DLC_HAT_DH": "小悪魔のツノ"
"DLC3_M02_REVIVE": "蘇生"
"DLC3_M02_GOTO_PLANET_SAINTS": "[format][color:location]PLANET SAINTS[/format]へ行け"
"UNL_DESC_DLC3_CUST02_VEHICLES": "魔女の移動には、やっぱり魔法のホウキ。"
"DLC3_M03_GOTO_HELICOPTER": "[format][color:location]ヘリ[/format]に乗り込め"
"DLC3_INTRO_07_JIMMY": "だが間違っていた"
"CUST_ITEM_DLC_PANTS_WITCH": "魔女のパンツ"
"DLC3_M02_RETURN_TO_TRUCK": "[format][color:location]トルビトロン[/format]に戻れ"
"DLC3_M02_MISSION_NAME": "トルビトロン"
"DLC3_INTRO_02_JIMMY": "神の怒りをかったのだろうか"
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "アイーシャ・ブルテラ"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "待ち伏せ作戦"
"CUST_ITEM_DLC_OUTFIT_WITCH": "魔女"
"DLC3_M03_KILL_GUARD": "[format][color:kill]]警備隊[/format]を始末しろ"
"DLC3_M02_FAIL_FEEDBACK": "ハチランチャーを使って群衆をステージに寄せ付けるな"
"CUST_ITEM_DLC_HAT_HALO": "聖者の後光"
"DLC3_M01_SURVIVE": "ジミーが来るのを[format][color:defend]待て[/format]"
"DLC3_INTRO_11_JIMMY": "うん"
"DLC3_M03_FAIL_TAG_DIED": "ジョニー・タグが死んでしまった！"
"DLC3_M03_KILL_MORNINGSTAR": "[format][color:kill]モーニングスター[/format]を始末しろ"
"DLC3_M03_GOTO_PLANET_SAINTS": "[format][color:location]PLANET SAINTS[/format]のタグを探せ"
"DLC3_M03_GOTO_APARTMENT": "[format][color:location]アジトのアパート[/format]のタグを探せ"
"DLC3_M02_OBJ_MISSION_START": "[format][color:location]ジミーの家[/format]へ行け"
"DLC3_M01_DESTROY_ROADBLOCK": "[format][color:kill]バリケード[/format]を突破しろ"
"DLC3_M01_PROTECT_CAR": "[format][color:defend]車[/format]を守れ"
"DLC3_OUTRO_11_JIMMY": "スティールポートの平和は取り戻された　しかし　いつまた脅威が訪れるかはわからない"
"DLC3_OUTRO_09_PLAYER": "そうそう　ダンサーポール"
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "ゲリラアーティスト"
"DLC3_WPN_BEE_GUN": "ハチランチャー"
"DLC3_INTRO_16_JIMMY": "ちょっと　どこ行くんだよ？"
