"DLC3_OUTRO_08_TAG": "Danspaal?"
"DLC3_INTRO_20_JIMMY": "Mag ik misschien een handtekening van je?"
"DLC3_INTRO_03_JIMMY": "Ze lieten je in de steek, Johnny... maar ik zal dat nooit doen. Ik ben je grootste fan."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Je hebt nu de Torbitron tot je beschikking in de garage bij je woning"
"UNL_DLC3_HOMIE_JOHNNY_TAG": "HOMIE - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat... vriend?"
"UNL_DLC3_STORY03_VEHICLES": "VOERTUIG - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Johnny Tag kun je vinden in het telefoonmenu van je mobieltje. Hij zal de Saints bij een gevecht helpen."
"UNL_DLC3_STORY03_ALERT": "HET PROBLEEM MET KLONEN IS..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "JE HEBT SUPERKRACHTEN!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "De Johnnywaker"
"DLC3_M01_GET_BACK_TO_CLUB": "GA TERUG NAAR [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "Ja, we doen dit!"
"DLC3_INTRO_15_JIMMY": "Dit is zo verdomde fantastisch!"
"DLC3_INTRO_10_PIERCE": "Wacht eens! Heb jij Gat gekloond?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "JE MOET IN TECHNICALLY LEGAL OP JOHNNY WACHTEN"
"DLC3_M01_INTERROGATE_OWNER": "ONDERVRAAG DE [format][color:use]EIGENAAR[/format]"
"DLC3_OUTRO_12_JIMMY": "EINDE. Vraagteken?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Zet de boel op stelten met de groter dan grote kloon van Gat."
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Weird Science"
"CUST_ITEM_DLC_UPP_WITCH": "HEKSENJURK"
"CUST_ITEM_DLC_HAT_WITCH": "HEKSENHOED"
"DLC3_M03_MISSION_NAME": "STUUR DE KLONEN MAAR"
"DLC3_M03_DEFEND_TAG": "VERDEDIG [format][color:defend]TAG[/format]"
"DLC3_INTRO_06_JIMMY": "Ik dacht dat ik genoeg dingen had die hij aangeraakt had."
