"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"TUT_WHORED_STRIPPERS": "СТРИПТИЗЕРШИ"
"TUT_WHORED_ZOMBIE": "ЗОМБИ"
"TUT_TITLE_RECRUITING": "ВЕРБОВАТЬ"
"dildo_bat": "ПЕНЕТРАТОР"
"PAUSE_ACT_CHOP_REMOVE_HUD": "УБРАТЬ С ЭКРАНА"
"UNL_CASH_LIMIT_EURO_1": "ЛИМИТ ТРАНСФЕРА"
"UNL_CASH_MULTIPLIER_2": "БОНУС - НАЛИЧКА 2"
"UNL_DESC_WEP_SATCHEL_CHARGES": "Взять ранцевый заряд вы сможете на оружейном складе в вашем жилище."
"ACHIEVE_SR3_WERE_TAKIN_OVER": "МЫ ПОБЕЖДАЕМ"
"HUD_DIVERSION_RESPECT": "АВТОРИТЕТ"
"TUT_WHORED_Z_ONE_SIDED": "ОДНОБОКИЙ"
"TUT_WHORED_AYDIOSMIO": "¡AY DIOS MIO!"
"TUT_TITLE_NAG_CRIB_STASH": "ТАЙНИК"
"TUT_TITLE_GANG_VEHICLE_CUSTOMIZE": "ИЗМЕНЕНИЕ ТРАНСПОРТА БАНДЫ"
"HUD_START_QTE_MESSAGE": "ЗАВАЛИТЬ ГРОМИЛУ"
"HUD_NEW_MISSION_AVAILABLE": "ДОСТУПНО НОВОЕ ЗАДАНИЕ"
"HOMIES_VTOL": "СВВП"
"TUT_WHORED_A_STEELPORT_WAY": "ВОТ ЭТО ПО-СТИЛПОРТСКИ"
"TUT_WHORED_A_PUNCH_DRUNK": "ПЬЯНАЯ ДРАКА"
"TUT_WHORED_D_LEAGUE_OF_OWN": "ЛИГА САМИХ ПО СЕБЕ"
"TUT_NAG_CHANGE_CLOTHES": "ПОМНИТЕ! ЧТОБЫ ПОВЫШАТЬ СВОЮ СТИЛЬНОСТЬ, НУЖНО ПОКУПАТЬ ОДЕЖДУ."
"UNL_DESC_DTL_STRONGHOLD_04_CUSTOMIZATION": "Эта крепость ваша!\nВы можете изменять и модернизировать ее в жилище \"Раз-два-три\", чтобы расширять влияние Святых и получить огромные бонусы модернизации."
"UNL_DAMAGE_FIRE_4": "УРОН ОТ ОГНЯ 4"
"TUT_NITROUS": "{NITRO_IMG} ВКЛЮЧИТЬ НИТРОВПРИВОД"
"TUT_DLC": "Вы можете загрузить дополнительный контент."
"TUT_TITLE_STORE_INTRO_MECHANIC": "КРЕПКИЙ СТЕРЖЕНЬ"
"TUT_GENERAL_SMOKED": "Вы убиты! \nКогда ваше здоровье заканчивается, с вас взимается плата за оживление, и игра возобновляется у ближайшей клиники. "
"TUT_CRIB_WEAPONS": "Это ваш оружейный тайник. \nВооружайтесь здесь."
"UNL_DESC_DLC_PREORDER02_OUTFITS": "В этом костюме вы будете выглядеть точь-в-точь как Займос."
"UNL_DESC_CRIB_BDSM": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашей наличности, оружию и одежде, а также изменить свою банду."
"TUT_SAVE_GAME": "Чтобы приостановить игру и загрузить или сохранить игру, нажмите {PAUSE_MENU_IMG}."
"WPN_RIFLEGANG_DESCRIPT": "Самая обычная штурмовая винтовка."
"CONFIRM_RESTART_TITLE": "ЗАНОВО - ПОДТВЕРЖДЕНИЕ"
"HOMIES_ZIMOS": "ЗАЙМОС"
"TUT_WHORED_A_WELL_DONE": "ОТЛИЧНО"
"TUT_DLC_MONEYSHOT": "Это особенная снайперская винтовка."
"UNL_CASH_LIMIT_MSTAR_3": "ЛИМИТ ТРАНСФЕРА"
"UNL_MUSCLES_3": "БЛИЖНИЙ БОЙ - МЫШЦЫ 3"
"UNL_DESC_CASH_FOR_RESPECT_3": "Заплатить налом за 12000 ед. авторитета."
"TUT_TITLE_SHOOTING_STUNTS": "БОЕВЫЕ ПРИЕМЫ"
"ACHIEVE_SR3_LIFE_OF_THE_PARTY": "ДУША КОМПАНИИ"
"WPN_GRENADELAUNCHER_DESCRIPT": "Выпустите сразу кучу гранат, чтобы жахнуло как следует."
"HUD_FEET": "ФУТОВ"
"UNL_DESC_HOMIE_HEALTH_3": "Уровень здоровья всех последователей увеличивается 30%%."
"TUT_WHORED_Z_GATS_WET": "ПОЛЛЮЦИЯ ГЭТА"
"TUT_TITLE_STREAKING": "БЕГ ГОЛЫМ"
"WPN_URINAL": "ПИССУАР"
"RPG_AMMO": "ВЫСТРЕЛЫ К РГ"
"HUD_TRIGGER_VEHICLE_REPAIR_NSF": "ВАМ НЕ ХВАТАЕТ $%d НА РЕМОНТ МАШИНЫ."
"UNL_CASH_LIMIT_LUCHA_2": "ЛИМИТ ТРАНСФЕРА"
"UNL_DESC_VEHICLE_STAG_NFORCER": "Теперь в гараже вашего жилища есть штурмовик КАБАНа."
"UNL_HEALTH_REGEN_3": "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ 3"
"UNL_DESC_NOTORIETY_LUCHA_1": "Уровень дурной славы в отношениях с Лучадорами снижается быстрее."
"TUT_NAG_GANG_CUSTOMIZE": "Вы можете модифицировать Святых в своей штаб-квартире, чтобы они стали действительно ВАШИМИ святыми."
"TUT_VEHICLE_ENTRY": "{ACTION_IMG} УГОН АВТОМОБИЛЯ\n{SPRINT_IMG} + {ACTION_IMG} БЫСТРЫЙ УГОН АВТОМОБИЛЯ"
"TUT_THROW_KILL": "{ACTION_IMG} БРОСИТЬ ЖИВОЙ ЩИТ."
"ACHIEVE_SR3_YOUR_BACKSEAT_SMELLS_FUNNY": "ТВОЕ ЗАДНЕЕ СИДЕНЬЕ СТРАННО ПАХНЕТ"
"HUD_UNLOCKED_SHORTCUT": "Открыт короткий маршрут в GPS!"
"HOMIES_TAXI": "ТАКСИ"
"TUT_WHORED_D_BE_GUILED": "ОБМАНУТ"
"PAUSE_ACT_HITMAN_REMOVE_HUD": "УБРАТЬ С ЭКРАНА"
"HOMIES_SWAT_TEAM_DESC": "Вызовите на помощь спецназ."
"HOMIES_VIOLA_DESC": "Позовите на помощь Виолу."
"UNL_DESC_GANG_NPC_STRIP": "Теперь в вашей банде могут быть стриптизерши."
"UNL_DESC_DLC_GAMEPLAY03_ALERT01": "Награды, связанные с решениями в мисии Моргенштерна, теперь действуют в игре."
"UNL_DLC_ASSET01_ALERT": "НАБОР ВОИНА"
"UNL_DESC_RESPECT_BONUS_PURCHASE4": "Бонус в размере 20%% ко всему авторитету."
"UNL_WEEKLY_PAYMENTS_2": "БОНУС - ПОЧАСОВАЯ ВЫПЛАТА 2"
"TUT_FINEAIM_1": "ТОЧНОЕ ПРИЦЕЛИВАНИЕ ПОЗВОЛЯЕТ ПОВЫСИТЬ ТОЧНОСТЬ СТРЕЛЬБЫ В УЩЕРБ СКОРОСТИ ПЕРЕМЕЩЕНИЯ"
"TUT_TITLE_ACT_GUARDIAN": "АНГЕЛ-ХРАНИТЕЛЬ"
"HUD_HOURS": "Ч."
"HYDRAULICS_ON": "ГИДРАВЛИКА ВКЛ."
"PC_ACT_ESCORT_TIGER_MINIGAME_MSG": "Найдите, где у Тигра чешется. Потом аккуратно почешите."
"UNL_RESPECT_LUCHA_1": "БОНУС АВТОРИТЕТА"
"UNL_UPGRADE_AMMO_SPECIAL_3": "ОСОБЫЕ ПАТРОНЫ 3"
"UNL_DESC_DBNO_EXTRA_TIME_3": "Союзники истекают кровью на 30 секунд дольше."
"TUT_WHORED_MINI_HAMMER": "МИНИ-МОЛОТ"
"TUT_TITLE_AIRSTRIKE": "АВИАУДАР"
"UNL_DESC_RESPECT_MSTAR_2": "За приобретение жилья \"Бордель МЕГА\" количество любого зарабатываемого вами авторитета увеличивается на 10%%."
"UNL_DESC_CASH_LIMIT_LUCHA_1": "За приобретение жилья \"Казино Раз-Два-Три\" ваш лимит перевода денег увеличивается."
"UNL_DESC_FASTER_HOMIE_REVIVE_1": "Последователи возрождаются на 10%% быстрее. "
"UNL_FOLLOWER1": "БАНДА - ПОСЛЕДОВАТЕЛИ"
"PLAYER_CHOICE_M13_OPTION1_TITLE": "[format][color:blue]ВЕРНУТЬ ДЖОША В ОТРЯД КАБАН[/format]"
"TUT_SATCHEL_CHARGES": "{DETONATE_CHARGES_IMG} ДЛЯ ПОДРЫВА ЗАРЯДА"
"WPN_SHOTGUNGANG_DESCRIPT": "Классический дробовик, слегка модифицированный Святыми."
"HUD_RESPECT_RANK_003": "ПОТАСКУШКА"
