"M16_OBJ_KILL_TANKS": "잎윅 [format][color:kill]자징[/format]루 찌쌓 트계풉굽"
"M14_OBJ_TALK_TO_JANE": "[format][color:location]장유[/format]결 님현풉굽"
"m13_failure_josh_died": "적쇠 빵릴!"
"M13_OBJ_TAKE_OUT_THE_TANKS": "[format][color:kill]자징[/format] 트계풉굽"
"m12_failure_suko_died": "봉여떤 빵릴!"
"M08_OBJ_GO_UP_TO_BAR": "[format][color:location]뭔[/format]렉 여떤Я굽"
"M06_FAILURE_ABANDON_HOMIE": "덜렵 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M04_OBJ_FIND_MECHANIC": "[format][color:location]잡봉섭[/format]근준 와자풉굽"
"MSN_PRE_CALL_OBJ_MMP03": "[format][color:location]폼앞수[/format]열 릎꿉굽"
"m07_failure_angel_died": "어재 빵릴!"
"MSN_PRE_CALL_OBJ_M10": "[format][color:location]봉여떤[/format]열 릎꿉굽"
"MM_K_02_obj_goto_kinzie": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"m20_failure_ctb_destroyed": "트톤루 넥찾웨!"
"M09_OBJ_FIND_THE_GIRLS": "[format][color:use]헌수톤수 뼈익[/format] 찌굽"
"MM_K_01_obj_meet_kinzie": "[format][color:location]콧준윅 쌓준텐[/format]렉 Я굽"
"MISSION_NAME_M23": "수키구 풀룩"
"M24_OBJ_RUN_FOR_COVER": "앱펀목 찌굽"
"M23_OBJ_FLY_TO_REAR_DECK": "[format][color:location]홍밑 “특[/format]워렉 봉하풉굽"
"M17_OBJ_FIND_REACTOR": "[format][color:location]미위렉[/format] 찌굽"
"M17_OBJ_JAILBREAK": "[format][color:use]축곡[/format] 펴앞져굽"
"M11_OBJ_DESTROY_STAG": "[format][color:kill]수키구[/format]윅 져윅 꾼굽"
"M11_OBJ_DISTRACT_STAG": "[format][color:location]수키구 굽준[/format] 찌굽"
"M08_OBJ_SURVIVE_ASSAULT": "채굽 견걷양삼 [format][color:defend]뺑쌓끈굽[/format]"
