"MP_CANCEL_JOIN": "CANCELAR"
"MULTI_ERROR_JOIN_REJECTED": "El anfitrión no acepta jugadores en este momento."
"MULTI_ERROR_HOST_LEFT": "El anfitrión ha abandonado la partida."
"COOP_REMOTE_CHEAT_QUIT": "SALIR"
"MULTI_JOIN_LOAD_TITLE": "COOPERATIVO"
"COOP_LOAD_EXPLANATION_TEXT": "CARGARÁ PERSONAJE, ROPAS Y VEHÍCULOS DE OTRA PARTIDA"
"COOP_CANT_JOIN_YET_MISSION": "%ls no se puede unir mientras estás en una misión.\nSe unirá cuando vuelvas a la partida normal."
"COOP_FREINDLY_FIRE_LIGHT": "¡Luz de fuego amigo activada!\nAhora puedes dañar parcialmente a tu compañero."
"COOP_DISCONNECTED": "¡Has sido desconectado!"
"MULTI_NO_PRIVILEGE_PS3": "Este perfil no puede conectarse."
"MP_INVITE_SENT_TITLE": "INVITACIÓN DE JUEGO ENVIADA"
"COOP_FREINDLY_FIRE_ON": "¡Fuego amigo activado!\nAhora puedes dañar a tu compañero."
"COOP_JOIN_REQUEST_MESSAGE": "%ls quiere entrar en tu partida."
"CONTROL_KICK_PLAYER": "EXPULSAR A JUGADOR  "
"MP_FIND_SERVER_TITLE": "BUSCANDO SERVIDOR"
"MULTI_ONLINE_RESTRICTED": "DESCONECTADO"
"COOP_REMOTE_CHEAT_CONTINUE": "CONTINUAR"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "El identificador de uno de los jugadores contiene caracteres incompatibles. Estos caracteres se muestran como \"_\"."
"MP_JOIN_SERVER_BODY": "Esperando a que el anfitrión acepte la conexión."
"QUIT_TO_MAIN_MENU": "ABANDONAR LA PARTIDA"
"MULTI_ERROR_NETWORK_TROUBLE": "El anfitrión ha abandonado la partida."
"COOP_PARTNER_PAUSED": "%s HA PARADO LA PARTIDA"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls no puede unirse mientras estés en una fortaleza.\nSe unirá cuando regreses a la partida normal."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls no puede unirse mientras estés en una actividad.\nSe unirá cuando regreses a la partida normal."
"HASH_26F67AA8": "El servidor no está disponible en este momento. Vuelve a intentarlo más tarde."
"MP_WINNERS_TIE": "EMPATE"
"MULTI_ERROR_CANT_FIND_MATCH": "No se encuentran partidas."
"COOP_JOIN_IS_WAITING": "%ls esta esperando para unirse."
"COOP_LOAD_TITLE_TEXT": "CARGAR PERSONAJE"
"MULTI_ERROR_INTERNAL_ERROR": "Te has desconectado de la partida."
"COOP_JOIN_IN_PROGRESS": "%ls SE ESTÁ UNIENDO A LA PARTIDA."
"COOP_INCORRECT_MODE": "MODO INCORRECTO"
"MULTI_JOIN_FRIEND": "UNIRSE A UN AMIGO"
"MULTI_CONNECTION_LOST_PS3": "Se ha producido un error de conexión.\nVas a volver al menú principal."
"MULTI_CHAT_DISABLED_TITLE": "DESCONECTADO"
"MP_WINNERS_YOU_WIN": "GANAS"
"MULTI_FIND_GAMES": "ENCONTRAR PARTIDA"
"MULTI_MENU_TITLE": "MULTIJUGADOR"
"COOP_TITLE": "COOPERATIVO"
"COOP_JOIN_REQUEST_TITLE": "SOLICITUD DE UNIÓN"
"COOP_FREINDLY_FIRE_OFF": "¡Fuego amigo desactivado!\nYa no puedes dañar a tu compañero."
"COOP_PARTNER_DISCONNECTED": "SE HA PERDIDO LA CONEXIÓN CON %ls"
"MP_JOIN_SERVER_TITLE": "CONECTÁNDOSE AL SERVIDOR"
"COOP_JOIN_REQUEST_MSG": "%ls desea unirse a tu partida.\n¿Quieres darle permiso?"
