"MP_CANCEL_JOIN": "ANNULLA"
"MULTI_ERROR_JOIN_REJECTED": "L'host non accetta giocatori al momento."
"MULTI_ERROR_HOST_LEFT": "L'host ha lasciato la partita."
"COOP_REMOTE_CHEAT_QUIT": "ESCI"
"MULTI_JOIN_LOAD_TITLE": "COOP"
"COOP_LOAD_EXPLANATION_TEXT": "CARICA PERSONAGGI, VESTITI E VEICOLI DA UN'ALTRA PARTITA"
"COOP_CANT_JOIN_YET_MISSION": "%ls non possono unirsi mentre sei in missione.\nEntreranno in gioco al termine della missione."
"COOP_FREINDLY_FIRE_LIGHT": "Fuoco amico leggero attivato!\nOra puoi infliggere qualche danno al tuo compagno."
"COOP_DISCONNECTED": "Sei stato disconnesso!"
"MULTI_NO_PRIVILEGE_PS3": "Questo profilo non è abilitato a giocare online."
"MP_INVITE_SENT_TITLE": "INVITO AL GIOCO INVIATO"
"COOP_FREINDLY_FIRE_ON": "Fuoco amico attivato!\nOra puoi danneggiare il tuo compagno."
"COOP_JOIN_REQUEST_MESSAGE": "%ls vuole unirsi alla partita."
"CONTROL_KICK_PLAYER": "ESPELLI GIOCATORE  "
"MP_FIND_SERVER_TITLE": "RICERCA SERVER"
"MULTI_ONLINE_RESTRICTED": "ONLINE NON DISPONIBILE"
"COOP_REMOTE_CHEAT_CONTINUE": "CONTINUA"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Un giocatore ha un ID che contiene dei caratteri non supportati. Questi caratteri compaiono come \"_\"."
"MP_JOIN_SERVER_BODY": "In attesa che l'host accetti la connessione."
"QUIT_TO_MAIN_MENU": "TERMINA PARTITA"
"MULTI_ERROR_NETWORK_TROUBLE": "L'host ha lasciato la partita."
"COOP_PARTNER_PAUSED": "%s HA MESSO IL GIOCO IN PAUSA"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls non possono partecipare quando sei in una roccaforte.\nEntreranno in gioco in seguito."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls non possono partecipare durante una modalità.\nEntreranno in gioco al termine della modalità."
"HASH_26F67AA8": "Il server non è disponibile. Riprova più tardi."
"MP_WINNERS_TIE": "PAREGGIO"
"MULTI_ERROR_CANT_FIND_MATCH": "Nessuna partita trovata."
"COOP_JOIN_IS_WAITING": "%ls sta aspettando di partecipare."
"COOP_LOAD_TITLE_TEXT": "CARICA PERSONAGGIO"
"MULTI_ERROR_INTERNAL_ERROR": "Sei stato disconnesso dalla partita."
"COOP_JOIN_IN_PROGRESS": "%ls STA PER PARTECIPARE ALLA PARTITA."
"COOP_INCORRECT_MODE": "MODALITÀ ERRATA"
"MULTI_JOIN_FRIEND": "UNISCITI A UN AMICO"
"MULTI_CONNECTION_LOST_PS3": "Si è verificato un errore di connessione.\nRitorno al menu principale."
"MULTI_CHAT_DISABLED_TITLE": "ONLINE NON DISPONIBILE"
"MP_WINNERS_YOU_WIN": "HAI VINTO"
"MULTI_FIND_GAMES": "CERCA PARTITA"
"MULTI_MENU_TITLE": "MULTIGIOCATORE"
"COOP_TITLE": "COOP"
"COOP_JOIN_REQUEST_TITLE": "RICHIESTA DI PARTECIPAZIONE"
"COOP_FREINDLY_FIRE_OFF": "Fuoco amico disattivato!\nNon puoi più danneggiare il tuo compagno."
"COOP_PARTNER_DISCONNECTED": "CONNESSIONE A %ls PERSA"
"MP_JOIN_SERVER_TITLE": "ACCESSO SERVER"
"COOP_JOIN_REQUEST_MSG": "%ls vorrebbe partecipare alla partita.\nGlielo consenti?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls non possono partecipare durante un filmato.\nEntreranno in gioco al termine del filmato."
"COOP_REMOTE_CHEAT_KICK": "ESPELLI GIOCATORE E CONTINUA LA PARTITA"
"COOP_WAIT_FOR_ANYONE": "ASPETTA UN GIOCATORE QUALUNQUE"
"COOP_LOAD_OLD_TEXT": "CARICA"
"COOP_CANT_JOIN_YET_PROLOGUE": "Questa missione deve essere riavviata per permettere a %ls di unirsi alla tua partita. Ricominciando perderai tutti i progressi del checkpoint della missione.\nPermettere l'unione?"
"MULTI_ERROR_SESSION_ERROR": "Impossibile unirsi alla partita."
"HASH_59B4B8D2": "%ls ha abbandonato la sessione di gioco"
"INVITE_FAILED_TITLE": "INVITO AL GIOCO FALLITO"
"MULTI_NO_ETHERNET": "Si è verificato un errore di connessione.\nRitorno al menu principale."
"COOP_DISCONNECTED_FROM_SERVER": "Sei stato disconnesso dall'host quindi devi tornare al menu principale.\nVuoi salvare prima di uscire dal livello?"
"MULTI_ERROR_NO_JOIN_INFO": "Impossibile unirsi alla partita."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "SALVA ED ESCI DALLA PARTITA"
"COOP_KICKED": "Sei stato espulso dal gioco!"
"MP_JOIN_DENY": "RIFIUTARE"
"MP_JOIN_ACCEPT": "ACCETTARE"
"LIVE_PLAYER_LEFT": "%ls HA ABBANDONATO LA SESSIONE DI GIOCO"
"COOP_HOST_BUSY": "L'host è occupato e ha chiesto di attendere..."
"COOP_WAIT": "Attendere..."
"COOP_CREATE_NEW_TEXT": "CREA NUOVO"
"MULTI_JOIN_DELAY_MSG": "Nella partita alla quale vuoi partecipare è in corso una modalità, una missione o una roccaforte.\nEntrerai in gioco al termine della modalità."
"MP_FIND_SERVER_BODY": "Ricerca di una partita."
"COOP_MAY_HAVE_DROPPED": "RICONNESSIONE A %ls IN CORSO"
"MULTI_ERROR_SESSION_FULL": "La Partita non è più disponibile."
"MULTI_CHAT_DISABLED": "CHAT NON DISPONIBILE"
"MULTI_ONLINE_RESTRICTED_TITLE": "ONLINE NON DISPONIBILE"
"MULTI_LOST_CONNECTION_SYS": "Si è verificato un errore di connessione.\nRitorno al menu principale."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "SALVA E CONTINUA PARTITA"
"MP_WINNERS_YOU_LOSE": "HAI PERSO"
"MP_DISCONNECT_HOST_LEFT": "L'host ha lasciato la sessione di gioco.\nDevi tornare al menu principale."
"MP_INVITE_SENDING": "Invio invito in corso..."
"MP_INVITE_SENT_BODY": "Invito ad un gioco inviato a {0}.  "
"MULTI_NOT_SIGNED_IN": "Per usare questa caratteristica devi accedere a un profilo giocatore."
"INVITE_FAILED_BODY": "Impossibile inviare l'invito a {0}."
"MULTI_NOT_SIGNED_IN_PS3": "Per usare questa caratteristica devi accedere a un profilo."
