"MP_CANCEL_JOIN": "ANULUJ"
"MULTI_ERROR_JOIN_REJECTED": "Gospodarz nie przyjmuje teraz graczy."
"MULTI_ERROR_HOST_LEFT": "Gospodarz opuścił grę."
"COOP_REMOTE_CHEAT_QUIT": "WYJDŹ"
"MULTI_JOIN_LOAD_TITLE": "TRYB WSPÓŁPRACY"
"COOP_LOAD_EXPLANATION_TEXT": "CZY CHCESZ WCZYTAĆ POSTAĆ, CIUCHY I POJAZDY Z INNEJ GRY?"
"COOP_CANT_JOIN_YET_MISSION": "%ls nie może dołączyć, gdy rozgrywasz misję.\nDołączy, gdy wrócisz do normalnej gry."
"COOP_FREINDLY_FIRE_LIGHT": "Lekki ostrzał kolegów z drużyny włączony!\nTeraz możesz zadać niewielkie obrażenia swojemu partnerowi."
"COOP_DISCONNECTED": "Rozłączono cię!"
"MULTI_NO_PRIVILEGE_PS3": "Ten profil nie może grać przez internet."
"MP_INVITE_SENT_TITLE": "WYSŁANO ZAPROSZENIE DO GRY"
"COOP_FREINDLY_FIRE_ON": "Ostrzał kolegów z drużyny włączony!\nTeraz możesz zadawać obrażenia swojemu partnerowi."
"COOP_JOIN_REQUEST_MESSAGE": "%ls chce dołączyć do twojej gry."
"CONTROL_KICK_PLAYER": "WYKOP GRACZA  "
"MP_FIND_SERVER_TITLE": "ZNAJDOWANIE SERWERA"
"MULTI_ONLINE_RESTRICTED": "BRAK ONLINE"
"COOP_REMOTE_CHEAT_CONTINUE": "KONTYNUUJ"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Gracz ma ID z nieobsługiwanymi znakami. Te znaki wyświetlane będą jako \"_\"."
"MP_JOIN_SERVER_BODY": "Czekanie, aż gospodarz zaakceptuje połączenie."
"QUIT_TO_MAIN_MENU": "WYJDŹ Z GRY"
"MULTI_ERROR_NETWORK_TROUBLE": "Gospodarz opuścił grę."
"COOP_PARTNER_PAUSED": "GRACZ %s ZAPAUZOWAŁ GRĘ"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls nie może dołączyć, gdy rozgrywasz fortecę.\nDołączy, gdy wrócisz do normalnej gry."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls nie może dołączyć, gdy rozgrywasz akcję.\nDołączy, gdy wrócisz do normalnej gry."
"HASH_26F67AA8": "Serwer gry jest obecnie niedostępny. Spróbuj ponownie później."
"MP_WINNERS_TIE": "REMIS"
"MULTI_ERROR_CANT_FIND_MATCH": "Nie udało się znaleźć żadnych gier."
"COOP_JOIN_IS_WAITING": "%ls czeka na dołączenie."
"COOP_LOAD_TITLE_TEXT": "WCZYTAJ POSTAĆ"
"MULTI_ERROR_INTERNAL_ERROR": "Rozłączono cię z grą."
"COOP_JOIN_IN_PROGRESS": "%ls DOŁĄCZA DO GRY"
"COOP_INCORRECT_MODE": "NIEWŁAŚCIWY TRYB"
"MULTI_JOIN_FRIEND": "DOŁĄCZ DO PRZYJACIELA"
"MULTI_CONNECTION_LOST_PS3": "Wystąpił błąd połączenia.\nWrócisz do menu głównego."
"MULTI_CHAT_DISABLED_TITLE": "BRAK ONLINE"
"MP_WINNERS_YOU_WIN": "WYGRYWASZ"
"MULTI_FIND_GAMES": "ZNAJDŹ GRĘ"
"MULTI_MENU_TITLE": "WIELOOSOBOWA"
"COOP_TITLE": "TRYB WSPÓŁPRACY"
"COOP_JOIN_REQUEST_TITLE": "PROŚBA O DOŁĄCZENIE"
"COOP_FREINDLY_FIRE_OFF": "Ostrzał kolegów z drużyny wyłączony!\nTeraz nie możesz teraz zadawać obrażeń swojemu partnerowi."
"COOP_PARTNER_DISCONNECTED": "POŁĄCZENIE Z GRACZEM \"%ls\" ZOSTAŁO UTRACONE"
"MP_JOIN_SERVER_TITLE": "DOŁĄCZANIE DO SERWERA"
"COOP_JOIN_REQUEST_MSG": "%ls chce dołączyć do twojej gry.\nZgadzasz się na to?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls nie może dołączyć, gdy oglądasz przerywnik.\nDołączy, gdy wrócisz do normalnej gry."
"COOP_REMOTE_CHEAT_KICK": "WYKOP GRACZA I KONTYNUUJ GRĘ"
"COOP_WAIT_FOR_ANYONE": "CZEKAJ NA DOWOLNEGO GRACZA"
"COOP_LOAD_OLD_TEXT": "WCZYTAJ"
"COOP_CANT_JOIN_YET_PROLOGUE": "Misja musi zostać zrestartowana, żeby gracz %ls mógł do niej dołączyć. Utracisz wszystkie postępy w ramach aktualnego punktu kontrolnego.\nChcesz kontynuować?"
"MULTI_ERROR_SESSION_ERROR": "Dołączenie było niemożliwe."
"HASH_59B4B8D2": "%ls opuścił grę"
"INVITE_FAILED_TITLE": "NIEUDANA PRÓBA ZAPROSZENIA"
"MULTI_NO_ETHERNET": "Wystąpił błąd połączenia.\nWrócisz do menu głównego."
"COOP_DISCONNECTED_FROM_SERVER": "Rozłączono cię z serwerem, więc musisz wrócić do głównego menu.\nCzy chcesz zapisać grę przed wyjściem z poziomu?"
"MULTI_ERROR_NO_JOIN_INFO": "Dołączenie było niemożliwe."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "ZAPISZ I WYJDŹ Z GRY"
"COOP_KICKED": "Wykopano cię z gry!"
"MP_JOIN_DENY": "ODMÓW"
"MP_JOIN_ACCEPT": "ZGÓDŹ SIĘ"
"LIVE_PLAYER_LEFT": "%ls OPUŚCIŁ GRĘ"
"COOP_HOST_BUSY": "Gospodarz jest zajęty i prosi o poczekanie..."
"COOP_WAIT": "Proszę czekać..."
"COOP_CREATE_NEW_TEXT": "STWÓRZ NOWĄ"
"MULTI_JOIN_DELAY_MSG": "Gra, do której chcesz dołączyć, jest akcją, misją lub fortecą.\nDołączysz do gry, gdy tryb ten zostanie zakończony."
"MP_FIND_SERVER_BODY": "Wyszukiwanie gry."
"COOP_MAY_HAVE_DROPPED": "PONOWNE ŁĄCZENIE Z GRACZEM \"%ls\""
"MULTI_ERROR_SESSION_FULL": "Rozgrywka w toku lub pełna."
"MULTI_CHAT_DISABLED": "BRAK ROZMÓW"
"MULTI_ONLINE_RESTRICTED_TITLE": "BRAK ONLINE"
"MULTI_LOST_CONNECTION_SYS": "Wystąpił błąd połączenia.\nWrócisz do menu głównego."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "ZAPISZ I KONTYNUUJ GRĘ"
"MP_WINNERS_YOU_LOSE": "PRZEGRYWASZ"
"MP_DISCONNECT_HOST_LEFT": "Gospodarz opuścił sesję gry.\nMusisz wrócić do głównego menu."
"MP_INVITE_SENDING": "Wysyłanie zaproszenia..."
"MP_INVITE_SENT_BODY": "Wysłano zaproszenie do gry ({0})   "
"MULTI_NOT_SIGNED_IN": "Musisz zalogować się do profilu gracza, by skorzystać z tej funkcji."
"INVITE_FAILED_BODY": "Wysłanie zaproszenia do gracza {0} nie powiodło się."
"MULTI_NOT_SIGNED_IN_PS3": "Musisz zalogować się do profilu, by skorzystać z tej funkcji."
