"MP_CANCEL_JOIN": "ОТМЕНА"
"MULTI_ERROR_JOIN_REJECTED": "Сервер не принимает игроков в это время."
"MULTI_ERROR_HOST_LEFT": "Нет соединения с сервером."
"COOP_REMOTE_CHEAT_QUIT": "ВЫЙТИ"
"MULTI_JOIN_LOAD_TITLE": "СОВМЕСТНАЯ ИГРА"
"COOP_LOAD_EXPLANATION_TEXT": "ЗАГРУЗКА ПЕРСОНАЖА, ОДЕЖДЫ И ТРАНСПОРТА ИЗ ДРУГОЙ ИГРЫ"
"COOP_CANT_JOIN_YET_MISSION": "%ls не может войти в игру во время миссии.\nВойти в игру можно, когда она в обычном режиме."
"COOP_FREINDLY_FIRE_LIGHT": "Огонь по своим включен!\nВы можете повредить своему партнеру."
"COOP_DISCONNECTED": "Вы отключились от сети!"
"MULTI_NO_PRIVILEGE_PS3": "С этим профилем невозможно играть по сети. "
"MP_INVITE_SENT_TITLE": "ПРИГЛАШЕНИЕ ОТПРАВЛЕНО"
"COOP_FREINDLY_FIRE_ON": "Огонь по своим включен!\nВы можете повредить своему партнеру."
"COOP_JOIN_REQUEST_MESSAGE": "%ls хочет войти в вашу игру"
"CONTROL_KICK_PLAYER": "ВЫБИТЬ ИГРОКА  "
"MP_FIND_SERVER_TITLE": "ПОИСК СЕРВЕРА "
"MULTI_ONLINE_RESTRICTED": "БЕЗ СЕТИ"
"COOP_REMOTE_CHEAT_CONTINUE": "ПРОДОЛЖИТЬ"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Неподдерживаемые символы в ID игрока. Такие символы отображаются как \"_\""
"MP_JOIN_SERVER_BODY": "Ожидание положительного ответа сервера."
"QUIT_TO_MAIN_MENU": "ПОКИНУТЬ ИГРУ"
"MULTI_ERROR_NETWORK_TROUBLE": "Нет соединения с сервером."
"COOP_PARTNER_PAUSED": "ИГРОК %s ОСТАНОВИЛ ИГРУ"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls не может войти в игру во время захвата крепости.\nВойти в игру можно, когда она в обычном режиме."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls не может войти в игру во время задания.\nВойти в игру можно, когда она в обычном режиме."
"HASH_26F67AA8": "В настоящее время сервер недоступен. Повторите попытку позже."
"MP_WINNERS_TIE": "НИЧЬЯ"
"MULTI_ERROR_CANT_FIND_MATCH": "Нет найденных игр."
"COOP_JOIN_IS_WAITING": "%ls ОЖИДАЕТ, ЧТОБЫ ПРИСОЕДИНИТЬСЯ К ИГРЕ."
"COOP_LOAD_TITLE_TEXT": "ЗАГРУЗИТЬ ПЕРСОНАЖА"
"MULTI_ERROR_INTERNAL_ERROR": "Вы были отсоединены от игры. "
"COOP_JOIN_IN_PROGRESS": "%ls ВХОДИТ В ИГРУ"
"COOP_INCORRECT_MODE": "НЕВЕРНЫЙ РЕЖИМ"
"MULTI_JOIN_FRIEND": "ПРИСОЕДИНИТЬСЯ К ДРУГУ"
"MULTI_CONNECTION_LOST_PS3": "Произошла ошибка подключения.\nВы возвращаетесь в главное меню."
"MULTI_CHAT_DISABLED_TITLE": "БЕЗ СЕТИ"
"MP_WINNERS_YOU_WIN": "ВЫ ПОБЕДИЛИ"
"MULTI_FIND_GAMES": "НАЙТИ ИГРУ"
"MULTI_MENU_TITLE": "СЕТЕВАЯ ИГРА"
"COOP_TITLE": "СОВМЕСТНАЯ ИГРА"
"COOP_JOIN_REQUEST_TITLE": "ЗАПРОС ПОДКЛЮЧЕНИЯ"
"COOP_FREINDLY_FIRE_OFF": "Огонь по своим выключен!\nВы больше не можете навредить партнерам."
"COOP_PARTNER_DISCONNECTED": "СВЯЗЬ С %ls ПОТЕРЯНА"
"MP_JOIN_SERVER_TITLE": "ПОДКЛЮЧЕНИЕ К СЕРВЕРУ"
"COOP_JOIN_REQUEST_MSG": "%ls хочет войти в вашу игру.\nПригласить?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls не может войти в игру во время ролика.\nВойти в игру можно, когда она в обычном режиме."
"COOP_REMOTE_CHEAT_KICK": "ОТКЛЮЧИТЬ ИГРОКА И ПРОДОЛЖИТЬ ИГРУ"
"COOP_WAIT_FOR_ANYONE": "ПОДОЖДАТЬ ДРУГОГО ИГРОКА"
"COOP_LOAD_OLD_TEXT": "ЗАГРУЗИТЬ"
"COOP_CANT_JOIN_YET_PROLOGUE": "Чтобы игрок %ls мог вступить в игру, миссию необходимо начать заново. Все данные о  контрольных точках миссии будут потеряны.\nПродолжить? "
"MULTI_ERROR_SESSION_ERROR": "Вы не можете присоединиться к этой игре."
"HASH_59B4B8D2": "%ls выходит из игры"
"INVITE_FAILED_TITLE": "НЕ УДАЛОСЬ ОТПРАВИТЬ ПРИГЛАШЕНИЕ"
"MULTI_NO_ETHERNET": "Произошла ошибка подключения.\nВы возвращаетесь в главное меню."
"COOP_DISCONNECTED_FROM_SERVER": "Вы отключены от сервера и должны вернуться в главное меню.\nХотите сохранить изменения?"
"MULTI_ERROR_NO_JOIN_INFO": "Вы не можете присоединиться к этой игре."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "СОХРАНИТЬ ИГРУ И ВЫЙТИ"
"COOP_KICKED": "Вас выбили из игры!"
"MP_JOIN_DENY": "ОТКЛОНИТЬ"
"MP_JOIN_ACCEPT": "ПРИНЯТЬ"
"LIVE_PLAYER_LEFT": "%ls ВЫХОДИТ ИЗ ИГРЫ."
"COOP_HOST_BUSY": "Сервер перегружен, пожалуйста, подождите."
"COOP_WAIT": "Пожалуйста, подождите. "
"COOP_CREATE_NEW_TEXT": "СОЗДАТЬ НОВОГО"
"MULTI_JOIN_DELAY_MSG": "Игра, к которой вы присоединяетесь, проходит в режиме задания, миссии или захвата крепости.\nВы сможете войти в нее, как только этот режим закончится."
"MP_FIND_SERVER_BODY": "Поиск игры."
"COOP_MAY_HAVE_DROPPED": "ПОВТОРНОЕ ПОДКЛЮЧЕНИЕ К %ls"
"MULTI_ERROR_SESSION_FULL": "Сеанс игры не доступен"
"MULTI_CHAT_DISABLED": "БЕЗ ЧАТА"
"MULTI_ONLINE_RESTRICTED_TITLE": "БЕЗ СЕТИ"
"MULTI_LOST_CONNECTION_SYS": "Произошла ошибка подключения.\nВы возвращаетесь в главное меню."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "СОХРАНИТЬ ИГРУ И ПРОДОЛЖИТЬ"
"MP_WINNERS_YOU_LOSE": "ВЫ ПРОИГРАЛИ"
"MP_DISCONNECT_HOST_LEFT": "Сервер покинул игру.\nВы должны вернуться в главное меню."
"MP_INVITE_SENDING": "Отправляю приглашение..."
"MP_INVITE_SENT_BODY": "Приглашение отправлено {0}.  "
"MULTI_NOT_SIGNED_IN": "Вы должны войти под профилем игрока, чтобы воспользоваться данной опцией. "
"INVITE_FAILED_BODY": "Невозможно отправить приглашение игроку {0}."
"MULTI_NOT_SIGNED_IN_PS3": "Вы должны войти под профилем игрока, чтобы воспользоваться данной опцией. "
