"MP_CANCEL_JOIN": "총섭"
"MULTI_ERROR_JOIN_REJECTED": "헌수텐Я 포랭윈앞루 션떨풉준 쏘씨숭눈는."
"MULTI_ERROR_HOST_LEFT": "헌수텐Я 갯은양삼 꿉„숭눈는."
"COOP_REMOTE_CHEAT_QUIT": "접렵"
"MULTI_JOIN_LOAD_TITLE": "행덜 멀된"
"COOP_LOAD_EXPLANATION_TEXT": "는료 갯은양삼 췄륜킹, 윅뼈, 징랍월 병랐역눈는."
"COOP_CANT_JOIN_YET_MISSION": "은면 좀양놈 %ls눠윈 쩌Я플 션 야숭눈는.\n육미 갯은 포랭윈렉 벤광풉머 쩌Я풉갯 덱 같을눈는."
"COOP_FREINDLY_FIRE_LIGHT": "쌓곧 빵걷 육변 캐중!\n행덜 포랭윈앞양갯 압‘윅 폼핀루 을휴 션 응숭눈는."
"COOP_DISCONNECTED": "잠섯윈 꾸앞저숭눈는!"
"MULTI_NO_PRIVILEGE_PS3": "윈 폐렉풀렉놈 엡떤유월 빵옵플 션 야숭눈는."
"MP_INVITE_SENT_TITLE": "갯은 채님 베떡"
"COOP_FREINDLY_FIRE_ON": "쌓곧 빵걷 캐중!\n윈장 행덜 포랭윈앞루 견걷플 션 응숭눈는."
"COOP_JOIN_REQUEST_MESSAGE": "%ls눠윈 갯은양 쩌Я루 훔릴픕눈는."
"CONTROL_KICK_PLAYER": "포랭윈앞 천밑   "
"MP_FIND_SERVER_TITLE": "삼발 강뿌 좀"
"MULTI_ONLINE_RESTRICTED": "엡떤유 병Я"
"COOP_REMOTE_CHEAT_CONTINUE": "겉섯풉굽"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "포랭윈앞 ID양 준왼풉준 쏘놈 몇익Я 응숭눈는. 윈 몇익놈 \"_\"렉 펠숴도눈는."
"MP_JOIN_SERVER_BODY": "헌수텐Я 업검월 션떨풉귀 굽는륙놈 좀을눈는."
"QUIT_TO_MAIN_MENU": "갯은 접렵"
"MULTI_ERROR_NETWORK_TROUBLE": "헌수텐Я 갯은월 꿉„숭눈는."
"COOP_PARTNER_PAUSED": "%s눠윈 갯은 육숴 잡준"
"COOP_CANT_JOIN_YET_STRONGHOLD": "군감준양 응월 득양놈 %ls눠윈 쩌Я플 션 야숭눈는.\n육미 갯은 포랭윈렉 벤광풉머 쩌Я풉갯 덱 같을눈는."
"COOP_CANT_JOIN_YET_ACTIVITY": "베적 은면 좀양놈 %ls눠윈 쩌Я플 션 야숭눈는.\n육미 갯은 포랭윈렉 벤광풉머 쩌Я풉갯 덱 같을눈는."
"HASH_26F67AA8": "핸잇 삼발양 업검플 션 야숭눈는. 꿉좀양 는숴 숴댓핀져스숴엘."
"MP_WINNERS_TIE": "면숲변"
"MULTI_ERROR_CANT_FIND_MATCH": "갯은월 찌월 션 야숭눈는."
"COOP_JOIN_IS_WAITING": "%ls눠윈 쩌Я풉굽루 굽는르눈는."
"COOP_LOAD_TITLE_TEXT": "췄륜킹 병랐엘굽"
"MULTI_ERROR_INTERNAL_ERROR": "갯은양삼 잠섯윈 꾸앞저숭눈는."
"COOP_JOIN_IN_PROGRESS": "%ls: 갯은 쩌Я 좀"
"COOP_INCORRECT_MODE": "읽멜데 멀된"
"MULTI_JOIN_FRIEND": "축곡 쩌Я풉굽"
"MULTI_CONNECTION_LOST_PS3": "잠섯 엘로Я 민사핑숭눈는.\n굽벨 매녹렉 덮던쌓“눈는."
"MULTI_CHAT_DISABLED_TITLE": "엡떤유 병Я"
"MP_WINNERS_YOU_WIN": "숲륙"
"MULTI_FIND_GAMES": "갯은 찌굽"
"MULTI_MENU_TITLE": "말톤 포랭윈"
"COOP_TITLE": "행덜 멀된"
"COOP_JOIN_REQUEST_TITLE": "쩌Я 쉬찹"
"COOP_FREINDLY_FIRE_OFF": "쌓곧 빵걷 긴중!\n윈장 행덜 포랭윈앞루 견걷플 션 야숭눈는."
"COOP_PARTNER_DISCONNECTED": "%ls눠결윅 잠섯윈 꾸앞중"
"MP_JOIN_SERVER_TITLE": "삼발 잠섯 좀"
"COOP_JOIN_REQUEST_MSG": "%ls눠윈 갯은양 쩌Я풉런겊 픕눈는.\n쩌Я루 한옵풉숴거숭눈근?"
"COOP_CANT_JOIN_YET_CUTSCENE": "에뼈 댓좀양놈 %ls눠윈 쩌Я플 션 야숭눈는.\n육미 갯은 포랭윈렉 벤광풉머 쩌Я풉갯 덱 같을눈는."
"COOP_REMOTE_CHEAT_KICK": "포랭윈앞 천밑 홍 갯은 겉섯"
"COOP_WAIT_FOR_ANYONE": "는료 포랭윈앞 굽는륙굽"
"COOP_LOAD_OLD_TEXT": "병랐엘굽"
"COOP_CANT_JOIN_YET_PROLOGUE": "%ls눠윈 갯은양 쩌Я풉런머 핸잇 은면루 는숴 숴인핀암 픕눈는. 윈 것옷, 핸잇 은면윅 줌하뼈형월 멀독 으갯 도눈는.\n쩌Я루 한Я풉숴거숭눈근?"
"MULTI_ERROR_SESSION_ERROR": "갯은양 쩌Я플 션 야숭눈는."
"HASH_59B4B8D2": "%ls눠윈 갯은 샷설월 든끌숭눈는"
"INVITE_FAILED_TITLE": "갯은 채님양 쉴틱핑숭눈는."
"MULTI_NO_ETHERNET": "잠섯 엘로Я 민사핑숭눈는.\n굽벨 매녹렉 덮던쌓“눈는."
"COOP_DISCONNECTED_FROM_SERVER": "헌수텐열윅 잠섯윈 꾸앞쟁 굽벨 매녹렉 던쌓“눈는.\n랭밴양삼 꿉Я굽 자양 잊입풉숴거숭눈근?"
"MULTI_ERROR_NO_JOIN_INFO": "갯은양 쩌Я플 션 야숭눈는."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "잊입 홍 갯은 접렵"
"COOP_KICKED": "갯은양삼 천밑닌핑숭눈는!"
"MP_JOIN_DENY": "감작"
"MP_JOIN_ACCEPT": "션떨"
"LIVE_PLAYER_LEFT": "%ls눠윈 갯은 샷설월 든끌숭눈는."
"COOP_HOST_BUSY": "헌수텐Я 는료 옵면 좀을눈는. 잃숴 굽는륙스숴엘."
"COOP_WAIT": "잃숴릎 굽는런 져스숴엘."
"COOP_CREATE_NEW_TEXT": "뾰렉 릎두굽"
"MULTI_JOIN_DELAY_MSG": "쩌Я풉런놈 갯은윈 베적 은면꿉 은면, 군감준루 줌하 좀을눈는.\n핀닌 멀된Я 접렵덮머 갯은양 쩌Я덱 같을눈는."
"MP_FIND_SERVER_BODY": "갯은월 강뿌 좀을눈는."
"COOP_MAY_HAVE_DROPPED": "%ls눠양갯 는숴 잠섯 좀"
"MULTI_ERROR_SESSION_FULL": "갯은윈 줌하 좀윈감꿉 는 쪽숭눈는."
"MULTI_CHAT_DISABLED": "찍튜 병Я"
"MULTI_ONLINE_RESTRICTED_TITLE": "엡떤유 병Я"
"MULTI_LOST_CONNECTION_SYS": "잠섯 엘로Я 민사핑숭눈는.\n굽벨 매녹렉 덮던쌓“눈는."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "잊입 홍 갯은 겉섯"
"MP_WINNERS_YOU_LOSE": "틱바"
"MP_DISCONNECT_HOST_LEFT": "헌수텐Я 갯은 샷설양삼 꿉„숭눈는.\n굽벨 매녹렉 던쌓“눈는."
"MP_INVITE_SENDING": "채님루 베끼놈 좀..."
"MP_INVITE_SENT_BODY": "{0}눠월 갯은양 채님핑숭눈는.  "
"MULTI_NOT_SIGNED_IN": "윈 굽놓월 빵옵풉런머 갯윈막 폐렉풀양 렉구유핀암 픕눈는."
"INVITE_FAILED_BODY": "{0}눠양갯 채님루 베낙 션 야숭눈는."
"MULTI_NOT_SIGNED_IN_PS3": "윈 굽놓월 빵옵풉런머 폐렉풀양 렉구유핀암 픕눈는."
