"DLC_STORE_SEASON_PASS_CATEGORY": "숴겪 틱수 커태촬"
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] 색추"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "윈 는와렉된 Я놓프 친태촬놈 윈몽 색추덮앞 응워맵 안샷수 Я놓픕눈는. 곡립루 줌하 풉숴거숭눈근?"
"TUT_DLC_WIN": "윈 몽설월 잇사풉런머 잊입 트육월렉된풉머 회님똑 매녹양 는숴 꿉퀴끊눈는. 윈자양 은면루 염션풉얼 액원 멀됨 베뼈양 겉섯 안샷수 플 션 응숭눈는."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] 숴겪관 끼옵"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} ACCELERATE \\ n {PLANE_BRAKE_REVERSE_IMG} 볼랭윈코 + 륙발수 \\ n {PLANE_PITCH_UP_DOWN_IMG} 폼추 \\ n {PLANE_LEFT_RIGHT_IMG} 렛 \\ n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "윈 는와렉된 Я놓프 커태촬놈 숴겪 틱수Я 색추 덱 득근준 안샷수 플 션 야숭눈는. 는와렉된루 줌하 풉숴거숭눈근?"
"PLT_TITLE_COMPATIBILITY_PS3": "LAN 갯은월풉런머 헌수텐열 덜육프 발자윅 Saints Row : The Third루 빵옵핀암픕눈는. 멀됨 빵뗌윈 척쉬 퀴윈토 앵당윈텐루 는와렉된핑놈준 혈유풉스숴엘."
"UNL_COMMUNITY_ASSET05": "픽멈-면렵 단준굽 잊준"
"UNL_DESC_COMMUNITY_ASSET02": "윅벤 선촬루 을월 션응갯덮얄숭눈는."
"UNL_DESC_COMMUNITY_ASSET05": ""
"UNL_COMMUNITY_ASSET02": "픽멈-벳롭 선촬"
"PLT_TITLE_COMPATIBILITY_PC": "픔김 포랭윈풉런머 ™원 발자윅 Saints Row : The Third루 빵옵핀암픕눈는."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "트텐났양갯윈 혔덜월 포랭윈풉놈 당 풀온프 는와렉된 Я놓프 친태촬Я 야숭눈는. 윈 안톤봉톤루 행덜풉얼 포랭윈풉런머 독 포랭윈앞 멀독윈 는와렉된 Я놓프 커태촬Я 응앞암픕눈는."
"UNL_DESC_COMMUNITY_ASSET06": "썹탑꿉 짜옵 Я놓"
"UNL_COMMUNITY_ASSET01": "픽멈-렉옷 선촬 녕발"
"DLC_STORE_HINT_PURCHASE": "립션"
"UNL_COMMUNITY_ASSET06": "픽멈-썹탑꿉"
"UNL_DESC_COMMUNITY_ASSET01": "윈장 렉옷 선촬 녕발루 을월 션 응숭눈는"
"PLT_TITLE_COMPATIBILITY_XBOX": "숴수탭 를코루 잇사플 헌수텐열 덜육프 발자윅 Saints Row : The Third루 빵옵핀암픕눈는. 멀됨 빵뗌윈 Xbox Live양삼 척쉬 퀴윈토 앵당윈텐루 는와렉된핑놈준 혈유풉스숴엘."
"UNL_DESC_COMMUNITY_ASSET04": "3rd Street Saints 근름광 짜옵 Я놓"
"UNL_COMMUNITY_ASSET03": "픽멈-"
"CHEAT_DISABLED_IN_COOP": "윈 추텐놈 행덜 포랭윈 좀양놈 빵옵플 션 야숭눈는.   "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "윈 는와렉된 Я놓프 친태촬놈 윈몽 색추덮앞 응워맵 안샷수 Я놓픕눈는. 는와렉된루 줌하 풉숴거숭눈근?"
"UNL_COMMUNITY_ASSET04": "픽멈-"
"UNL_DESC_COMMUNITY_ASSET03": "Fleur de Saints 근름광 짜옵 Я놓"
"DLC_STORE_HINT_DOWNLOAD": "는와렉된"
"COOP_DLC_MISMATCH": "는와렉된 Я놓프 육변 친태촬놈 트텐났Я 빵옵플 션 야워맵 육숴잎워렉 봉혔샤현도눈는."
