"MENU_LEFT_MOUSE": "Ratón izq."
"MENU_CATEGORY_GENERAL": "GENERAL"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "DETECCIÓN AUTOMÁTICA"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Guardando contenido. Espera."
"PC_ZONE_TYPE_HINT": "CORTAR A UNA NUEVA CÁMARA O FUNDIR DESDE LA ZONA ANTERIOR"
"PC_EXPORT_LOCK_HINT": "BLOQUEAR EL MOVIMIENTO DE LA CÁMARA EN ESTA ZONA DE CÁMARA"
"PC_CHARACTER_MODEL": "MODELO DE PERSONAJE"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "MOSTRAR MAPA"
"PCACTION_SPRINT": "CORRER"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "CONFIGURA SI LA RADIO SE ENCIENDE AL ENTRAR EN UN VEHÍCULO"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} PROVOCACIÓN \n{TAUNT_THREE_IMG} CUMPLIDO \nInteractúa con la gente y gana respeto provocando y matando a miembros de bandas."
"CBA_VDC_HELI_DOWN": "   BAJAR"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "CONSUMIR ARRIBA"
"PC_ENABLE": "ACTIVAR"
"MENU_CATEGORY_PLANE": "AVIÓN"
"MAINMENU_ONLINE_GAME": "EN LÍNEA"
"CBA_GAC_WEAPON_SELECT_4": "   RANURA DE ARMA 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   INCLINAR A DERECHA"
"MENU_MEDIUM": "MEDIO"
"PLT_MENU_WIDESCREEN": "PANTALLA ANCHA"
"PC_CA_CANCEL": "CANCELAR"
"PC_TOD_AFTERNOON": "TARDE"
"PC_W_RAINY": "LLUVIOSO"
"PC_WEATHER": "CLIMA"
"PC_CM_TRACKING": "RASTREO"
"PC_CM_FOLLOW_WATCH": "SEGUIR Y OBSERVAR"
"PC_REWIND_HINT": "RECARGA Y VUELVE AL PRINCIPIO"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "¡UNIDAD MÓVIL DESTRUIDA!\nACÉRCATE Y APUNTA A LA FURGONETA CON LA CÁMARA."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   MOVER A IZQUIERDA"
"PLT_MENU_PAUSE_FOCUS": "PAUSAR AL PERDER FOCO"
"PC_DOF_NORMAL": "NORMAL"
"PC_CAMERA_UNLOCKED": "CÁMARA DESBLOQUEADA"
"DPAD_UP_TXT": "EL BOTÓN A"
"PCACTION_WEAPON_4": "ARMA 4"
"HASH_AEB9EE85": "El sistema de Matchmaking de GOG no ha podido encontrar ninguna partida a la que conectarse."
"MENU_CAMERA_SMART": "INTELIGENTE"
"PC_RECORD_VIDEO": "GRABAR VÍDEO"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Se ha perdido la conexión online."
"MENU_MOUSE_WHEEL_DOWN": "Rueda abajo"
"MENU_MOUSE_BUTTON_5": "Ratón 5"
"MENU_CONTROLLER_SCHEMES": "MAPA DE CONTROLES"
"PLT_MENU_DISPLAY_MODE": "MODO DE VISUALIZACIÓN"
"PCACTION_RADIO_NEXT": "EMISORA SIGUIENTE"
"PC_RECORD_MODE_PROGRESS": "GUARDANDO VÍDEO: %d%%%% COMPLETADO"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Esto crea conflicto con las siguientes acciones, las cuales quedarán automáticamente sin asignar:"
"MENU_STEAM_STORE": "TIENDA DE STEAM"
"CBA_GAC_TAKE_SCREENSHOT": "   FOTO DE LA COMUNIDAD"
"PLT_MENU_HIGH_DX10_ONLY": "ALTO (DX10 O SUPERIOR)"
"PC_EXIT_EXPLANATION": "¿Salir del editor de clips? Se perderán los cambios no guardados."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "DESPEDIR AL GRUPO"
"PLT_MENU_APPLY": "APLICAR"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ACELERAR \n{BRAKE_REVERSE_IMG} FRENAR + MARCHA ATRÁS \nUsa {LEAN_BACK_IMG} para desplazar tu peso y hacer caballitos y {LEAN_FORWARD_IMG} para hacer burritos."
"CBA_MENU_PC_PUSH_TO_TALK": "   PULSAR PARA HABLAR"
"CBA_OFC_WALK": "   ANDAR (MANTENER)"
"CBA_OFC_TAUNT_THREE": "   CUMPLIDO"
"CBA_VDC_TANK_FIRE_SECONDARY": "   ARMA DE FUEGO 2"
"COOP_JOIN_CHEAT": "Tu socio en cooperativo usa trucos. Todas las partidas que se guarden a partir de ahora tendrán los trucos activados.\nSe ha desactivado el guardado automático y ya no podrás obtener más logros."
"PC_TOD_DEFAULT": "PREDETERMINADO"
"PC_CAM_MODE": "MODO DE CÁMARA"
"PAUSE_MENU_RECORD_MODE": "GRABAR CLIPS DE CINE"
"GAME_PROFILE_SAVING": "Guardando. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   ARMA DE FUEGO 2"
"MULTI_LOBBY_TITLE_SYSLINK": "PUNTO DE ENCUENTRO LAN"
