"MENU_LEFT_MOUSE": "Souris gauche"
"MENU_CATEGORY_GENERAL": "GÉNÉRAL"
"PLT_MENU_ANTI_ALIASING": "    OPTION ANTICRÉNELAGE"
"PLT_MENU_AUTO_DETECT": "AUTO-DÉTECTION"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Sauvegarde en cours. Veuillez patienter."
"PC_ZONE_TYPE_HINT": "PASSER À UNE NOUVELLE CAMÉRA OU FONDU AVEC LA ZONE PRÉCÉDENTE"
"PC_EXPORT_LOCK_HINT": "BLOQUER LE MOUVEMENT DE LA CAMÉRA PENDANT CETTE ZONE CAMÉRA"
"PC_CHARACTER_MODEL": "MODÈLE"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "AFFICHER LA CARTE"
"PCACTION_SPRINT": "SPRINTER"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "CHOISIS SI LA RADIO SE MET EN MARCHE QUAND TU ENTRES DANS UN VÉHICULE"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} TAUNT \n{TAUNT_THREE_IMG} COMPLIMENT \nInteragis avec les gens et gagne du respect en vannant et en tuant des membres de gangs ennemis."
"CBA_VDC_HELI_DOWN": "   DESCENDRE"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "CONSUMER HAUT"
"PC_ENABLE": "CAMÉRA"
"MENU_CATEGORY_PLANE": "AVION"
"MAINMENU_ONLINE_GAME": "EN LIGNE"
"CBA_GAC_WEAPON_SELECT_4": "   EMPLACEMENT ARME 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   ROULER VERS LA DROITE"
"MENU_MEDIUM": "MOYENNE"
"PLT_MENU_WIDESCREEN": "ÉCRAN LARGE"
"PC_CA_CANCEL": "ANNULER"
"PC_TOD_AFTERNOON": "APRÈS-MIDI"
"PC_W_RAINY": "PLUVIEUX"
"PC_WEATHER": "MÉTÉO"
"PC_CM_TRACKING": "TRACKING"
"PC_CM_FOLLOW_WATCH": "SUIVI JOUEUR"
"PC_REWIND_HINT": "RECHARGER ET REMBOBINER AU DÉBUT"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "CAMIONNETTE DE TRANSMISSION DÉTRUITE!\nRAPPROCHE-TOI ET VISE LA CAMIONNETTE AVEC LA CAMÉRA."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   GAUCHE"
"PLT_MENU_PAUSE_FOCUS": "PAUSE QUAND FENÊTRE INACTIVE"
"PC_DOF_NORMAL": "NORMAL"
"PC_CAMERA_UNLOCKED": "CAMÉRA DÉBLOQUÉE"
"DPAD_UP_TXT": "TOUCHE A"
"PCACTION_WEAPON_4": "ARME 4"
"HASH_AEB9EE85": "Le Matchmaking GOG n'a pas pu trouver de parties auxquelles te connecter."
"MENU_CAMERA_SMART": "INTELLIGENTE"
"PC_RECORD_VIDEO": "ENREGISTRER VIDÉO"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Perte de la connexion en ligne."
"MENU_MOUSE_WHEEL_DOWN": "Molette bas"
"MENU_MOUSE_BUTTON_5": "Souris 5"
"MENU_CONTROLLER_SCHEMES": "COMMANDE CARTE"
"PLT_MENU_DISPLAY_MODE": "MODE D'AFFICHAGE"
"PCACTION_RADIO_NEXT": "RADIO SUIVANTE"
"PC_RECORD_MODE_PROGRESS": "SAUVEGARDE VIDÉO : %d%%%% COMPLÉTÉE"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Il y a un conflit pour les actions suivantes. Elles ne seront pas assignées et ce, automatiquement :"
"MENU_STEAM_STORE": "MAGASIN STEAM"
"CBA_GAC_TAKE_SCREENSHOT": "   CAPTURE D'ÉCRAN COMMUNAUTÉ"
"PLT_MENU_HIGH_DX10_ONLY": "ÉLEVÉ (DX10 OU SUPÉRIEUR)"
"PC_EXIT_EXPLANATION": "Quitter l'éditeur de clip? Toute modification non sauvegardée sera perdue."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "RENVOYER GROUPE"
"PLT_MENU_APPLY": "APPLIQUER"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ACCÉLÉRER \n{BRAKE_REVERSE_IMG} FREINER + RECULER \nUtilise {LEAN_BACK_IMG} pour déplacer ton poids et sortir des wheelies et {LEAN_FORWARD_IMG} pour réaliser des stoppies."
"CBA_MENU_PC_PUSH_TO_TALK": "   POUSSER POUR PARLER"
"CBA_OFC_WALK": "   MARCHER (MAINTENIR)"
"CBA_OFC_TAUNT_THREE": "   COMPLIMENTER"
"CBA_VDC_TANK_FIRE_SECONDARY": "   TIR ARME 2"
"COOP_JOIN_CHEAT": "Ton partenaire de Coop utilise des codes triche. Toutes les nouvelles sauvegardes auront les codes triche activés.\nLa sauvegarde automatique a été désactivée. Tu ne pourras plus remporter aucun succès."
"PC_TOD_DEFAULT": "PAR DÉFAUT"
"PC_CAM_MODE": "MODE CAMÉRA"
"PAUSE_MENU_RECORD_MODE": "ENREGISTRER CLIPS CINÉMA"
"GAME_PROFILE_SAVING": "Sauvegarde. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   TIR ARME 2"
"MULTI_LOBBY_TITLE_SYSLINK": "ACCUEIL LAN"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Chargement en cours. Veuillez patienter."
"PC_ADVANCED_MODE_HINT": "OFFRE DES TECHNIQUES D'ÉDITION PLUS AVANCÉES"
"BTN_LTRIGGER_TXT": "TOUCHE A"
"BTN_WHITE_TXT": "TOUCHE A"
"PCACTION_JUMP": "SAUTER"
"HASH_D889CE89": "CHOISIS LA RÉSOLUTION"
"HASH_70DB6EC9": "EN LIGNE"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} POUPÉE CHIFFON \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} GUIDER LE CORPS EN L'AIR"
"CONTROL_L_STICK": "JOYSTICK GAUCHE"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (MAINTENIR)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   DROITE"
"PC_CLIP_ACTIONS": "CHOISIR UNE ACTION À EFFECTUER SUR CE CLIP"
"PC_CA_CLONE": "CRÉER UNE COPIE"
"PC_DOF_WIDE": "GRABD ANGLE"
"PC_EDIT_WARNING": "AVERTISSEMENT"
"PC_SHOW_KEYS": "AFFICHER TOUCHES"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "REMPLACER %ls PAR %ls."
"PCACTION_ACCELERATE": "ACCÉLÉRER"
"PCACTION_CONSUME_RIGHT": "CONSUMER DROITE"
"PC_RECORD_MODE_QUALITY_MED": "720p (MOY)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDÉO SAUVEGARDÉE. CERTAINS CONTENUS PEUVENT AVOIR ÉTÉ PERDUS. ENREGISTRE LES VIDÉOS EN QUALITÉ INFÉRIEURE POUR PRÉVENIR LA PERTE DE DONNÉES."
"CBA_OFC_ATTACK_SECONDARY": "   LANCER GRENADE"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPE 16X"
"PC_PROPS_EXIT_HINT": "FERMER LA FENÊTRE DES PROPRIÉTÉS"
"HASH_342C548B": "INVITATION"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}L'utilisation de codes triche t'empêche de remporter des succès et les sauvegardes automatiques sont désactivées. \n\nVeux-tu quand même activer ce code triche?"
"CBA_VDC_PLANE_TURN_LEFT2": "   DEMI-TOUR À GAUCHE"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "UNE IMAGE/SECONDE OU CUMULATIF"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "CHOISIS LE NIVEAU DE PERFORMANCE DE TA MACHINE"
"PC_UNBOUND_KEY": "NON ASSIGNÉE"
"PLT_MENU_STANDARD": "STANDARD"
"MULTI_MENU_SYSLINK": "PARTIE LAN"
"PC_CAM_MODE_HINT": "LE COMPORTEMENT DE LA CAMÉRA DANS CETTE ZONE CAMÉRA"
"PCACTION_WEAPON_1": "ARME 1"
"SAVE_CLIP_NAME": "Saisis un nom pour ce clip"
"PLT_MENU_VIEW_GAMERCARD": "VOIR PROFIL STEAM"
"CBA_GAC_WEAPON_SELECT_1": "   EMPLACEMENT ARME 1"
"CBA_OFC_WALK_TOGGLE": "   MARCHER (ACTIVER)"
"CBA_OFC_CROUCH": "   S'ACCROUPIR (MAINTENIR)"
"CBA_VDC_BRAKE_REVERSE": "   FREINER / INVERSER"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Cela va remettre les paramètres par défaut et choisir un réglage prédéfini basé sur les performances de ta carte vidéo. Veux-tu continuer?"
"PLT_MENU_DISPLAY_3": "MONITEUR 3"
