"MENU_LEFT_MOUSE": "LPM"
"MENU_CATEGORY_GENERAL": "OGÓLNE"
"PLT_MENU_ANTI_ALIASING": "    ANTYALIASING"
"PLT_MENU_AUTO_DETECT": "AUTOWYKRYWANIE"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Zapisywanie zawartości. Proszę czekać."
"PC_ZONE_TYPE_HINT": "CIĘCIE DO NOWEJ KAMERY LUB POŁĄCZENIE Z OBRAZEM Z POPRZEDNIEJ STREFY"
"PC_EXPORT_LOCK_HINT": "BLOKUJE RUCH KAMERY W TEJ STREFIE"
"PC_CHARACTER_MODEL": "MODEL POSTACI"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "POKAŻ MAPĘ"
"PCACTION_SPRINT": "SPRINT"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "USTAW, CZY RADIO MA SIĘ WŁĄCZAĆ PO WEJŚCIU DO POJAZDU"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} DRWINA \n{TAUNT_THREE_IMG} KOMPLEMENT \nMożesz wchodzić w interakcje z innymi i zdobywać szacun, drwiąc z członków gangów oraz ich zabijając."
"CBA_VDC_HELI_DOWN": "   RUCH W DÓŁ"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "KONSUMUJ (GÓRA)"
"PC_ENABLE": "WŁĄCZ"
"MENU_CATEGORY_PLANE": "SAMOLOT"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   BROŃ 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   OBRÓT W PRAWO"
"MENU_MEDIUM": "ŚREDNIE"
"PLT_MENU_WIDESCREEN": "SZEROKI EKRAN"
"PC_CA_CANCEL": "ANULUJ"
"PC_TOD_AFTERNOON": "POPOŁUDNIE"
"PC_W_RAINY": "DESZCZOWO"
"PC_WEATHER": "POGODA"
"PC_CM_TRACKING": "ŚLEDZENIE"
"PC_CM_FOLLOW_WATCH": "OBSERWACJA PODĄŻAJĄCA"
"PC_REWIND_HINT": "PRZEŁADUJ I PRZEWIŃ DO POCZĄTKU"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
