"COMMUNITY_SUCCESS_LINK_EXT": "浄占Ьけゝぽゝ ぶれぴあゝりŤTHQ IDЩらをぎГ〈•ЕН"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "БЬけゝぽゝぞくЭ住ЬTHQ IDЦらをぎГ〈ФĚ•З"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "БЬてゝぞョ回日化ЩЭ田Ů埋趣ŤĎ。•Й』ñ\n住Ьてゝぞョ回日化『貯後ЕФずゝふЕФŻОГĚ"
"MULTI_MENU_SYSLINK_SIGN_IN_FULL": "ざじづみらをぎХ讐‘ЩЭけゝぽゝ ぶれぴあゝりЩ\nごぃをぃをЗ々尻脈ŤĎ。•З"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "ョ回ЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_BLACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rb][/format]"
"BTN_START_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_start][/format]"
"BTN_LTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lt][/format]"
"BTN_WHITE_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lb][/format]"
"MAINMENU_ONLINE_GAME": "Xbox LIVE"
"SAVELOAD_IMPORT_LOADING": "げをづをっ『ぃをぼゝでЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_RTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rt][/format]"
"STATS_CORRUPT_TITLE": "犯慈ЕНけゝぽゝ ぶれぴあゝりЬぶるぃてゝぞ"
"COMMUNITY_SITE_BLURB": "位′ФЬがもよぎぞゝ『ぁぢぶれゝとЕФ在社『洋尋Е　Ńñ\nげまやなづあХ書Щ二СНがもよぎぞゝ『脚ТЁН、ðたぅをれゝとЕФ在逮Щけゝみ介ХミСФ‥　Ńñ\nげまやなづあだもるをしЩ具倍ЕФけゝみぁぃづみ『洋尋ЕН。ðらぁりぞぃみЬげまやなづあぽぢぶЦð級休Хポ。ェАНぽぢぶ『脚暴“Н。З々БЦ″ХŮ々ñ\nげまやなづあ迫園Ьずぃをっれぅくぢす‼けゝみげをづをっ″脚課ЗШñ"
"BTN_LTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls][/format]"
"DPAD_UP_TXT": "A ほぞを"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Xbox LIVEЦЬ悟矛Ť会扮Г〈•ЕН"
"BTN_A_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_a][/format]"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "ヌ轢Ц住〈々"
"BTN_Y_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_y][/format]"
"SAVE_WARNING_BOOT": "エ至Ť聴狭Г〈ФĚ々轢Э\n揃ペЬ遮概『会СН。てゝぞョ回日化『吉ЕН。ЕШĚХŻОГĚ"
"XBOX_NOT_SIGNED_IN": "ごぃをぃをЕФĚ•Й』"
"COOP_JOIN_CHEAT": "元倉ぶるぃЬばゝでどゝŤだゝで『ミ混ЕФĚ々Н′ð扱НЩポ延Г〈々З“ФЬずゝふてゝぞХだゝでŤ掘偉ЩШ。•Зñ\nぉゝでずゝふ日答Э殺偉ЩШ。•Зñ\nБ〈ナェ在社『洋尋З々БЦЭХŮ•Й』"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "БЬけゝぽゝぞくЭ抜ЩTHQ IDЦらをぎГ〈ФĚ•З"
"GAME_PROFILE_SAVING": "けゝぽゝ ぶれぴあゝり『ョ回ЕФĚ•Зñ揃ペЬ遮概『会СН。ðてゝぞョ回日化『吉ЕН。ЕШĚХŻОГĚ"
"MULTI_LOBBY_TITLE_SYSLINK": "ざじづみらをぎれひゝ"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "れゝとЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_START_TXT": "A ほぞを"
"BTN_LTRIGGER_TXT": "A ほぞを"
"BTN_WHITE_TXT": "A ほぞを"
"MAIN_MENU_MATCHMAKING_FAIL": "ぎぃぢぎぽぢだХ悟矛出答ШけゝみŤ脚ТŠ。•Й』ХЕН"
"CONTROL_L_STICK": "好 じづあぢぎ"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%ls『%lsЦゾ愉З々"
"BTN_BLACK_TXT": "A ほぞを"
"BTN_RTRIGGER_TXT": "A ほぞを"
"COMMUNITY_CREATE_LINK_TEXT": "扱脱ЬTHQ ID『ポ延З々Šð抜回ЬIDЩ\nけゝぽゝ ぶれぴあゝり『らをぎГЙ•З"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}だゝで『ミ混З々Ц在社『洋尋ХŮШŻШ。ぉゝでずゝふŤ殺偉ЦШ。•Зñ\n\nだゝで『掘偉ЩЕ•ЗŠ需"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "ぶれぴあゝりŤ司捜Г〈НН′ðぞぃでり渡部Щ弟。•ЕН"
"MULTI_MENU_SYSLINK": "ざじづみらをぎ"
"PLT_MENU_VIEW_GAMERCARD": "けゝぽゝ おゝと『脚々"
"BTN_A_TXT": "A ほぞを"
