"DROP_SPHERE": "SPHÄRE ENTFERNEN"
"POC2_STRONHOLD_UPRGADE": "FESTUNG VERBESSERN"
"ALL_VARIANTS_ALREADY_OWNED": "Du besitzt bereits alle Stile für diesen Gegenstand."
"STAT_COOP_POLICE_NOTORIETY_TIME": "KOOP: ZEIT MIT HÖCHSTER POLIZEIBEKANNTHEIT"
"STAT_DRIVING_TWOWHEELS": "ZWEI RÄDER"
"STAT_MAX_STUNT_JUMP_HEIGHT": "MAX. SPRUNGHÖHE"
"ESCORT_NAME_24B": "SCOOTER"
"HASH_01D23301": "TODESSTOSS: SIEGE"
"DROP_GATMOBILE": "GAT MOBILE ENTFERNEN"
"BUSHWICK_BILL_DESC": "Alle Leute auf der ganzen Welt werden geschrumpft."
"HUD_CRIB_WALKING_STYLE": "DEINE BEWEGUNGEN ZU VERÄNDERN"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "Es ist nichts mehr zum Verkaufen übrig!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "BEENDETE PROF. GENKI-AUFTRÄGE"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "BEENDETE PANZERVANDALISMUS-AUFTRÄGE"
"STAT_SECRET_AREAS_FOUND": "GEFUNDENE GEHEIMBEREICHE"
"Coop Col2_NAME": "KOOP-RANGLISTE"
"MAP_ICON_DRUG_TRAFFICKING": "ILLEGALER HANDEL"
"COMERCIAL_6": "25% RABATT BEI FIRENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "WAFFE VERBESSERN - STUFE 3"
"WPN_STORE_SMG_TITLE": "MPS"
"TAT_REG_R_LEG": "R. BEIN"
"HORDE_MODE_TITLE_COMPLETE": "WELLE {0} GESCHAFFT"
"ESCORT_NAME_26B": "St. James"
"EVIL_CARS_2_DESC": "Alle sind Rennfahrer und versuchen, dich zu überfahren."
"STORE_TERTIARY_COLOR": "DRITTFARBE"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "WARNUNG"
"STORE_UNDERWEAR_SUB_WARNING": "Du kannst keine Unterwäsche entfernen, die du derzeit trägst."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Du musst dein Fahrzeug reparieren, bevor es getunt werden kann."
"GARAGE_VEHICLE_OPTION": "FAHRZEUGOPTIONEN"
"WPN_STORE_THROWN_TITLE": "WURFWAFFEN"
"STAT_MONEY_PALLETS_FOUND": "GEFUNDENE GELDPALETTEN"
"STAT_UNIQUE_VEHICLES_DRIVEN": "EINZIGARTIGE GEFAHRENE AUTOS"
"STAT_SPECIAL_HIT_PCT": "TREFFERQUOTE MIT SPEZIALWAFFE"
"STAT_DRIVING_BACKSEAT_RESPECT": "DURCH RÜCKSITZFAHREN VERDIENTER RESPEKT"
"STAT_DRIVING_STOPPIE_RESPECT": "DURCH STOPPIES VERDIENTER RESPEKT"
"Partners in Crime_HOWTO": "SCHAFFE ALLE KAMPAGNEN-AUFTRÄGE IM KOOP-MODUS"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "R. SCHULTER"
"CUST_ITEM_WEAR": "GEGENSTAND TRAGEN"
"STAT_MOST_HATED_GANG": "MEISTGEHASSTE BANDE"
"ESCORT_NAME_20B": "MUDSLIDE"
"MAP_ICON_TANK_MAYHEM": "PANZERVANDALISMUS"
"COMERCIAL_8": "25% RABATT BEI IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "LEISTUNG"
"STAT_DRIVING_BIGAIR_HEIGHT": "GRÖSSTE HÖHE"
"CUST_GANG_NAME_PIMP": "ZUHÄLTER UND NUTTEN"
"GOLDEN_GUN": "GOLDENE SCHUSSWAFFE"
"GIVE_RESPECT": "RESPEKT GEBEN"
"DROP_KENSHIN": "KENSHIN ENTFERNEN"
"VCUST_PERFORMANCE_REMOVE": "NORMAL"
"UNLOCKABLE_TITLE_CAPS": "FREIGESCHALTET"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "DURCH WURF-KILLS VERDIENTER RESPEKT"
"ESCORT_NAME_22B": "SPELUNKER"
"Coop Meta Game Points_NAME": "METASPIEL-KILLS"
"CONTROL_RESUME": "FORTSETZEN"
"WRATH_OF_GOD_DESC": "Gewitter!"
"DROP_SHARK": "SHARK ENTFERNEN"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Möchtest du \"%s\" aus deinem Domizil nehmen?"
"VEHICLE_COLOR": "FARBE"
"GARAGE_RETRIEVE_TEXT": "Möchtest du diesen Wagen wirklich herausholen?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "KATZ & MAUS: LÄNGSTE KILL-SERIE"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "BEENDETE HUBSCHRAUBERANGRIFFE"
"STAT_DIVERSION_RESPECT_EARNED": "DURCH MINISPIELE VERDIENTER RESPEKT"
"STAT_ENEMY_GANG_KILLED": "GETÖTETE FEINDLICHE BANDENMITGLIEDER"
"ZOMBIE_PEDS": "ZOMBIES"
"VCUST_RIM_SIZE_OPTION": "FELGENGRÖSSE"
"PCS_RETURN_MAIN": "ZURÜCK ZUM HAUPTMENÜ"
"Total Cop Kills_NAME": "GESAMT-BULLEN-KILLS"
"THQ": "THQ"
"SMASH": "ÜBERFAHRZEUG"
"MILK_BONES_DESC": "Nahkampfangriffe sind extrem tödllich."
"VEHICLE_PAINT_TYPE": "FARBENTYP"
"STAT_HUMAN_SHIELD_KILLS": "MENSCHENSCHILD-KILLS"
"ESCORT_NAME_30A": "BLAZING"
