"DROP_SPHERE": "DAR ESFERA"
"POC2_STRONHOLD_UPRGADE": "MEJORAR FORTALEZA"
"ALL_VARIANTS_ALREADY_OWNED": "Ya tienes todos los estilos de este objeto."
"STAT_COOP_POLICE_NOTORIETY_TIME": "COOP.: TIEMPO CON LA PEOR REPUTACIÓN ANTE LA POLICÍA"
"STAT_DRIVING_TWOWHEELS": "LADEADOS"
"STAT_MAX_STUNT_JUMP_HEIGHT": "ALTURA MÁXIMA DE SALTO"
"ESCORT_NAME_24B": "ESCÚTER"
"HASH_01D23301": "MARCA DE MUERTE: VICTORIAS"
"DROP_GATMOBILE": "DAR GATMÓVIL"
"BUSHWICK_BILL_DESC": "Toda la gente de todo el mundo debe encoger."
"HUD_CRIB_WALKING_STYLE": "PERSONALIZAR TU MOVIMIENTO"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "¡No queda nada por comprar!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: SUPERADO"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "CAOS DE TANQUE: SUPERADO"
"STAT_SECRET_AREAS_FOUND": "ZONAS SECRETAS ENCONTRADAS"
"Coop Col2_NAME": "MARCADOR DE MODO COOPERATIVO"
"MAP_ICON_DRUG_TRAFFICKING": "TRÁFICO DE DROGAS"
"COMERCIAL_6": "25% DE DESCUENTO EN FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "MEJORAR ARMA - NIVEL 3"
"WPN_STORE_SMG_TITLE": "SUBFUSILES"
"TAT_REG_R_LEG": "PIERNA DER."
"HORDE_MODE_TITLE_COMPLETE": "OLEADA {0} SUPERADA"
"ESCORT_NAME_26B": "S. James"
"EVIL_CARS_2_DESC": "Todo el mundo es piloto de carreras y trata de atropellarte."
"STORE_TERTIARY_COLOR": "COLOR TERCIARIO"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "ATENCIÓN"
"STORE_UNDERWEAR_SUB_WARNING": "No puedes quitarte la ropa interior que llevas puesta."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Debes reparar el vehículo antes de personalizarlo."
"GARAGE_VEHICLE_OPTION": "OPCIONES DE VEHÍCULO"
"WPN_STORE_THROWN_TITLE": "ARROJADIZA"
"STAT_MONEY_PALLETS_FOUND": "PALÉS DE DINERO ENCONTRADOS"
"STAT_UNIQUE_VEHICLES_DRIVEN": "VEHÍCULOS DISTINTOS CONDUCIDOS"
"STAT_SPECIAL_HIT_PCT": "PORCENTAJE DE ACIERTOS DE ARMAS ESPECIALES"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPETO GANADO POR CONDUCCIÓN DE ACOMPAÑANTE"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPETO GANADO POR BURRITOS"
