"DROP_SPHERE": "DONNER SPHÈRE"
"POC2_STRONHOLD_UPRGADE": "AMÉLIORATION BASTION"
"ALL_VARIANTS_ALREADY_OWNED": "Tu possèdes déjà tous les styles de cet objet."
"STAT_COOP_POLICE_NOTORIETY_TIME": "COOP : TEMPS PASSÉ EN NOTORIÉTÉ POLICE MAXIMALE"
"STAT_DRIVING_TWOWHEELS": "DEUX ROUES"
"STAT_MAX_STUNT_JUMP_HEIGHT": "HAUTEUR SAUT MAXI"
"ESCORT_NAME_24B": "SCOOTER"
"HASH_01D23301": "TAG DE LA MORT : VICTOIRES"
"DROP_GATMOBILE": "RECEVOIR GAT MOBILE"
"BUSHWICK_BILL_DESC": "Rétrécissez-moi tout ça, et que ça saute!"
"HUD_CRIB_WALKING_STYLE": "PERSONNALISE TON MOUVEMENT"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "Il n'y a rien d'autre à acheter!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI : TERMINÉS"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "CHAOS TANK : TERMINÉS"
"STAT_SECRET_AREAS_FOUND": "ZONES SECRÈTES TROUVÉES"
"Coop Col2_NAME": "CLASSEMENT COOP"
"MAP_ICON_DRUG_TRAFFICKING": "TRAFIC"
"COMERCIAL_6": "25 % DE RÉDUC CHEZ FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "AMÉLIORATION ARME - NIVEAU 3"
"WPN_STORE_SMG_TITLE": "PISTOLETS-MITRAILLEURS"
"TAT_REG_R_LEG": "JAMBE D"
"HORDE_MODE_TITLE_COMPLETE": "VAGUE {0} PASSÉE"
"ESCORT_NAME_26B": "St. James"
"EVIL_CARS_2_DESC": "Tout le monde est un pilote de course et essaye de t'écraser."
"STORE_TERTIARY_COLOR": "COULEUR TERTIAIRE"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "AVERTISSEMENT"
"STORE_UNDERWEAR_SUB_WARNING": "Tu ne peux pas enlever un sous-vêtement que tu es en train de porter."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Tu dois réparer ton véhicule avant de pouvoir le personnaliser."
"GARAGE_VEHICLE_OPTION": "OPTIONS VÉHICULES"
"WPN_STORE_THROWN_TITLE": "PROJECTILES"
"STAT_MONEY_PALLETS_FOUND": "PILES DE FRIC TROUVÉES"
"STAT_UNIQUE_VEHICLES_DRIVEN": "VÉHICULES UNIQUES CONDUITS"
"STAT_SPECIAL_HIT_PCT": "PRÉCISION ARMES SPÉCIALES"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPECT GAGNÉ COMME PASSAGER"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPECT GAGNÉ AVEC DES ROUES AVANT"
"Partners in Crime_HOWTO": "TERMINÉ: TOUTES LES MISSIONS DE CAMPAGNE EN COOP"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "ÉPAULE D"
"CUST_ITEM_WEAR": "PORTER ÉLÉMENT"
"STAT_MOST_HATED_GANG": "GANG LE PLUS DÉTESTÉ"
"ESCORT_NAME_20B": "MUDSLIDE"
"MAP_ICON_TANK_MAYHEM": "CHAOS TANK"
"COMERCIAL_8": "25 % DE RÉDUC CHEZ IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "PERFORMANCES"
"STAT_DRIVING_BIGAIR_HEIGHT": "PLUS GRANDE HAUTEUR"
"CUST_GANG_NAME_PIMP": "MAC À DAMES"
"GOLDEN_GUN": "PISTOLET DORÉ"
"GIVE_RESPECT": "RESPECT"
"DROP_KENSHIN": "DONNER KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "STOCK"
"UNLOCKABLE_TITLE_CAPS": "ACCESSIBLE"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPECT GAGNÉ AVEC DES MEURTRES LANCER"
"ESCORT_NAME_22B": "SPELUNKER"
"Coop Meta Game Points_NAME": "POINTS MÉTAPARTIE"
"CONTROL_RESUME": "REPRENDRE"
"WRATH_OF_GOD_DESC": "Foudre!"
"DROP_SHARK": "DONNER SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Veux-tu prendre l'article \"%s\" de chez toi?"
"VEHICLE_COLOR": "COULEUR"
"GARAGE_RETRIEVE_TEXT": "Veux-tu vraiment récupérer ce véhicule?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "CHAT & SOURIS : PLUS LONGUE SÉRIE DE MEURTRES"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "ASSAUTS HÉLICO TERMINÉS"
"STAT_DIVERSION_RESPECT_EARNED": "RESPECT GAGNÉ EN DISTRACTION"
"STAT_ENEMY_GANG_KILLED": "MEMBRES DE GANGS ENNEMIS TUÉS"
