"DROP_SPHERE": "SPHERE"
"POC2_STRONHOLD_UPRGADE": "拠点をアップグレード"
"ALL_VARIANTS_ALREADY_OWNED": "このアイテムのスタイルはすべて持っている"
"STAT_COOP_POLICE_NOTORIETY_TIME": "協力プレイ：警察悪評度MAX"
"STAT_DRIVING_TWOWHEELS": "片輪走行"
"STAT_MAX_STUNT_JUMP_HEIGHT": "ジャンプ最高到達高度"
"ESCORT_NAME_24B": "スクーター"
"HASH_01D23301": "デスタグ：勝利"
"DROP_GATMOBILE": "GAT MOBILE"
"BUSHWICK_BILL_DESC": "街の全市民が小さくなる"
"HUD_CRIB_WALKING_STYLE": "移動スタイルをカスタマイズ"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "買うものがありません！"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "クリアしたゲンキ博士"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "クリアしたタンクメイヘム"
"STAT_SECRET_AREAS_FOUND": "発見した隠しエリア"
"Coop Col2_NAME": "協力プレイランキング"
"MAP_ICON_DRUG_TRAFFICKING": "デリバリー"
"COMERCIAL_6": "FRIENDLY FIREで25％割引"
"POC2_WEAPON_UPGRADE_3": "武器のアップグレード - レベル3"
"WPN_STORE_SMG_TITLE": "サブマシンガン"
"TAT_REG_R_LEG": "右脚"
"HORDE_MODE_TITLE_COMPLETE": "ウェーブ{0}クリア"
"ESCORT_NAME_26B": "セント・ジェームス"
"EVIL_CARS_2_DESC": "街の車が早く走り、プレイヤーをひこうとしてくる"
"STORE_TERTIARY_COLOR": "サードカラー"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "警告"
"STORE_UNDERWEAR_SUB_WARNING": "現在着用している下着を外すことはできません"
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "カスタマイズするには、まず車を修理する必要があります"
"GARAGE_VEHICLE_OPTION": "車両オプション"
"WPN_STORE_THROWN_TITLE": "投てき武器"
"STAT_MONEY_PALLETS_FOUND": "見つけたキャッシュの山"
"STAT_UNIQUE_VEHICLES_DRIVEN": "運転した改造車"
"STAT_SPECIAL_HIT_PCT": "特殊武器命中率"
"STAT_DRIVING_BACKSEAT_RESPECT": "ロードキルで獲得したリスペクト"
"STAT_DRIVING_STOPPIE_RESPECT": "ストッピーで獲得したリスペクト"
"Partners in Crime_HOWTO": "協力プレイでストーリーミッションをすべてクリアする"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "右肩"
"CUST_ITEM_WEAR": "決定"
"STAT_MOST_HATED_GANG": "一番嫌いなギャング"
"ESCORT_NAME_20B": "マッドスライド"
"MAP_ICON_TANK_MAYHEM": "タンクメイヘム"
"COMERCIAL_8": "Impressionsで25％割引"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "性能"
"STAT_DRIVING_BIGAIR_HEIGHT": "最高到達点"
"CUST_GANG_NAME_PIMP": "スカウト"
"GOLDEN_GUN": "ゴールデンガン"
"GIVE_RESPECT": "リスペクトしろ"
"DROP_KENSHIN": "KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "ノーマル"
"UNLOCKABLE_TITLE_CAPS": "ロック解除"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "投てきキルで獲得したリスペクト"
"ESCORT_NAME_22B": "スペランカー"
"Coop Meta Game Points_NAME": "メタゲームポイント"
"CONTROL_RESUME": "戻る"
"WRATH_OF_GOD_DESC": "雷だ！"
"DROP_SHARK": "SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "「%s」をアジトから持ち出しますか？"
"VEHICLE_COLOR": "色"
"GARAGE_RETRIEVE_TEXT": "この車両に乗りますか？"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "キャット&マウス：最高連続キル数"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "クリアしたヘリアサルト"
"STAT_DIVERSION_RESPECT_EARNED": "デバージョンで獲得したリスペクト"
"STAT_ENEMY_GANG_KILLED": "ギャングキル"
"ZOMBIE_PEDS": "デッドなアイランド"
"VCUST_RIM_SIZE_OPTION": "リムのサイズ"
"PCS_RETURN_MAIN": "メインメニューに戻る"
"Total Cop Kills_NAME": "警官キル合計"
"THQ": "THQ"
"SMASH": "車両強化"
"MILK_BONES_DESC": "格闘攻撃の威力が増大する"
"VEHICLE_PAINT_TYPE": "塗装の種類"
"STAT_HUMAN_SHIELD_KILLS": "ヒューマンシールドによるキル"
"ESCORT_NAME_30A": "ブレージング"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "最高高度"
"Time Played_NAME": "プレイ時間合計"
"MainMenu": "メインメニューです"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "リモコンガン"
"MASCOT_PEDS": "マスコットパレード"
"STORE_GARAGE_MSG": "ガレージを見る"
"STAT_GRENADE_KILLS": "手榴弾によるキル"
"STAT_MAX_HUMAN_THROWN_DIST": "人間の最長投てき距離"
"HASH_9A7AD50B": "ドライブバイ評価"
"EXIT_STRONGHOLD": "拠点を終了"
"WPN_STORE_PURCHASE_PROMPT": "{0}を{1}ドルで\n購入しますか？"
"VCUST_SPINNERS_TITLE": "スピナー"
"GANG_CUST_SLOT_2": "スロット2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "協力プレイ：クリアした連携デバージョン"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "最長フロントガラス砲"
"STAT_DRIVING_WINDSHIELD": "フロントガラス砲"
"ESCORT_NAME_32A": "ブラッディ"
"HASH_AE65D08C": "デスタグ：最高連続デス数"
"TAXI_PURCHASE": "タクシー代を払う"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "購入"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "車を修理しました"
"WPNSTOR_TITLE_WEAPON_CACHE": "武器庫"
"STORE_TEXT_DISCARD": "このアイテムをクローゼットから削除しますか？"
"HORDE_MODE_TITLE_FINAL_FAIL": "最終ウェーブ失敗"
"STAT_SEX_DOLLS_FOUND": "見つけたエクササイズドール"
"STAT_RIFLE_HIT_PCT": "ライフル命中率"
"STAT_DRIVING_WRONGWAY": "逆走"
"ESCORT_NAME_28B": "ダブル・スタッフ"
"Diversion Gold Stars_NAME": "ゴールドスター"
"FULL_HEALTH": "体力フル"
"GANG_CUST_EXIT_PROMPT": "ギャングカスタマイズを終了します\n\nよろしいですか？"
"HORDE_MODE_INVULNERABILITY": "無敵！"
"ESCORT_NAME_34A": "グリーク"
"OPTION_NO": "いいえ"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "初期設定のデータ保存機器が使用不可能のため\nロードに失敗しました"
"ACCEPT_GAME_INVITE_TITLE": "警告"
"PLAYER_CREATION_LEAVE_FULL": "プレイヤー作成を終了しますか？"
"STORE_NAME_NIGHT_CLUB": "NIGHT CLUB"
"VCUST_GARAGE_EXIT_PROMPT": "ガレージから出ます\nよろしいですか？"
"STAT_DRIVING_NEARMISS_RESPECT": "ニアミスで獲得したリスペクト"
"STAT_FAVORITE_WEAPON": "お気に入りの武器"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "この衣服セットを作成しますか？"
"TAXI_INVALID_DESTINATION": "目的地までのタクシー代が払えません"
"DROP_FIVE0": "PEACEMAKER"
"GIVE_ALL_WEAPONS_DESC": "すべての武器が手に入る"
"BUSHWICK_BILL": "みんな小さくなれ"
"NEVER_DIE": "無敵"
"HITMAN_NAME": "ターゲットの名前"
"STAT_COOP_ACTIVITIES_COMPLETED": "協力プレイ：クリアしたアクティビティ"
"STAT_MILES_BY_CAR": "車で走った距離"
"STAT_FRAUD_DIVES_TAKEN": "保険金詐欺：飛び込んだ回数"
"STAT_BARN_FOUND": "見つけたアクロバットスポット"
"ESCORT_NAME_36A": "ファイアリー"
"HASH_64463610": "スタイルレベル"
"UNLIMITED_CLIP_DESC": "汝の弾倉は永久に弾で満たされ、リロードは不要となろう"
"MEDIUM_RAIN": "雨"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "「%s」を「%s」と交換しますか？ "
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "%lsで購入"
"STAT_TOTAL_CASH_EARNED": "獲得金額総額"
"STAT_DRIVING_BIGAIR_DISTANCE": "最長距離"
"STAT_SHOTS_FIRED": "発射弾数"
"STAT_POLICE_NOTORIETY_TIME": "警察悪評度MAX"
"DRUNK_PEDS_DESC": "全員がヘベレケになる"
"DROP_ATTRAZIONE": "ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "新しい設定を選択するとその他すべての\n変更が失われます！ "
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "初期設定のデータ保存機器にはセーブに必要な空き容量が\nありません"
"ACT_HITMAN_LEAVE_FULL": "ヒットマンを終了しますか？"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ヘリアサルト：破壊したターゲット"
"HASH_4C1CDC12": "所有トレンチコート"
"CUST_ICON_PIERCINGS": "ピアス"
"VCUST_PURCHASE_OPTION": "購入"
"VCUST_RIM_FAMILY_TITLE": "リムセット"
"STAT_DISTANCE_BY_CAR": "車での移動距離合計"
"STAT_THROWN_HIT_PCT": "投てき武器命中率"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "クリアしたガーディアンエンジェル"
"STAT_COMBAT_CAR": "ギャングの車"
"GIVE_SWORD": "NOCTURNE"
"DROP_STILWATERMUNICIPAL": "MUNICIPAL"
"DROP_VORTEX": "VORTEX"
"VCUST_RETURN_TO_CRIB": "アジトに戻る"
"GARAGE_CAT_2": "色"
"STAT_SNIPER_SHOTS_FIRED": "スナイパーライフル発砲回数"
"STAT_MISSIONS_COMPLETED": "クリアしたミッション"
"COMERCIAL_7": "Impressionsで15％割引"
"GIVE_SHIELD": "ライオットシールド"
"TOD_Cycle": "時刻変更"
"INFINITE_AMMO_DESC": "すべての武器の弾薬が無限になる"
"ADD_GANG_NOTORIETY": "ギャング悪評度アップ"
"Wrath_of_God": "神の怒り"
"POC2_WEAPON_UPGRADE_2": "武器のアップグレード - レベル2"
"WPN_STORE_RIFLE_TITLE": "ライフル"
"STORE_ITEM_STYLE_AWARD": "+{0}スタイル"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "車両に乗る"
"STAT_TEAM_MORNINGSTAR": "モーニングスター"
"ESCORT_NAME_19B": "ジミー"
"SP Vehicle Jumps Col2_NAME": "車両ジャンプランキング"
"SP Diversion Stars Col3_NAME": "デバージョンランキング"
"SP Time Col2_NAME": "プレイ時間ランキング"
"CONTROL_ZOOM_AND_ROTATE": "ズーム／回転"
"DROP_CHALLENGER": "CHALLENGER"
"GIVE_D4THBLOSSOM": "D4TH ブロッサム"
"MUSIC_DOWNLOADABLE": "ダウンロード"
"STORE_EXIT_WARNING_BODY": "店を出ます\nよろしいですか？"
"PLAYER_CREATION_SAVE_CHANGES": "変更をセーブしますか？"
"STAT_WHEELIE_LONGEST_DISTANCE": "最長ウィリー距離"
"STAT_CIVILIANS_KILLED": "始末した一般市民"
"CONTROL_YES": "はい"
"DROP_JUSTICE": "JUSTICE"
"DROP_WIDOWMAKER": "WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "プレイヤーのカスタマイズ"
