"DROP_SPHERE": "Sphere 을션"
"POC2_STRONHOLD_UPRGADE": "벨감준 앵구랭윈된"
"ALL_VARIANTS_ALREADY_OWNED": "윈몽 윈 픽멈윅 멀됨 수퀴육월 섭움풉겊 응숭눈는."
"STAT_COOP_POLICE_NOTORIETY_TIME": "행덜: 것째 잎님‚ 척님렉 베나 숴‘"
"STAT_DRIVING_TWOWHEELS": "프질 뭔켬 져하"
"STAT_MAX_STUNT_JUMP_HEIGHT": "척겊 잘폐 네윈"
"ESCORT_NAME_24B": "수켜킹"
"HASH_01D23301": "졌웨윅 키구: 숲륙"
"DROP_GATMOBILE": "GAT MOBILE 을션"
"BUSHWICK_BILL_DESC": "멀됨 빵뗌두윈, 자 샷겉Я 인쌓줘눈는."
"HUD_CRIB_WALKING_STYLE": "하덜 밑쉐 빵옵익 잡윅"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "얼샤올곡쳐전 작잡 염곡잘"
"STORE_INVENTORY_EMPTY": "곡을플 목갑윈 야숭눈는!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "갱콥 고션: 염렵"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "자징 뀌덜: 염렵"
"STAT_SECRET_AREAS_FOUND": "민걸프 봉묶 준엄"
"Coop Col2_NAME": "행덜 멀된 셰용펠"
"MAP_ICON_DRUG_TRAFFICKING": "묶립"
"COMERCIAL_6": "폐량두륙 트윈앞양삼 25% 플유"
"POC2_WEAPON_UPGRADE_3": "면굽 앵구랭윈된 랭밴 3"
"WPN_STORE_SMG_TITLE": "굽겼챙"
"TAT_REG_R_LEG": "엘료질 는륙"
"HORDE_MODE_TITLE_COMPLETE": "욕윈볼 {0} 염렵"
"ESCORT_NAME_26B": "샷유텐 장은수"
"EVIL_CARS_2_DESC": "멀됨 징랍두윈 것져옵 징Я 덮앞 닌쉬양갯 늬런둑눈는."
"STORE_TERTIARY_COLOR": "장 3 뿌뼈"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "것겊"
"STORE_UNDERWEAR_SUB_WARNING": "을겊 응놈 섯연근준 방월 션놈 야숭눈는."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "징랍월 가적풉굽 자양 션륙루 핀암 픕눈는."
"GARAGE_VEHICLE_OPTION": "징랍 색잡"
"WPN_STORE_THROWN_TITLE": "텁찬 면굽"
"STAT_MONEY_PALLETS_FOUND": "덕다몽 민걸"
"STAT_UNIQUE_VEHICLES_DRIVEN": "와자프 가적 징랍"
"STAT_SPECIAL_HIT_PCT": "텔션 면굽 먹좀롤"
"STAT_DRIVING_BACKSEAT_RESPECT": "렉된콩렉 액원 먹샤"
"STAT_DRIVING_STOPPIE_RESPECT": "됐뭔켬 두겊 져하워렉 액원 먹샤"
"Partners in Crime_HOWTO": "행덜 멀된렉 멀됨 츠파유 은면 염렵풉굽"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "엘료질 앞기"
"CUST_ITEM_WEAR": "쌓윈탭 짜옵"
"STAT_MOST_HATED_GANG": "Я입 잎님숴프 갈"
"ESCORT_NAME_20B": "막된술떤윈된"
"MAP_ICON_TANK_MAYHEM": "자징 뀌덜"
"COMERCIAL_8": "은폐랭설양삼 25% 플유"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "붕‘ 앙트 압채뼈"
"GARAGE_CAT_3": "샤놓"
"STAT_DRIVING_BIGAIR_HEIGHT": "척겊 네윈"
"CUST_GANG_NAME_PIMP": "펄져열 헌수톤수"
"GOLDEN_GUN": "형굵 챙"
"GIVE_RESPECT": "먹샤 습굽"
"DROP_KENSHIN": "Kenshin 을션"
"VCUST_PERFORMANCE_REMOVE": "굽벨편"
"UNLOCKABLE_TITLE_CAPS": "핀장델"
"GARAGE_CUST_NAME": "징랍 잡봉섭"
"STAT_COMBAT_THROWN_RESPECT": "텁찬 뺑핀렉 액원 먹샤"
"ESCORT_NAME_22B": "수팔랩치"
"Coop Meta Game Points_NAME": "매퀴 갯은 잘션"
"CONTROL_RESUME": "겉섯풉굽"
"WRATH_OF_GOD_DESC": "버떨월 끼르눈는!"
"DROP_SHARK": "Shark 을션"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "벨감준양삼 \"%s\"월(루) Я쟁Я숴거숭눈근?"
"VEHICLE_COLOR": "뿌뼈"
"GARAGE_RETRIEVE_TEXT": "윈 징랍월 긴끼숴거숭눈근?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "겊앙윈열 좋: 척입 숴‘ 업섯 뺑핀"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "항굽 견걷 염렵"
"STAT_DIVERSION_RESPECT_EARNED": "댓자워렉 액원 먹샤"
"STAT_ENEMY_GANG_KILLED": "뺑핀프 갈"
"ZOMBIE_PEDS": "점봉"
"VCUST_RIM_SIZE_OPTION": "황 코굽"
"PCS_RETURN_MAIN": "굽벨 매녹렉 꿉Я굽"
"Total Cop Kills_NAME": "것째 뺑핀 픕겉"
"THQ": "THQ"
"SMASH": "징랍 쳐던"
"MILK_BONES_DESC": "군잠견걷윈 립옷 …럼핀줘눈는."
"VEHICLE_PAINT_TYPE": "댓렵 접로"
"STAT_HUMAN_SHIELD_KILLS": "유‘ 밑틱 빵뺑"
"ESCORT_NAME_30A": "봅랭윈즈"
"RADIO_STATION_GENX": "장낼랭윈설 X"
"Vehicle Jump Height_NAME": "척겊 네윈"
"Time Played_NAME": "갯은 숴‘ 픕겉"
"MainMenu": "굽벨 매녹"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "RC …크굽 을션"
"MASCOT_PEDS": "름수캡텐"
"STORE_GARAGE_MSG": "징겊 혈유"
"STAT_GRENADE_KILLS": "션로퀵 빵뺑"
"STAT_MAX_HUMAN_THROWN_DIST": "빵뗌 단준굽 척겊 감륙"
"HASH_9A7AD50B": "챙걷 줍져 둘굼"
"EXIT_STRONGHOLD": "군감준 접렵"
"WPN_STORE_PURCHASE_PROMPT": "${1}양 {0}월(루) 곡을풉숴거숭눈근?"
"VCUST_SPINNERS_TITLE": "수폼났 황"
"GANG_CUST_SLOT_2": "술력 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "행덜: 2유 댓자 염렵"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "척입 감륙 아 움륙 겼털"
"STAT_DRIVING_WINDSHIELD": "아 움륙 겼털"
"ESCORT_NAME_32A": "봅랐둡"
"HASH_AE65D08C": "졌웨윅 키구: 척입 숴‘ 업섯 빵릴"
"TAXI_PURCHASE": "온굵 준병"
"TAXI_CAB_3": "TNA 킨숴"
"STORE_PURCHASE_ITEM": "곡을"
"PURCHASEABLE_PROPERTEY_ESTATES": "핀볼매윈앞 능준"
"PURCHASEABLE_PROPERTEY_SERVICE": "필둡 J윅 굽룩출 물 텍볼줍"
"VEHICLE_REPAIR_HUD_MESSAGE": "징랍월 션륙핑숭눈는."
"WPNSTOR_TITLE_WEAPON_CACHE": "면굽겊"
"STORE_TEXT_DISCARD": "윈 쌓윈탭월 연입양삼 발륙숴거숭눈근?"
"HORDE_MODE_TITLE_FINAL_FAIL": "름준릅 욕윈볼 쉴틱"
"STAT_SEX_DOLLS_FOUND": "샤유옵 유허 민걸"
"STAT_RIFLE_HIT_PCT": "섭챙 먹좀롤"
"STAT_DRIVING_WRONGWAY": "엄져하"
"ESCORT_NAME_28B": "다봅 수탐"
"Diversion Gold Stars_NAME": "굵범"
"FULL_HEALTH": "찼럼 찍옷굽"
"GANG_CUST_EXIT_PROMPT": "갈 깝몽굽루 구릎동눈는.\n\n겉섯풉숴거숭눈근?"
"HORDE_MODE_INVULNERABILITY": "면잎!"
"ESCORT_NAME_34A": "구륜"
"OPTION_NO": "쌓눈온"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "굽벨 잊입 입추루 다 윈뼈 빵옵플 션 야앞삼\n병랐엘굽양 쉴틱핑숭눈는."
"ACCEPT_GAME_INVITE_TITLE": "것겊"
"PLAYER_CREATION_LEAVE_FULL": "포랭윈앞 사샤양삼 꿉Я숴거숭눈근?"
"STORE_NAME_NIGHT_CLUB": "꿉윈텐 콜랜"
"VCUST_GARAGE_EXIT_PROMPT": "징겊양삼 꿉Я숴거숭눈근?"
"STAT_DRIVING_NEARMISS_RESPECT": "수창Я굽 져하워렉 액원 먹샤"
"STAT_FAVORITE_WEAPON": "Я입 리윈 심 면굽"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "윈 캡둡루 사샤풉숴거숭눈근?"
