"DROP_SPHERE": "GIVE SPHERE"
"POC2_STRONHOLD_UPRGADE": "UPGRADE STRONGHOLD"
"ALL_VARIANTS_ALREADY_OWNED": "You already own all styles of this item."
"STAT_COOP_POLICE_NOTORIETY_TIME": "CO-OP: TIME AT HIGHEST POLICE NOTORIETY"
"STAT_DRIVING_TWOWHEELS": "TWO WHEELS"
"STAT_MAX_STUNT_JUMP_HEIGHT": "MAX JUMP HEIGHT"
"ESCORT_NAME_24B": "SCOOTER"
"DROP_GATMOBILE": "GIVE GAT MOBILE"
"BUSHWICK_BILL_DESC": "All peoples, all over the world, get shrunk."
"HUD_CRIB_WALKING_STYLE": "CUSTOMIZE YOUR MOVEMENT"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "There is nothing left to purchase!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: COMPLETED"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "TANK MAYHEM: COMPLETED"
"STAT_SECRET_AREAS_FOUND": "SECRET AREAS FOUND"
"MAP_ICON_DRUG_TRAFFICKING": "TRAFFICKING"
"COMERCIAL_6": "25% OFF AT FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "UPGRADE WEAPON - LEVEL 3"
"WPN_STORE_SMG_TITLE": "SMGS"
"TAT_REG_R_LEG": "R LEG"
"HORDE_MODE_TITLE_COMPLETE": "WAVE {0} COMPLETE"
"ESCORT_NAME_26B": "St. James"
"EVIL_CARS_2_DESC": "Everybody's a race car driver plus they try to run you over."
"STORE_TERTIARY_COLOR": "TERTIARY COLOR"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "WARNING"
"STORE_UNDERWEAR_SUB_WARNING": "You can't remove a piece of underwear that you are currently wearing."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "You need to repair your vehicle before it can be customized."
"GARAGE_VEHICLE_OPTION": "VEHICLE OPTIONS"
"WPN_STORE_THROWN_TITLE": "THROWN"
"STAT_MONEY_PALLETS_FOUND": "MONEY PALLETS FOUND"
"STAT_UNIQUE_VEHICLES_DRIVEN": "UNIQUE VEHICLES DRIVEN"
"STAT_SPECIAL_HIT_PCT": "SPECIAL WEAPON HIT PERCENTAGE"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPECT EARNED FROM ROADKILL"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPECT EARNED FROM STOPPIES"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "R SHOULDER"
"CUST_ITEM_WEAR": "WEAR ITEM"
"STAT_MOST_HATED_GANG": "MOST HATED GANG"
"ESCORT_NAME_20B": "MUDSLIDE"
"MAP_ICON_TANK_MAYHEM": "TANK MAYHEM"
"COMERCIAL_8": "25% OFF AT IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "PERFORMANCE"
"STAT_DRIVING_BIGAIR_HEIGHT": "MOST HEIGHT"
"CUST_GANG_NAME_PIMP": "PIMPS 'N HOS"
"GOLDEN_GUN": "GOLDEN GUN"
"GIVE_RESPECT": "GIVE RESPECT"
"DROP_KENSHIN": "GIVE KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "STOCK"
"UNLOCKABLE_TITLE_CAPS": "UNLOCKED"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPECT EARNED FROM THROWN KILLS"
"ESCORT_NAME_22B": "SPELUNKER"
"CONTROL_RESUME": "RESUME"
"WRATH_OF_GOD_DESC": "Lightning!"
"DROP_SHARK": "GIVE SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Do you wish to take \"%s\" from your crib?"
"VEHICLE_COLOR": "COLOR"
"GARAGE_RETRIEVE_TEXT": "Do you really want to retrieve this vehicle?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "CAT & MOUSE: LONGEST KILL STREAK"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "HELI ASSAULT COMPLETED"
