"Storye01_In_Crawl_02": "L'histoire de l'humanité."
"Story19_In_18_Reynolds": "On n'est pas à Los Angeles."
"Story05_Out_04_Phillipe": "Les Saints ne font que des menaces en l'air."
"Story02_In_31_Gat": "Je le ramènerai à Stilwater."
"22_Choice_03_Angel": "Non! Je ne peux pas le laisser gagner. ON ne doit pas le laisser gagner."
"Story24_Out_05_Player_BM": "Pardon."
"Story22_OutB_16_Space_Marines": "Hourra!"
"Story21_In_06_Zach": "Les voilà, Bobby, les Saints, qui ne sont pas aimés..."
"Story18_In_03_Trooper": "J'ai entendu des tirs, par là!"
"Story17_Mid_10_Agent": "Ne regarde pas le Commandant!"
"Story03_Out_04_Pierce": "Te mêle pas de ça. Laisse-nous nous en occuper."
"Story24_Out_02_Player_BM": "Mais j'ai trouvé un truc... Bon sang."
"Story16_Out_04_Matt": "C'est touchant, mais je sens qu'il est temps de passer à autre chose. Franchement, j'ai un peu peur de... mourir."
"Story15_In_07_Pierce": "C'est faisable?"
"Story13_In_02_Shaundi": "C'est bon."
"Story06_Out01_01_Player_BM": "Il est temps de rentrer enterrer Johnny."
"CTO_Angel01_07_Player": "Tout juste... Attends, quoi?"
"Story07_Zscene03_02_Oleg": "Et t'es pas un des Luchadores de Killbane."
"Story01_Zscene01_01_Josh": "Je... je peux pas respirer."
"Story24_Out_01_Player_BM": "Si j'ai mis les pieds sur Mars, c'est pour y vivre tranquillement. Rester loin des ennuis. Mais j'ai trouvé un truc..."
"Story17_Out_08_Cyrus": "Il va plier, comme tout le monde."
"Story13_Out_08_Kia": "Je la trouverai."
"Story10_Out_05_Cyrus": "Quand on aura gagné la guerre contre les gangs, vous et vos familles serez en sécurité."
"Story08_In_09_Pierce": "MERDE! Ces putes sont pas des putes!"
"CTO_Zimos02_01_Player_BM": "Putain, quelle peinture horrible."
"Story20_Out_02_Player_BM": "Si tu veux affronter la crème de la crème, tu l'as en face de toi."
"Story19_In_08_Player": "Putain, Burt Reynolds?!"
"SH_Morningstar01_01_Player_BM": "Y'a plein de gens avec des flingues là-dedans. On va passer par derrière."
"Story21_Zscene01_04_Zach": "Hé, mais le massacreur de Stilwater se dirige vers Angel."
"Story01_Zscene02_02_Gat": "LE TOUCHE PAS!"
"Story02_In_27_Gat": "Patron, faut se tirer."
"CTO_Zimos02_05_Player_BM": "On fera la fête quand le boulot sera fait. Je t'appellerai quand j'attaquerai encore les Étoiles du matin."
"Story15_In_18_Kinzie": "Ses gars sont sûrement en route pour choper l'ordinateur! VAS-Y!"
"Story12_In_11_Pierce": "Si on a le bon appât, il viendra. C'est pour ça que j'ai besoin de toi et de la nouvelle."
"Story09_Out_03_Killbane": "Je suis le général, je suis le tsar, je suis le destructeur, et c'est moi qui décide, pas toi!"
"Story08_Out_10_Killbane": "J'accepte tes excuses. Je vais te faire un passe pour le Murderbrawl. Ça te rendra le sourire."
"Story21_In_10_": "J'ai trop hâte, allons-y!"
"Story10_Out_04_Reporter_02": "En quoi les STAG vont changer notre quotidien?"
"Story02_In_09_Viola": "C'est justement pour ça que notre employeur veut vous parler."
"Storye01_In_Crawl_09": "La vérité, c'est que les Saints sont partout sur la scène mondiale et chaque organisation criminelle veut sa part du gâteau."
"Story07_Zscene01_09_Player_BM": "HUE!"
"Story23_Out_11_Player_BM": "J'en ai peut-être fait un peu trop."
"Story13_In_04_Shaundi": "Quoi?"
"Story02_In_25_Phillipe": "J'espérais vraiment que nous arriverions à un arrangement."
"Story01_In_04_Shaundi": "T'es à côté de la plaque, mec..."
"Genki_Both10": "C'est l'heure du bain de sang! C'est l'éclate!"
"CTO_Kinzie01_04_Kinzie": "Pas encore."
"Story16_Out_06_Matt": "Je sais bien. Bon, j'ai un vol à prendre, alors..."
"Story15_Out_04_Kinzie": "Très drôle. Je t'expliquerai tout quand ce machin sera prêt."
"Story12_In_05_Kid": "Euh... Excusez-moi?"
"Story05_Out_01_Matt": "Les Saints vont pas changer d'avis..."
"Story12_Out_05_Monica": "Quoi? Eh bien trouvez-le, bon sang!"
"CTO_Kinzie02_04_Player_BM": "Écoute, c'est vraiment trop bizarre d'avoir une conversation pareille..."
"CTO_Pierce02_04_Player_BM": "Bon, tu crois peut-être qu'il est temps de se relaxer, mais j'en ai marre de ces connards. Je veux Loren, et je le veux maintenant. Où il est?"
"Story23_Out_15_Player_BM": "Bon, alors au travail."
