"Storye01_In_Crawl_02": "La storia dell'umanità."
"Story19_In_18_Reynolds": "Non siamo a Los Angeles."
"Story05_Out_04_Phillipe": "I Saints sono tutto fumo e niente arrosto."
"Story02_In_31_Gat": "Lo riporto a Stilwater."
"22_Choice_03_Angel": "No! Non posso permettergli di vincere! Non possiamo!"
"Story24_Out_05_Player_BM": "Scusa."
"Story22_OutB_16_Space_Marines": "Urrà!"
"Story21_In_06_Zach": "Ci siamo Bobby. Il pubblico accoglie i Saints con un boato di fischi..."
"Story18_In_03_Trooper": "Sento degli spari, da questa parte!"
"Story17_Mid_10_Agent": "Come osi rivolgerti al comandante!"
"Story03_Out_04_Pierce": "Non ti conviene, lascia che ce ne occupiamo noi."
"Story24_Out_02_Player_BM": "Ma ho trovato qualcosa... Dannazione."
"Story16_Out_04_Matt": "Molto carino, ma per me è il momento di cambiare aria. L'idea di morire... non mi piace granché."
"Story15_In_07_Pierce": "Si può fare?"
"Story13_In_02_Shaundi": "Preferisco tenerla."
"Story06_Out01_01_Player_BM": "Dobbiamo tornare a casa a seppellire Johnny."
"CTO_Angel01_07_Player": "Ben detto... Aspetta... Che?"
"Story07_Zscene03_02_Oleg": "E tu non sei uno dei Luchadores di Killbane."
"Story01_Zscene01_01_Josh": "Non... non riesco a respirare."
"Story24_Out_01_Player_BM": "Sono qui su Marte per rifarmi una vita. Uscire di scena per un po', allontanarmi dai casini. Ma ho trovato qualcosa..."
"Story17_Out_08_Cyrus": "Si adeguerà, come tutti gli altri."
"Story13_Out_08_Kia": "La troverò."
"Story10_Out_05_Cyrus": "Quando avremo vinto la guerra contro il terrorismo nostrano, voi e le vostre famiglie sarete nuovamente al sicuro."
"Story08_In_09_Pierce": "MERDA! Queste non sono semplici zoccole!"
"CTO_Zimos02_01_Player_BM": "Che dipinto schifoso."
"Story20_Out_02_Player_BM": "Se vuoi affrontare il meglio, combatti contro di me."
"Story19_In_08_Player": "Cazzo... Burt Reynolds?!"
"SH_Morningstar01_01_Player_BM": "È pieno di uomini armati. Passeremo dal retro."
"Story21_Zscene01_04_Zach": "Un momento, qualcuno si sta avvicinando ad Angel."
"Story01_Zscene02_02_Gat": "NON LA TOCCARE!"
"Story02_In_27_Gat": "Capo... mettiti in salvo!"
"CTO_Zimos02_05_Player_BM": "Ci rilasseremo quando avremo finito. Ti chiamo quando facciamo un'altra manovra contro i Morningstar."
"Story15_In_18_Kinzie": "Ormai i suoi saranno già in marcia per andare a recuperare il computer! VAI!"
"Story12_In_11_Pierce": "Dobbiamo preparare un'esca per prenderlo nel sacco. Per questo ho bisogno di te e della tipa nuova."
"Story09_Out_03_Killbane": "Io sono il generale! Lo zar! L'Apocalisse che Cammina! Le decisioni le prendo io, non tu!"
"Story08_Out_10_Killbane": "Accetto le tue scuse. Ti darò un pass per il MurderBrawl, ti tirerà su di morale."
"Story21_In_10_": "Forza, andiamo!"
"Story10_Out_04_Reporter_02": "Che impatto avranno gli STAG sulla vita di tutti i giorni?"
"Story02_In_09_Viola": "Ed è per questo che il nostro capo vi vorrebbe parlare."
"Storye01_In_Crawl_09": "Il punto è che i Saints sono sulla cresta dell'onda e ogni organizzazione criminale vuole la loro testa."
"Story07_Zscene01_09_Player_BM": "AL GALOPPO!"
"Story23_Out_11_Player_BM": "Forse ci siamo andati un po' pesanti."
"Story13_In_04_Shaundi": "Eh?"
"Story02_In_25_Phillipe": "E io che speravo di raggiungere a un accordo pacifico."
"Story01_In_04_Shaundi": "Guarda che tu sei solo uno spettatore..."
"Genki_Both10": "Sarà crudelmente divertente!"
"CTO_Kinzie01_04_Kinzie": "Non ancora."
"Story16_Out_06_Matt": "Certamente. Beh, io avrei un volo da prendere, quindi..."
"Story15_Out_04_Kinzie": "Divertente. Ti spiegherò tutto appena avrò finito di sistemare 'sto coso."
"Story12_In_05_Kid": "Ehm... Scusi?"
"Story05_Out_01_Matt": "I Saints non hanno intenzione di arrendersi..."
"Story12_Out_05_Monica": "Cosa? Cerchi di trovarlo, dannazione!"
"CTO_Kinzie02_04_Player_BM": "Senti, mi fa strano avere questa conversazione..."
"CTO_Pierce02_04_Player_BM": "Guarda, forse ti sembra il momento di rilassarsi, ma ne ho abbastanza di giocare con questi bastardi. Voglio Loren e lo voglio adesso. Dov'è?"
"Story23_Out_15_Player_BM": "Bene, mettiamoci al lavoro."
