"Storye01_In_Crawl_02": "それは人類の歴史の物語"
"Story19_In_18_Reynolds": "ロサンゼルスとは違うよ"
"Story05_Out_04_Phillipe": "セインツなど実体のない脅威　いわばホワイトノイズだ"
"Story02_In_31_Gat": "自分で操縦するさ"
"22_Choice_03_Angel": "ダメだ！　奴を勝たせるわけにはいかない　絶対に"
"Story24_Out_05_Player_BM": "悪ぃ"
"Story22_OutB_16_Space_Marines": "ウーラー！"
"Story21_In_06_Zach": "来ました　セインツです　観客はブーイングです..."
"Story18_In_03_Trooper": "銃声がした！　こっちだ！"
"Story17_Mid_10_Agent": "司令官に気安く話しかけるな！"
"Story03_Out_04_Pierce": "お前は汚れ仕事はすんな　俺らに任せろ"
"Story24_Out_02_Player_BM": "見たものは...　クソッ"
"Story16_Out_04_Matt": "美しい話だけど　僕はそろそろ行くよ　正直...　死ぬのはごめんだ"
"Story15_In_07_Pierce": "そんなことできるのか..."
"Story13_In_02_Shaundi": "イヤだよ"
"Story06_Out01_01_Player_BM": "これで帰ってジョニーの葬式ができる"
"CTO_Angel01_07_Player": "よっしゃ...　待てよ　路上？"
"Story07_Zscene03_02_Oleg": "お前もただのルチャドールではないな..."
"Story01_Zscene01_01_Josh": "い...　息が..."
"Story24_Out_01_Player_BM": "我々は火星に移住した　静かに平和に暮らすために　だがそのとき見たものは..."
"Story17_Out_08_Cyrus": "彼に文句は言わせません"
"Story13_Out_08_Kia": "女を捕えます"
"Story10_Out_05_Cyrus": "我々がテロとの戦いに勝利すれば　あなたの家族には再び安全がもたらされる"
"Story08_In_09_Pierce": "こいつらただのダンサーじゃない！？"
"CTO_Zimos02_01_Player_BM": "趣味のワリィ絵だな"
"Story20_Out_02_Player_BM": "最強の相手を求めているなら相手をしてやる"
"Story19_In_08_Player": "バ...　バート・レイノルズ！？"
"SH_Morningstar01_01_Player_BM": "武装した連中が多いな　裏から入るぜ"
"Story21_Zscene01_04_Zach": "おっと！　ブッチャーがエンジェルに近づいていきます"
"Story01_Zscene02_02_Gat": "触るな！"
"Story02_In_27_Gat": "ボス！　脱出しろ！"
"CTO_Zimos02_05_Player_BM": "仕事が済んでからだ　モーニングスターは近々つぶす　動くときは連絡する"
"Story15_In_18_Kinzie": "デッカーは　もうコンピューターを狙って動いてるわ　急いで！"
