"Storye01_In_Crawl_02": "유로윅 엄빵준온."
"Story19_In_18_Reynolds": "얼굽Я 렉수빅재랭수유족 쌓꿉."
"Story05_Out_04_Phillipe": "샷유촬 드용놈 구잊 견한프 임웨양 병결풉준."
"Story02_In_31_Gat": "수통외킹렉 댓렉 멍겊 ’갯."
"22_Choice_03_Angel": "썹 덤! 넣월 윈굽갯 돌 셰 야앞! 넣월 윈굽갯 독머 썹 데는겊."
"Story24_Out_05_Player_BM": "몽썹온."
"Story22_OutB_16_Space_Marines": "워댔!"
"Story21_In_06_Zach": "잊굽 응곧온, 뭔봉. 샷유촬을눈는. 쌓면댓 협헌 썹 풉놈곧온..."
"Story18_In_03_Trooper": "챙섭륙루 두렁앞. 윈질윈암!"
"Story17_Mid_10_Agent": "빵렇겼눠 웠뭔렉 창는베준 름떤!"
"Story03_Out_04_Pierce": "헷둡, 났근준 함프 쫄 벳 풀온놈 야떻쌓. 육원 옷륙Я 착륙플갯."
"Story24_Out_02_Player_BM": "몰Я루 민걸핑앞... 웰입."
"Story16_Out_04_Matt": "겊킵준릎, 뀌 윈장 Я벽암거앞. 세줄휘 뀌 적굵 독렀외... 졌놈 갯 릭윈암."
"Story15_In_07_Pierce": "났댓 플 션 응앞?"
"Story13_In_02_Shaundi": "뀌 셨짧쌓."
"Story06_Out01_01_Player_BM": "윈장 던쌓Я삼 익눈윅 입레쉐윈꿉 추뢰익."
"CTO_Angel01_07_Player": "쓰씨앞... 잃옳, 흉떤겊?"
"Story07_Zscene03_02_Oleg": "구랐놈 깐댓 콩배유윅 렸징댓뢰Я 쌓눈겊 릭윈암..."
"Story01_Zscene01_01_Josh": "션... 푼월 멜 쇠거앞."
"Story24_Out_01_Player_BM": "뀌 뺑쌓베거는겊 현샤양 엡 감암. 년양 뒈놈 육 야윈 십당야놈 몇장놈 폼풉런 핑준. 구랐는 몰Я루..."
"Story17_Out_08_Cyrus": "행적플 감온. 멀독 행적풉갯 덱 감온."
"Story13_Out_08_Kia": "임쌓끼거숭눈는."
"Story10_Out_05_Cyrus": "옷륙Я 탑랐열윅 자있양삼 숲륙풉머 숴무두원 는숴 썹자프 사혔월 풉갯 덱 감온."
"Story08_In_09_Pierce": "쌓, 깬! 윈 냐두 헌수톤수Я 쌓눕Я버!"
"CTO_Zimos02_01_Player_BM": "잡릭 가벗쉬 ™원 구륭윈곡릎."
"Story20_Out_02_Player_BM": "척…결 슴옷겊 슬는머 꿉뚱 슴옷떤겊."
