// extra_dumps: activity - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CHOPSHOP_VIEW_DETAILS": "VIEW DETAILS"
"ACT_TORCH_START_TEXT2": "ACCRUE BONUS POINTS BY FLAMING PEOPLE AND VEHICLES"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "{RECRUIT_DISMISS_IMG} RECRUIT [format][color:green]CONTACT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "BRING THE [format][color:green]HOS[/format] BACK TO [format][color:teal]ZIMOS[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "GUARDIAN ANGEL LEVEL SELECTION"
"ACT_WHORED_MALLCOP": "And justice for mall!"
"ACT_RUNNING_MAN_BUTTON": "Press the button?"
"STRONGHOLD_FAILURE_SUB_TEXT": "STRONGHOLD FAILED"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "THE [format][color:green]HOS[/format] HAVE BEEN ARRESTED, GO BAIL THEM OUT"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "GOOD JOB!  THE COPS LOST THEIR LEAD."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "DOWNTOWN"
"ACT_FRAUD_EARN_MONEY": "YOU CAN ONLY EARN MONEY IN THE INDICATED [format][color:teal]SCORING AREAS[/format]"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "YOU DESTROYED THE VEHICLE"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "BRING THE [format][color:green]CONTACTS[/format] BACK"
"ACT_WHORED_DRUNKEN_BOXING": "When you're drunk, you have super strength."
"ACT_ESCORT_TIGER_START": "START TIGER ESCORT"
"ACT_FRAUD_GO_GET_HURT": "Press {ATTACK_PRIMARY_IMG} or {ATTACK_SECONDARY_IMG} to take a dive. The more painful the dive, the more money you earn"
"ACT_TORCH_TIME_LABEL_TEXT": "TIME"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Help your [format][color:green]homies[/format] get to [format][color:blue]their destination[/format]."
"ACT_ESCORT_PI_SPAWNED": "EVADE THE [format][color:red]PRIVATE INVESTIGATOR[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "The location is indicated."
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "YOU RAN OUT OF TIME"
"ACT_CHOPSHOP_NONE": "NO CHOP SHOPS LISTED"
"ACT_HELI_PROTECTION_START_MESSAGE": "YOUR [format][color:green]HOMIES[/format] NEED YOUR PROTECTION"
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "CIVILIAN BONUS"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "DESTROY THE SATELLITE DISHES"
"ACT_VANDAL_SUMMARY_PROPERTY": "PROPERTY"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "THE [format][color:red]BUYER[/format] GOT AWAY"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "STOP THE [format][color:red]VEHICLE[/format] AND GET THE [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "YOU UNCOVERED A TRAP! RECRUIT THE [format][color:green]HOS[/format] AND GET AWAY."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "ATTACKER COMING FROM [format][color:red]LEFT[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Not enough cars. Go get some more."
"ACT_VANDAL_COP": "COP"
"ACT_TRAFFIC_BUYER_DEAD": "A BUYER HAS BEEN KILLED"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "CELEB'S LIFE"
