// extra_dumps: customize - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"CUST_CAT_MAKEUP_MOUTH": "MOUTH"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "MIGHTY VEST"
"CUST_CAT_HAIR": "HAIR"
"UNIVERSITY_GIFT_NAME": "Stilwater U. Gift Shoppe"
"BLEACHED_BLONDE": "BLEACHED BLONDE"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "FORGOT SOMETHING?"
"CLOTHES_STORE_TITLE": "SLOPPY SECONDS"
"CUST_WEAR_OPEN_TIE": "OPEN W/TIE"
"CUST_WEAR_UNZIPPED": "UNZIPPED"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "BLACK WIDOW EARRINGS"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "FOREHEAD HEIGHT"
"CUST_INSULT_FIST": "SHAKE FIST"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "LOBE HEIGHT"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "MOUTH SIDES"
"CUST_SKIN_SILVER": "SILVER "
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "SAMEDI TAUNT 3"
"CUST_TATTOO_TORSO_CHEST": "CHEST"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "FACIAL EXPRESSION"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "NOSTRIL LENGTH"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "URBAN SAFARI COLLARED SHIRT"
"CUST_ITEM_IMPRESSIONS_MALE_O": "MANHATTAN STYLE"
"CUST_ITEM_CM_STAG": "STAG ELITE"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "CHIN SHAPE"
"CUST_VARIANT_NO_DECALS": "PLAIN"
"CUST_SKIN_BLUE_3": "CLEAR SKY BLUE"
"CUST_COMPLIMENT_X": "RAISE THE ROOF"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0 GLASSES"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MUSIC JUNKIE"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "EYEBALL SIZE"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "FOREHEAD DEPTH"
"SLOT_SIDE_MIRRORS": "SIDE MIRRORS"
"SLOT_DECAL_2": "DECAL 2"
"CUST_VARIANT_BASIC": "BASIC"
"CUST_CAT_MAKEUP": "MAKEUP"
"CUST_VARIANT_TANK_TOP_1": "STYLE 1"
