// extra_dumps: diversion - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"DIVERSION_VEHICLE_SURFING_BEST_TIME": "RECORD SURFING"
"HITMAN_TARGET_12_DESCRIPTION": "I can't take it any more!  That trance crap Enigmus plays is messin' with my groove!  Go to [format][color:em]Salander[/format] and [format][color:em]blast some K12 from your radio [/format], that'll get her out.  Then end her!"
"DIVERSION_CHOP_SHOP_WANTED": "THIS VEHICLE IS WANTED AT THE [format][color:teal]CHOP SHOP[/format]"
"DIVERSION_CHALLENGES_EXPLORE_HOODS": "HOODS EXPLORED"
"DIVERSION_COMBAT_TRICKS_BRUTE_BEAT_KILL": "BRUTE BEAT DOWN"
"DIVERSION_SURVIVAL_GOAL_NAME_SILVER": "SILVER"
"DIVERSION_HIJACKING": "BO-DUKE-EN!"
"DIVERSION_CHALLENGES_DESTROY_CARS": "CARS DESTROYED"
"TUT_DIVERSION_MUGGING": "{SHOULDER_CAMERA_IMG} MUGGING\nKeep your weapon aimed at the person to force them to drop their cash."
"DIVERSION_CHALLENGES_KILL_POLICE": "KILL POLICE"
"DIVERSION_HOSTAGE_SPEED_WARN": "SPEED UP BEFORE THE HOSTAGE ESCAPES"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_1_STRING": "A CONTRACT KILLER"
"DIVERSION_BEST_TWO_WHEELS": "RECORD TWO WHEELS"
"ACT_HITMAN_LIST": "ELIMINATE THE PEOPLE ON THE HIT LIST"
"DIVERSION_SAFECRACKING_SAFE_OPEN": "begin safecracking."
"DIVERSION_CHALLENGES_VEHICLE_SURFING": "VEHICLE SURFING TIME"
"LOCALIZE_HITMAN_DISPLAY_NAME": "HITMAN_DISPLAY_NAME"
"DIVERSION_TWO_WHEEL": "TWO WHEELS"
"DIVERSION_HOSTAGE_TITLE": "HOSTAGE"
"DIVERSION_WHEELIE_STOPPIE_TITLE": "WHEELIES/STOPPIES"
"DIVERSION_CHALLENGES_BARNSTORMING_LOCATIONS": "BARNSTORMING LOCATIONS"
"PAUSE_ACT_HITMAN_EMPTY": "NO HITMAN TARGETS"
"DIVERSION_SURVIVAL_GOAL_NAME_GOLD": "GOLD"
"HITMAN_TARGET_61_SHORT_DESC": "RE-ELECTION CAMPAIGN"
"HITMAN_TARGET_3_3": "KARL"
"DIVERSION_COMBAT_TRICKS_GANG_KILL": "GANG KILL"
"ACT_HITMAN_START CAR_MSG": "THE CLIENT HAS REQUESTED YOU PERFORM THE HIT WITH A HIT-AND-RUN"
"DIVERSION_CHALLENGES_VEHICLES_FLIPPED": "VEHICLES FLIPPED"
"DIVERSION_LOW_FLYING": "NEAR CRASH"
"DIVERSION_COOP_SURVIVAL_START_MESSAGE": "HOLD {ATTACK_SECONDARY_IMG}+{ATTACK_PRIMARY_IMG} TO REVIVE IN CO-OP SURVIVAL"
"DIVERSION_THEFT_LOCKOUT": "Lockout! %d seconds left"
"DIVERSION_STUNT_JUMPING_NORMAL_STATS": "Distance %.0fm, Height %.0fm"
"ACT_HOLDUP_START_MSG_1": "YOU'VE STARTED A HOLD-UP"
"DIVERSION_CHALLENGES_BAILOUT_DISTANCE": "CAR TORPEDO TOTAL DAMAGE"
"DIVERSION_EXPLORATION_HOOD": "%ls EXPLORED"
"DIVERSION_DRIVEBY_START_MESSAGE": "TO START A DRIVE-BY DIVERSION"
"DIVERSION_BACK_SEAT_DRIVER": "ROADKILL"
"ACT_HITMAN_START GUN_MSG": "THE CLIENT HAS REQUESTED YOU PERFORM THE HIT WITH THE PROVIDED %s"
"DIVERSION_COMBAT_TRICKS_MOTORCYCLE_SWORD_KILL": "SLICE-N-DICE"
"DIVERSION_BEST_JUMP_FALL": "RECORD BIG AIR DROP"
"DIVERSION_BASE_JUMPING_TARGET_MESSAGE": "LAND IN THE CENTER OF THE TARGET AREA FOR A REWARD"
