// extra_dumps: dlc2 - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "VEHICLE - AEGEAN"
"UNL_DLC2_STORY01_ALERT": "GANGSTAS IN SPACE"
"CUST_ITEM_ZOMBIE_HAT_M_MASK": "ZOMBIE MASK 2"
"DLC2_M03_GOTO_SECOND_TRANSMITTER": "GO TO [format][color:location]SECOND TRANSMITTER[/format]"
"DLC2_M03_GOTO_FIRST_TRANSMITTER": "GO TO [format][color:location]FIRST TRANSMITTER[/format]"
"DLC2_M02_DESTROY_CONSOLE": "DESTROY [format][color:kill]CONSOLE[/format]"
"CUST_ITEM_LUSPEC_SUIT": "LUCHADOR SPECIALIST"
"DLC2_M03_PERFORM_NEAR_CRASH": "PERFORM A NEAR CRASH"
"DLC2_M03_UPLOAD_VIRUS": "DEFEND WHILE [format][color:protect]VIRUS[/format] UPLOADS"
"DLC2_M01_OBJ_GO_TO_VEHICLE": "GET TO [format][color:use]VEHICLE[/format]"
"UNL_DESC_DLC2_ASSET05_OUTFITS03": "Now you can be hairy and scary with mix and match gloves, masks, and feet."
"CUST_ITEM_CM_DLC_SLASHER": "THE SLASHER"
"CUST_ITEM_ZOMBIE_HAT_F_MASK": "ZOMBIE MASK 1"
"DLC2_M03_FAIL_AIRCRAFT_DESTROYED": "YOUR AIRCRAFT WAS DESTROYED!"
"DLC2_M02_OBJ_MISSION_START": "GO TO THE [format][color:location]SET[/format]"
"DLC2_M03_MISSION_NAME": "THAT'S NOT IN THE SCRIPT!"
"DLC2_M02_DESTORY_GENERATOR": "DESTROY [format][color:kill]GENERATOR[/format]"
"DLC2_M02_EXPLOSION_WARNING": "GET TO A SAFE DISTANCE"
"DLC2_M01_OBJ_JUMP": "JUMP"
"DLC2_M01_OBJ_GO_TO_ARMORY": "GO TO [format][color:location]GUARD HELIPORT[/format]"
"UNL_DLC2_ASSET05_CLOTHING": "ITEMS - HORROR MASKS"
"CUST_ITEM_DLC_SUIT_DKRSPCL": "DECKER SPECIALIST"
"CUST_ITEM_ZOMBIE_UBDY_M_SHIRT": "ZOMBIE SHIRT"
"CUST_ITEM_DLC_HAT_SKELETON": "SKELETON MASK"
"DLC2_M03_EXECUTE_VIRUS": "EXECUTE THE [format][color:kill]VIRUS[/format]"
"DLC2_M03_DESTROY_SHIELDS": "DESTROY THE [format][color:kill]TRANSMITTER SHIELDS[/format]"
"DLC2_M02_PLACEHOLDER_DIALOG": "!DIALOG PLACEHOLDER"
"DLC2_M02_GO_TO_BACKSTAGE": "GO [format][color:location]BACKSTAGE[/format]"
"DLC2_M01_HUD_LEAVE_HELI_AREA": "THE DIRECTOR WANTS YOU TO ENTER THE AREA FROM THE NORTH"
"DLC2_M01_OBJ_DESTROY_PURSUERS": "ELIMINATE [format][color:kill]PURSUERS[/format]"
"UNL_DLC2_HOMIE_SPACE_BRUTINA": "HOMIE - SPACE BRUTINA"
