// extra_dumps ref: hud - JP/CZ reference for keys in extra_hud_us.txt
"TUT_TITLE_RECRUITING": "JP: 勧誘 || CZ: NAJÍMÁNÍ"
"dildo_bat": "JP: 怪しいバット || CZ: PENETRÁTOR"
"PAUSE_ACT_CHOP_REMOVE_HUD": "JP: 表示画面から削除する || CZ: ODSTRANIT Z OBRAZOVKY"
"ACHIEVE_SR3_WERE_TAKIN_OVER": "JP: オレたちの縄張り || CZ: PŘEBÍRÁME TO"
"HUD_DIVERSION_RESPECT": "JP: リスペクト || CZ: RESPEKT "
"TUT_TITLE_GANG_VEHICLE_CUSTOMIZE": "JP: ギャング車両のカスタマイズ || CZ: PŘIZPŮSOBENÍ VOZIDEL GANGU"
"HUD_START_QTE_MESSAGE": "JP: ブルートをやっつけろ || CZ: UMLÁTIT ZVÍŘE"
"HUD_NEW_MISSION_AVAILABLE": "JP: 新しいミッションが追加された || CZ: ODEMKLA SE TI NOVÁ MISE"
"TUT_WHORED_D_LEAGUE_OF_OWN": "JP: ガールズリーグ || CZ: JEJICH VLASTNÍ LIGA"
"TUT_NAG_CHANGE_CLOTHES": "JP: 衣服を購入するとスタイルランクが上昇する || CZ: TIP: NAKUPOVÁNÍM A VÝMĚNOU OBLEČENÍ ZÍSKÁVÁŠ RESPEKT."
"TUT_TITLE_STORE_INTRO_MECHANIC": "JP: RIM JOBS || CZ: RIM JOBS"
"TUT_GENERAL_SMOKED": "JP: ヤラレちまった！体力がゼロになると所持金から一部を差し引かれて病院で復活する || CZ: Dostali tě! \nKdyž ztratíš všechno své zdraví, zaplatíš malou částku a objevíš se před nemocnicí."
"TUT_CRIB_WEAPONS": "JP: これが武器庫だ。ここで持って行く武器を選択できる || CZ: Toto je tvé skladiště zbraní. \nZde se můžeš vyzbrojit."
"WPN_RIFLEGANG_DESCRIPT": "JP: 労働者向けアサルトライフル || CZ: Útočná puška pro pracujícího muže."
"CONFIRM_RESTART_TITLE": "JP: リスタート確認 || CZ: POTVRĎ RESTART"
"TUT_DLC_MONEYSHOT": "JP: 特殊なスナイパーライフル || CZ: Tohle je speciální odstřelovačská puška."
"ACHIEVE_SR3_LIFE_OF_THE_PARTY": "JP: パーティーライフ || CZ: ŽIVOT NA PÁRTY"
"WPN_GRENADELAUNCHER_DESCRIPT": "JP: 大量の手榴弾を発射し、最大級の爆発を起こす || CZ: Vypálí hromadu granátů s maximální výbušností."
"HUD_FEET": "JP: フィート || CZ: STOP"
"WPN_URINAL": "JP: 男性用便器 || CZ: PISOÁR"
"RPG_AMMO": "JP: ロケット弾 || CZ: MUNICE DO RPG"
"HUD_TRIGGER_VEHICLE_REPAIR_NSF": "JP: 車両の修理には%dドルかかる || CZ: NA OPRAVU AUTA POTŘEBUJEŠ %d DOLARŮ"
"TUT_VEHICLE_ENTRY": "JP: {ACTION_IMG}ハイジャック\n{SPRINT_IMG}+{ACTION_IMG}スピードジャック || CZ: PROSTŘEDNICTVÍM {ACTION_IMG} UKRADNEŠ VOZIDLO \nPOMOCÍ {SPRINT_IMG} + {ACTION_IMG} SE DO NĚJ VLOUPÁŠ RYCHLE"
"TUT_THROW_KILL": "JP: {ACTION_IMG} で盾にした人間を投げられる || CZ: STISKEM {ACTION_IMG} LIDSKÝ ŠTÍT ODHODÍŠ."
"ACHIEVE_SR3_YOUR_BACKSEAT_SMELLS_FUNNY": "JP: プロドライバー || CZ: NĚJAK DIVNĚ TI SMRDÍ SEDADLO"
"HUD_UNLOCKED_SHORTCUT": "JP: GPSのショートカットが解除！ || CZ: Nová zkratka v GPS!"
"PAUSE_ACT_HITMAN_REMOVE_HUD": "JP: 表示画面から削除する || CZ: ODSTRANIT Z OBRAZOVKY"
"UNL_DESC_RESPECT_BONUS_PURCHASE4": "JP: 獲得するリスペクト -\n20%%アップ || CZ: 20%% bonus k VEŠKERÉMU získanému respektu"
"UNL_WEEKLY_PAYMENTS_2": "JP: 毎時収入アップ2 || CZ: BONUS - HODINOVÝ PŘÍJEM 2"
"TUT_FINEAIM_1": "JP: エイムモードでは命中精度が上がるが、移動速度が遅くなる || CZ: REŽIM PŘESNÉHO MÍŘENÍ ZVYŠUJE PŘESNOST, ALE JE POMALEJŠÍ"
"TUT_TITLE_ACT_GUARDIAN": "JP: ガーディアンエンジェル || CZ: STRÁŽNÝ ANDĚL"
"HYDRAULICS_ON": "JP: ハイドロON || CZ: HYDRAULIKA ZAPNUTA"
"UNL_DESC_DBNO_EXTRA_TIME_3": "JP: 同行している仲間全員の\n蘇生可能時間が30秒延長される || CZ: Krvácející parťáci přežijí o 30 vteřin déle"
"TUT_WHORED_MINI_HAMMER": "JP: ミニハンマー || CZ: MINIKLADIVO"
"TUT_TITLE_AIRSTRIKE": "JP: 空爆照準器 || CZ: NÁLET"
"PLAYER_CHOICE_M13_OPTION1_TITLE": "JP: [format][color:blue]STAGに渡す[/format] || CZ: [format][color:blue]VRAŤ JOSHE STAGU[/format]"
"TUT_SATCHEL_CHARGES": "JP: {DETONATE_CHARGES_IMG}リモート爆弾の起爆 || CZ: {DETONATE_CHARGES_IMG} ODPÁLÍ ODHOZENOU NÁLOŽ"
"WPN_SHOTGUNGANG_DESCRIPT": "JP: セインツ流にアレンジされた\nおなじみのショットガン || CZ: Staromódní brokovnice v novém stylu Svatých."
"HUD_RESPECT_RANK_003": "JP: フッドラット || CZ: KRYSA"
"TUT_WHORED_Z_THEME_PARK": "JP: テーマパークで大暴れ || CZ: MASAKR V LUNAPARKU"
"TUT_AIRPLANE_CONTROL": "JP: {PLANE_ACCELERATE_IMG}加速\n{PLANE_BRAKE_REVERSE_IMG}ブレーキ／逆回転\n{ANALOG_LS_IMG}旋回／回転 || CZ: {PLANE_ACCELERATE_IMG} PLYN \n{PLANE_BRAKE_REVERSE_IMG} BRZDA+ZPÁTEČKA\nPomocí {ANALOG_LS_IMG} ovládáš náklon a natočení letadla."
"HUD_FLIP_VEHICLE_INSTRUCTIONS": "JP: {ACTION_IMG}で車両をひっくり返す || CZ: STISKNUTÍM {ACTION_IMG} VŮZ PŘETOČÍŠ"
"SATELLITE_FIRE_MISSILES": "JP: 通常ミサイル || CZ: NEŘÍZENÉ STŘELY"
"HUD_RESPECT_RANK_009": "JP: プレイヤー || CZ: HRÁČ"
"USE_TRIGGER_GANG_CUSTOMIZE": "JP: ギャングをカスタマイズする || CZ: SI PŘIZPŮSOBIT SVŮJ GANG"
"HUD_DIVERSION_POINTS": "JP: ポイント || CZ: BODY "
"TUT_TITLE_NEW_MISSIONS": "JP: 新しいミッション || CZ: NOVÉ MISE"
"THEATER_STRONGHOLD": "JP: 拠点 || CZ: PEVNOSTI"
"HUD_PRESS_BACK_CANCEL_ACTIVITY": "JP: アクティビティをキャンセル：%ls長押し || CZ: PRO UKONČENÍ AKTIVITY PODRŽ %ls "
"TUT_TITLE_HYDRAULICS": "JP: ハイドロ || CZ: HYDRAULIKA"
"TUT_GENERAL_BUSTED": "JP: 警察に捕まると所持金から一部を差し引かれ、警察署の外に釈放される || CZ: Zabásli tě! \nKdyž tě zabásnou, zaplatíš malou částku a následně se objevíš před policejní stanicí."
"PLAYER_CHOICE_M22_OPTION1_TITLE": "JP: [format][color:red]AIRPORTに向かう[/format] || CZ: [format][color:red]ZAMIŘ NA LETIŠTĚ[/format]"
"PLAYER_CHOICE_M09_OPTION2_TITLE": "JP: [format][color:Purple]セインツで雇う[/format] || CZ: [format][color:Purple]NECH SI HOLKY PRO SVATÝ[/format]"
"PLAYER_CHOICE_M06_OPTION1_TITLE": "JP: [format][color:red]ビルを爆破[/format] || CZ: [format][color:red]ZNIČ BUDOVU[/format]"
"TUT_TITLE_ACT_INTRO_HELI_ASSAULT": "JP: ヘリアサルト || CZ: ÚTOK ZE VZDUCHU"
"HUD_HELIPORT_NEED_VEHICLES": "JP: ヘリを追加するとヘリポートが見られるようになる || CZ: NA HELIPORT MUSÍŠ NEJDŘÍV PŘIDAT VRTULNÍKY"
"UNL_DESC_HOMIE_PIERCE": "JP: ピアースの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる || CZ: Mezi kontakty v telefonu najdeš Pierce. Pomůže ti v boji."
"TUT_CRIB_CARSTORAGE_1": "JP: これがガレージだ。奪った乗り物はこのガレージに保管できる || CZ: Toto je tvá garáž. \nTady můžeš parkovat a vyzvedávat svá auta."
"UNL_DESC_INSTANT_RELOAD_SHOTGUN": "JP: ショットガンのリロードが不要になる || CZ: Brokovnice budeš přebíjet okamžitě"
"TUT_TITLE_DLC_MONEYSHOT": "JP: TOGO13 ライフル || CZ: TOGO-13"
"TUT_NAG_FINE_AIM": "JP: {ANALOG_RS_IMG}でエイムモードに入れば、遠くの敵も狙いやすくなる || CZ: TIP: S POMOCÍ MÍŘENÍ ({ANALOG_RS_IMG}) LÉPE ZACÍLÍŠ VZDÁLENÉ NEPŘÁTELE."
"PLAYER_CHOICE_M13_OPTION2_BODY": "JP: 報酬：ナイトブレイドが仲間になる || CZ: ODMĚNA: Nyte Blayde jako parťák"
"TUT_TITLE_UNDERCOVER": "JP: 潜入 || CZ: V UTAJENÍ"
"TUT_COMBAT_WEAPONS_1": "JP: {PICKUP_RELOAD_IMG}リロード || CZ: {PICKUP_RELOAD_IMG} PŘEBIJE ZBRAŇ"
"TUT_TITLE_NP_MOTORCYCLE_CONTROLS": "JP: バイクの操作 || CZ: OVLÁDÁNÍ MOTORKY"
"HUD_RESPECT_RANK_007": "JP: ブリング || CZ: BLING"
"PLAYER_CHOICE_M19_OPTION1_TITLE": "JP: [format][color:blue]ゾンビウィルスをキープ[/format] || CZ: [format][color:blue]DOVEZ ZOMBIE VIRUS OLEGOVI[/format]"
"PLAYER_CHOICE_M16_OPTION2_TITLE": "JP: [format][color:blue]武器パーツメーカー[/format] || CZ: [format][color:blue]OBSAĎ VÝROBNU ZBRANÍ[/format]"
"TUT_TITLE_ACT_INTRO_ESCORT": "JP: エスコート || CZ: ESKORTA"
"TUT_STORE_INTRO_WEAPONS": "JP: 武器や弾薬の購入とアップグレードはFRIENDLY FIREで行える || CZ: V obchodech Friendly Fire můžeš nakupovat zbraně, střelivo a také vylepšení pro své zbraně a granáty."
"RESPECT_UPGRADE": "JP: UPGRADE || CZ: RESPEKT"
"EXPLOSIVE_ROCKETLAUNCHER": "JP: ロケットランチャー || CZ: ANIHILÁTOR"
"SHOTGUN_POLICE": "JP: AS3 アルチマックス || CZ: AS3 ULTIMAX"
"OVL_IN_USE": "JP: 使用中 || CZ: POUŽÍVÁNO"
"TUT_SPRINT_RECHARGE": "JP: スタミナメーターが空になると回復するまでダッシュできない || CZ: Když se tvůj ukazatel sprintu vyčerpá, musíš před dalším sprintováním chvíli počkat."
"GARAGE_TOO_SMALL": "JP: ガレージが小さ過ぎて収納できない || CZ: GARÁŽ JE PRO TOTO VOZIDLO PŘÍLIŠ MALÁ"
"MAP_HIDDENNAME_STORE": "JP: 店舗 || CZ: OBCHOD"
"UNL_DESC_CRIB_POWDER": "JP: 新しいアジトを手に入れた\n武器や衣類の変更やギャングの\nカスタマイズもできる || CZ: Powder je teď základna Svatých. Můžeš tu spravovat své finance, uskladněné zbraně a oblečení a upravovat svůj gang."
"TL_MIS_21_RIDE_KILLBANE": "JP: {ANALOG_LS_IMG}方向指示\n{ATTACK_PRIMARY_IMG}パンチ\nキルベインにパンチを食らわせて行きたい方向へ移動させろ || CZ: {ANALOG_LS_IMG} ŘÍZENÍ \n{ATTACK_PRIMARY_IMG} ÚDER PĚSTÍ \nBitím přiměj Killbana, ať se dál pohybuje v nastaveném směru."
"HUD_METERS_ABR": "JP: M || CZ: M"
"TUT_TITLE_STORE_INTRO_CLOTHES": "JP: 衣料品店 || CZ: OBCHODY S ODĚVY"
"ACHIEVE_SR3_A_BETTER_PERSON": "JP: 改良    || CZ: LEPŠÍ ČLOVĚK   "
"HUD_AMT_POINTS": "JP: +{0}ポイント || CZ: +{0}BODŮ"
"TUT_ACT_INTRO_SNATCH_KINZIE": "JP: デッカーに捕えられた協力者を救出しろ || CZ: Dostaň své lidi bezpečně od Deckerů."
"ACHIEVE_SR3_THIRD_AND_30": "JP: 3rd & 30 || CZ: TŘI A TŘICET"
"COOP_WAITING_ON_PLAYER": "JP: 他のプレイヤーを待っています... || CZ: Čeká se na dalšího hráče..."
"WPN_AIR_STRIKE_DESCRIPT": "JP: レーザーで標的に「印」をつけその周囲に死の雨を降らせる。見とれて逃げ忘れないように... || CZ: Pomocí laseru označ cíl a pak sleduj, jak na oblast dopadne déšť smrti. Mno, možná to radši sleduj z větší vzdálenosti."
