// extra_dumps: hud - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"TUT_TITLE_RECRUITING": "RECRUITING"
"dildo_bat": "THE PENETRATOR"
"PAUSE_ACT_CHOP_REMOVE_HUD": "REMOVE FROM HUD"
"ACHIEVE_SR3_WERE_TAKIN_OVER": "WE'RE TAKIN' OVER"
"HUD_DIVERSION_RESPECT": "RESPECT "
"TUT_TITLE_GANG_VEHICLE_CUSTOMIZE": "GANG VEHICLE CUSTOMIZATION"
"HUD_START_QTE_MESSAGE": "BEAT DOWN BRUTE"
"HUD_NEW_MISSION_AVAILABLE": "NEW MISSION AVAILABLE"
"TUT_WHORED_D_LEAGUE_OF_OWN": "LEAGUE OF THEIR OWN"
"TUT_NAG_CHANGE_CLOTHES": "REMEMBER: BUY AND CHANGE YOUR CLOTHES TO EARN RESPECT"
"TUT_TITLE_STORE_INTRO_MECHANIC": "RIM JOBS"
"TUT_GENERAL_SMOKED": "You got smoked!  \nWhen you lose all your health, you will be charged a small amount of cash and revived at the hospital."
"TUT_CRIB_WEAPONS": "This is your weapon cache.  \nArm yourself here."
"WPN_RIFLEGANG_DESCRIPT": "The working-man's assault rifle."
"CONFIRM_RESTART_TITLE": "CONFIRM RESTART"
"TUT_DLC_MONEYSHOT": "This weapon is a special sniper rifle."
"ACHIEVE_SR3_LIFE_OF_THE_PARTY": "LIFE OF THE PARTY"
"WPN_GRENADELAUNCHER_DESCRIPT": "Launch a plethora of grenades for maximum explosions."
"HUD_FEET": "FEET"
"WPN_URINAL": "URINAL"
"RPG_AMMO": "RPG AMMO"
"HUD_TRIGGER_VEHICLE_REPAIR_NSF": "YOU NEED $%d TO REPAIR YOUR VEHICLE"
"TUT_VEHICLE_ENTRY": "{ACTION_IMG} HIJACK VEHICLE \n{SPRINT_IMG} + {ACTION_IMG} HIJACK VEHICLE QUICKLY"
"TUT_THROW_KILL": "{ACTION_IMG} THROW HUMAN SHIELD"
"ACHIEVE_SR3_YOUR_BACKSEAT_SMELLS_FUNNY": "YOUR BACKSEAT SMELLS FUNNY"
"HUD_UNLOCKED_SHORTCUT": "GPS Shortcut Unlocked!"
"PAUSE_ACT_HITMAN_REMOVE_HUD": "REMOVE FROM HUD"
"UNL_DESC_RESPECT_BONUS_PURCHASE4": "20%% bonus to ALL Respect earned"
"UNL_WEEKLY_PAYMENTS_2": "BONUS - HOURLY CITY INCOME 2"
"TUT_FINEAIM_1": "FINE AIM MODE IMPROVES ACCURACY AT THE COST OF SPEED"
"TUT_TITLE_ACT_GUARDIAN": "GUARDIAN ANGEL"
"HYDRAULICS_ON": "HYDRAULICS ON"
"UNL_DESC_DBNO_EXTRA_TIME_3": "All followers take 30 seconds longer to bleed out"
"TUT_WHORED_MINI_HAMMER": "MINI HAMMER"
"TUT_TITLE_AIRSTRIKE": "AIRSTRIKE WEAPON"
"PLAYER_CHOICE_M13_OPTION1_TITLE": "[format][color:blue]RETURN JOSH TO STAG[/format]"
"TUT_SATCHEL_CHARGES": "{DETONATE_CHARGES_IMG} DETONATE THROWN SATCHEL CHARGES"
"WPN_SHOTGUNGANG_DESCRIPT": "Old-school shotgun with a new Saints style."
"HUD_RESPECT_RANK_003": "HOOD RAT"
"TUT_WHORED_Z_THEME_PARK": "THEME PARK MASSACRE"
"TUT_AIRPLANE_CONTROL": "{PLANE_ACCELERATE_IMG} ACCELERATE \n{PLANE_BRAKE_REVERSE_IMG} BRAKE + REVERSE \nUse {ANALOG_LS_IMG} to control roll and pitch in order to turn the plane."
"HUD_FLIP_VEHICLE_INSTRUCTIONS": "PRESS {ACTION_IMG} TO FLIP YOUR VEHICLE"
"SATELLITE_FIRE_MISSILES": "DUMB FIRE MISSILES"
"HUD_RESPECT_RANK_009": "PLAYA"
"USE_TRIGGER_GANG_CUSTOMIZE": "CUSTOMIZE YOUR GANG"
"HUD_DIVERSION_POINTS": "POINTS "
"TUT_TITLE_NEW_MISSIONS": "NEW MISSIONS"
"THEATER_STRONGHOLD": "STRONGHOLDS"
"HUD_PRESS_BACK_CANCEL_ACTIVITY": "HOLD %ls EXIT ACTIVITY"
"TUT_TITLE_HYDRAULICS": "HYDRAULICS"
"TUT_GENERAL_BUSTED": "You were busted!  \nWhen you get busted you will be charged a small amount of cash and be released outside of the police station."
"PLAYER_CHOICE_M22_OPTION1_TITLE": "[format][color:red]HEAD TO THE AIRPORT[/format]"
"PLAYER_CHOICE_M09_OPTION2_TITLE": "[format][color:Purple]KEEP HOS FOR THE SAINTS[/format]"
"PLAYER_CHOICE_M06_OPTION1_TITLE": "[format][color:red]BLOW UP THE BUILDING[/format]"
"TUT_TITLE_ACT_INTRO_HELI_ASSAULT": "HELI ASSAULT"
"HUD_HELIPORT_NEED_VEHICLES": "ADD HELICOPTERS TO ACCESS HELIPORT"
"UNL_DESC_HOMIE_PIERCE": "Pierce can be found in your Cell Phone \"PHONE\" menu. He will help the Saints in combat."
"TUT_CRIB_CARSTORAGE_1": "This is your garage.  \nYou can store or retrieve owned vehicles here."
"UNL_DESC_INSTANT_RELOAD_SHOTGUN": "Instantly reload your shotguns"
"TUT_TITLE_DLC_MONEYSHOT": "TOGO-13"
"TUT_NAG_FINE_AIM": "REMEMBER: USE FINE AIM {ANALOG_RS_IMG} TO HELP AIM AT DISTANT ENEMIES"
"PLAYER_CHOICE_M13_OPTION2_BODY": "REWARD: Nyte Blayde as Homie"
"TUT_TITLE_UNDERCOVER": "UNDERCOVER"
"TUT_COMBAT_WEAPONS_1": "{PICKUP_RELOAD_IMG} RELOAD"
"TUT_TITLE_NP_MOTORCYCLE_CONTROLS": "MOTORCYCLE CONTROLS"
"HUD_RESPECT_RANK_007": "BLING"
"PLAYER_CHOICE_M19_OPTION1_TITLE": "[format][color:blue]RETURN ZOMBIE VIRUS TO OLEG[/format]"
"PLAYER_CHOICE_M16_OPTION2_TITLE": "[format][color:blue]TAKE OVER A WEAPONS MANUFACTURER[/format]"
"TUT_TITLE_ACT_INTRO_ESCORT": "ESCORT"
"TUT_STORE_INTRO_WEAPONS": "You can purchase Weapons and Ammo as well as Upgrade your Weapons and Grenades at Friendly Fire."
"RESPECT_UPGRADE": "UPGRADE"
"EXPLOSIVE_ROCKETLAUNCHER": "ANNIHILATOR"
"SHOTGUN_POLICE": "AS3 ULTIMAX"
"OVL_IN_USE": "IN USE"
"TUT_SPRINT_RECHARGE": "After your sprint meter has emptied, wait for it to fill before sprinting again."
"GARAGE_TOO_SMALL": "GARAGE IS TOO SMALL FOR THIS VEHICLE"
"MAP_HIDDENNAME_STORE": "STORE"
"UNL_DESC_CRIB_POWDER": "Powder is now a Saints Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"TL_MIS_21_RIDE_KILLBANE": "{ANALOG_LS_IMG} STEER \n{ATTACK_PRIMARY_IMG} PUNCH \nPunch Killbane to keep him moving in the steered direction."
"HUD_METERS_ABR": "M"
"TUT_TITLE_STORE_INTRO_CLOTHES": "CLOTHING STORES"
"ACHIEVE_SR3_A_BETTER_PERSON": "A BETTER PERSON  "
"HUD_AMT_POINTS": "+{0}POINTS"
"TUT_ACT_INTRO_SNATCH_KINZIE": "Bring contacts back safely from the Deckers."
"ACHIEVE_SR3_THIRD_AND_30": "THIRD AND 30"
"COOP_WAITING_ON_PLAYER": "Waiting for other player..."
"WPN_AIR_STRIKE_DESCRIPT": "Use the laser to \"paint\" the target, then watch as death rains down into the area.  May want to stand back..."
"TUT_COMBAT_MELEE_1": "{MELEE_POWER_ATTACK_IMG} HEAVY ATTACK \n{ATTACK_PRIMARY_IMG} LIGHT ATTACK"
"COOP_KICK_PLAYER_CONFIRM": "Are you sure you want to kick %ls from the game?\nAny unsaved Mission or Activity progress will be lost"
"UNL_DESC_HOMIE_SHAUNDI": "Shaundi can be found in your Cell Phone \"PHONE\" menu. She will help the Saints in combat."
"HUD_HOLD_BACK_CANCEL_TAGGING": "EXIT TAGGING"
"HYDRAULICS_TOGGLE": "%ls TO TOGGLE"
"TUT_TITLE_LOW_AMMO": "LOW AMMO"
"PLAYER_CHOICE_M19_OPTION1_BODY": "REWARD: Zombie Homies"
"TUT_TITLE_ACT_INTRO_DRUG_TRAFFICKING": "TRAFFICKING"
"TUT_DIV_INTRO_HOSTAGE": "Drive at high speeds to evade the cops until your hostage breaks down and pays.  If you slow down your hostage will escape."
"ACHIEVE_SR3_GOTTA_BREAK_EM_IN": "GOTTA BREAK EM IN"
"HUD_RESPECT_RANK_001": "NEW BLOOD"
"TUT_WHORED_A_LITTLE_NIKITA": "LITTLE NIKITA"
"TUT_WHORED_ZOMBIE_SLAYER": "ZOMBIE SLAYER"
"TUT_WHORED_BIG": "TOKYO BEWARE!"
"WPN_SONIC_WAVE_GUN_DESCRIPT": "Focused sound waves knock down most things in your path.  Charge it up and see what happens!"
"WPN_SMGCYBER_DESCRIPT": "A working model of the Decker SMG from the Decker Use-Net."
"RESTRICTED_ZONE_ENTER": "ENTERING RESTRICTED ZONE"
"UNL_DESC_NOTORIETY_LUCHA_3": "Your Luchadore Notoriety will decay at a much faster rate"
"TUT_TITLE_HOMIE_REVIVE": "REVIVE FOLLOWER"
"Flashbang": "FLASHBANGS"
"TUT_WHORED_Z_BRUTE_ACTION": "BRUTE ACTION FIGURES"
"ACHIEVE_SR3_KILL_DECKERS_EXE": "KILL-DECKERS.EXE"
"PISTOL_POLICE": "KA-1 KOBRA"
"TUT_NP_TANK_CONTROLS": "{ANALOG_LS_IMG} MOVE \n{ANALOG_RS_IMG} AIM \n{TANK_FIRE_SECONDARY_IMG} FIRE MAIN WEAPON \n{TANK_FIRE_PRIMARY_IMG} FIRE SECONDARY WEAPON"
"PLAYER_ALL_HEALED": "All healed up!"
"TUT_WHORED_A_KEEP_AWAY": "KEEP AWAY"
"TUT_WHORED_BRUTES": "OLEG FAMILY REUNION"
"HUD_TARGET_ELIMINATED": "TARGET ELIMINATED"
"HASH_C7FCA82B": "PLEASE RECONNECT THE CONTROLLER AND PRESS {PAUSE_MENU_IMG} TO CONTINUE"
"UNL_DESC_CASH_FOR_RESPECT_1": "Pay cash for 4,000 respect"
"TUT_TITLE_STORE_INTRO_TATTOO": "TATTOO PARLORS"
"CS_TITLE_SYNDICATE_JET": "SYNDICATE JET"
"USE_TRIGGER_PENTHOUSE": "GO TO THE PENTHOUSE"
"RADIO_OFF": "OFF"
"UNL_DESC_WEP_AIRSTRIKE": "Equip the SA3 Airstrike Designator at your Crib Weapon Cache."
"USE_TRIGGER_GARAGE": "GO TO THE GARAGE"
"WPN_EGRENADE_DESCRIPT": "Electrical damage and the ability to stun those around you."
"WPN_VTOL_MISSILES": "SWARM MISSILES"
"USE_TRIGGER_DROP_HELI": "DROP HELICOPTER"
"UNL_DESC_POLICE_CUSTOMIZATION": "Police customization items"
"EXPLOSIVE_GENKI": "MOLLUSK LAUNCHER"
"ACT_CANCEL_TEXT": "Are you sure you want to leave the Activity?\nYou will lose all progress since starting the Activity."
"SATELLITE_SLOW_DOWN": "SLOW DOWN"
"SATLLITE_SPEED_UP": "SPEED UP"
"ACT_CANCEL_TITLE": "RETRY OR EXIT ACTIVITY?"
"UNL_WEAPON_KILLBANES_GLOVES": "WEAPON - APOCA-FISTS"
"ACHIEVE_SR3_FLASH_THE_PAN": "FLASH THE PAN"
"WPN_SNIPER_DESCRIPT": "For that long-range shot where accuracy is key."
"UNL_SPRINT_1": "SPRINT - INCREASE"
"TUT_NAG_TAUNTING": "REMEMBER: TAUNT {MENU_DP_LEFT_IMG} ENEMIES AS YOU KILL THEM TO GET EXTRA RESPECT"
"UNL_DAMAGE_FIRE_2": "DAMAGE - FIRE 2"
