// extra_dumps ref: menu - JP/CZ reference for keys in extra_menu_us.txt
"INFO_UNLOCKABLES_STRONGHOLDS": "JP: アジト || CZ: PEVNOSTI"
"CONTROL_CHANGE_TRACK": "JP: トラック変更 || CZ: ZMĚNIT SKLADBU"
"PLAYLIST_PREVIEW_TRACK": "JP: プレビュー || CZ: NÁHLED"
"MAP_RESPECT_BLANK_OF_BLANK": "JP: リスペクト：%d ／%d || CZ: RESPEKT: %d/%d"
"INFO_UNLOCKABLES_DAMAGE": "JP: ダメージ || CZ: ZRANĚNÍ"
"CONTROLS_STICK": "JP: {ANALOG_LS_IMG}アクセル／ブレーキ || CZ: {ANALOG_LS_IMG} PLYN/BRZDA"
"CONTROLS_DESC_KICK": "JP: キック || CZ: KOPNUTÍ"
"HASH_9DE4FE82": "JP: オンライン機能を利用するには、\nEpicアカウントにサインインしている必要があります。 || CZ: Chcete-li využít tuto funkci, \npřihlaste se k účtu Epic."
"MENU_CONTROL_OPTIONS": "JP: 操作設定 || CZ: NASTAVENÍ OVLÁDÁNÍ"
"MENU_OPTIONS_XBOX_LIVE": "JP: Xbox Live || CZ: Xbox Live"
"MAP_ICON_SNATCH": "JP: スカウト || CZ: SOUBOJ PASÁKŮ"
"CONTROL_DESC_FOOT_COMPLIMENT": "JP: 敬意 || CZ: POKLONA"
"PAUSE_INFO_DRIVING_STUNTS": "JP: 運転スタント || CZ: JÍZDNÍ AKROBACIE"
"CONTROLS_INVERT_ROTATION": "JP: 視点左右反転 || CZ: INVERTOVAT OSU X U KAMERY"
"CELL_OPTION_PHONEBOOK": "JP: 電話帳 || CZ: SEZNAM"
"HASH_B98FE004": "JP: HDR設定を開く || CZ: OTEVŘÍT NASTAVENÍ HDR"
"PAUSE_MAP_FILTER_LOCKED": "JP: ロック || CZ: UZAMČENO"
"MENU_STYLE_DIALOG_CONTINUE": "JP: 続行 || CZ: POKRAČOVAT"
"MAINMENU_OPTIONS": "JP: オプション || CZ: NASTAVENÍ"
"INFO_COLLECTIONS_CHOPSHOP": "JP: ヤミ改造工場 || CZ: OBCHOD S KRADENÝMI AUTODÍLY"
"COMPLETION_UNLOCKED": "JP: 解除 || CZ: ZPŘÍSTUPNĚNO"
"CELL_VEHICLE_DIALOG_NO_CASH_BODY": "JP: この車両を修理して回収するにはキャッシュが足りません || CZ: Na opravu a získání tohoto automobilu nemáš dostatek peněz."
"ADD_BOOKMARK": "JP: ブックマークを追加 || CZ: PŘIDAT ZÁLOŽKU"
"HASH_C6347785": "JP:     スクリーンスペース反射 || CZ:     ODRAZY V OBLASTI OBRAZOVKY"
"MENU_SEARCHING": "JP: 検索中... || CZ: HLEDÁ SE..."
"COOP_SERVER_SAVEGAME_LOADING": "JP: %lsがセーブデータをロードしています。\n参加する前にセーブしますか？ || CZ: %ls načítá uloženou hru.\nChceš si svůj postup před opětovným připojením uložit?"
"MP3_CONFIRM_DELETE_LIST_TITLE": "JP: プレイリスト消去 || CZ: SMAZAT SEZNAM SKLADEB"
"COMPLETION_STRONGHOLD": "JP: 拠点制圧 || CZ: PEVNOST"
"CONTROLS_RESET_DEFUALT_CONFIRM1": "JP: 初期設定に戻しますか？ || CZ: VRÁTIT NA PŮVODNÍ?"
