// extra_dumps: menu - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"INFO_UNLOCKABLES_STRONGHOLDS": "STRONGHOLDS"
"CONTROL_CHANGE_TRACK": "CHANGE TRACK"
"PLAYLIST_PREVIEW_TRACK": "PREVIEW"
"MAP_RESPECT_BLANK_OF_BLANK": "RESPECT: %d/%d"
"INFO_UNLOCKABLES_DAMAGE": "DAMAGE"
"CONTROLS_STICK": "{ANALOG_LS_IMG} ACCEL/BRAKE"
"CONTROLS_DESC_KICK": "KICK"
"HASH_9DE4FE82": "You must be signed in to Epic Account \nto use online features."
"MENU_CONTROL_OPTIONS": "CONTROL OPTIONS"
"MENU_OPTIONS_XBOX_LIVE": "Xbox Live"
"MAP_ICON_SNATCH": "SNATCH"
"CONTROL_DESC_FOOT_COMPLIMENT": "COMPLIMENT"
"PAUSE_INFO_DRIVING_STUNTS": "DRIVING STUNTS"
"CONTROLS_INVERT_ROTATION": "INVERT CAMERA ROTATION"
"CELL_OPTION_PHONEBOOK": "PHONE BOOK"
"HASH_B98FE004": "Ƙƕ HDR ƇǊ"
"PAUSE_MAP_FILTER_LOCKED": "LOCKED"
"MENU_STYLE_DIALOG_CONTINUE": "CONTINUE"
"MAINMENU_OPTIONS": "OPTIONS"
"INFO_COLLECTIONS_CHOPSHOP": "CHOP SHOP"
"COMPLETION_UNLOCKED": "UNLOCKED"
"CELL_VEHICLE_DIALOG_NO_CASH_BODY": "You do not have enough cash to repair and retreive this vehicle."
"ADD_BOOKMARK": "ADD BOOKMARK"
"HASH_C6347785": "    SCREEN SPACE REFLECTIONS"
"MENU_SEARCHING": "SEARCHING..."
"COOP_SERVER_SAVEGAME_LOADING": "%ls is loading a save game.\nWould you like to save your progress before rejoining?"
"MP3_CONFIRM_DELETE_LIST_TITLE": "DELETE PLAYLIST"
"COMPLETION_STRONGHOLD": "STRONGHOLD"
"CONTROLS_RESET_DEFUALT_CONFIRM1": "RESET TO DEFAULT?"
"CONTROL_DESC_FOOT_MOVE": "MOVE"
"PAUSE_MENU_COOP": "CO-OP"
"PHONE_OPTION_3": "DIAL"
"CONTROL_SCHEME_B": "SCHEME B"
"CONTROL_DESC_VEH_RUDDER_RIGHT": "TURN RIGHT"
"MENU_DISPLAY_MONITOR_ADJUSTMENT": "DISPLAY SETTINGS"
"CELL_VEHICLE_DIALOG_NO_CASH_HEADER": "NOT ENOUGH CASH"
"MENU_OPTIONS_QUIT_GAME": "QUIT GAME"
"MENU_OPTIONS_GAMMA": "GAMMA"
"INVALID_SAVE_TITLE": "INVALID SAVE"
"COMPLETION_NEIGHBORHOODS_OWNED": "HOODS OWNED"
"HASH_F6F93B8A": "SHARPENING"
"HASH_8F4F040A": "Maximum ui brightness, a.k.a. paper white"
"DLT_CHALLENGE": "GIVE ME A CHALLENGE"
"CONTROL_DESC_PRESS": "PRESS"
"COMPLETION_CASH": "CASH"
"COMMUNITY_EXISTING_USER_NAME_EXT": "Please enter your THQ ID."
"HELP_TEXT_THROW_PUNCH": "PRESS {ATTACK_PRIMARY_IMG} TO THROW A PUNCH"
"DOWNLOADABLE_REMOVED_CANCEL": "EXIT TO THE MAIN MENU"
"AMMO_MAX_REACHED": "MAX"
"HASH_6143AB8C": "ADJUST CONTRAST FOR HIGH FREQUENCY DETAILS"
"HASH_D7B70F8C": "LOADING {0}%%%"
"MENU_XBOX_LIVE_STARTUP": "SIGN ME IN AT STARTUP"
"MAINMENU_NEW": "NEW GAME"
"INFO_HELP": "HELP"
"CRIB_CASH_INCOME": "HOURLY CITY INCOME"
"OPT_UPDATE_TITLE": "OPTIONS UPDATE"
"PAUSE_MENU_OF": "{0} OF {1}"
"OPT_UPDATE_DISCARD": "DISCARD"
"CONTROL_DESC_VEH_CRUISE_CONTROL": "CRUISE CONTROL"
"COMMUNITY_AGE_FIELD": "DATE OF BIRTH"
"MAP_ACTIVITY_HARD": "DIFFICULTY: HARD"
"SAVELOAD_DURING_MISSION_CONTINUE": "Continue?"
"CONTROLS_RESET_DEFAULT": "RESET TO DEFAULT"
"MENU_AUDIO_MUSIC": "MUSIC"
"CONTROL_DESC_FOOT_ACTION": "ACTION/ENTER VEHICLE"
"CELL_OPTION_END": "END"
"HASH_1FEFDA11": "You must be connected to the internet and GOG must not be in offline mode in order to use online features."
"SAVELOAD_LOAD_ABORT": "RESUME WITHOUT LOADING"
"SAVELOAD_CORRUPT_DISPLAY_NAME": "DAMAGED SAVEGAME"
"PHONE_OPTION_2": "PHONE BOOK"
"MENU_AUDIO_AMBIENCE": "AMBIENCE"
"INFO_OBJECTIVES_TITLE": "OBJECTIVES"
