// extra_dumps ref: static - JP/CZ reference for keys in extra_static_us.txt
"STAT_DRIVING_TWOWHEELS": "JP: 片輪走行 || CZ: JÍZDA PO DVOU KOLECH"
"STAT_MAX_STUNT_JUMP_HEIGHT": "JP: ジャンプ最高到達高度 || CZ: MAXIMÁLNÍ VÝŠKA SKOKU"
"ESCORT_NAME_24B": "JP: スクーター || CZ: SKÚTR"
"STORE_INVENTORY_EMPTY": "JP: 買うものがありません！ || CZ: Nic dalšího už koupit nemůžeš!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "JP: クリアしたゲンキ博士 || CZ: DOKONČENÉ MISE PROF. GENKI"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "JP: クリアしたタンクメイヘム || CZ: DOKONČENÉ MISE TANKOVÝ MASAKR"
"STAT_SECRET_AREAS_FOUND": "JP: 発見した隠しエリア || CZ: NALEZENÁ TAJNÁ MÍSTA"
"TAT_REG_R_LEG": "JP: 右脚 || CZ: PRAVÁ NOHA"
"HORDE_MODE_TITLE_COMPLETE": "JP: ウェーブ{0}クリア || CZ: VLNA {0} DOKONČENA"
"ESCORT_NAME_26B": "JP: セント・ジェームス || CZ: svatý Jakub"
"WPN_STORE_THROWN_TITLE": "JP: 投てき武器 || CZ: VRHACÍ"
"STAT_MONEY_PALLETS_FOUND": "JP: 見つけたキャッシュの山 || CZ: NALEZENÉ BALÍČKY S PENĚZI"
"STAT_UNIQUE_VEHICLES_DRIVEN": "JP: 運転した改造車 || CZ: ŘÍZENÉ UNIKÁTNÍ VOZY"
"STAT_SPECIAL_HIT_PCT": "JP: 特殊武器命中率 || CZ: PROCENTO ZÁSAHŮ SE SPECIÁLNÍMI ZBRANĚMI"
"STAT_DRIVING_BACKSEAT_RESPECT": "JP: ロードキルで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ŘÍZENÍ ZE ZADNÍ SEDAČKY"
"STAT_DRIVING_STOPPIE_RESPECT": "JP: ストッピーで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA JÍZDU PO PŘEDNÍM KOLE"
"STAT_MOST_HATED_GANG": "JP: 一番嫌いなギャング || CZ: NEJVĚTŠÍ NEPŘÍTEL"
"ESCORT_NAME_20B": "JP: マッドスライド || CZ: SESUV"
"GARAGE_CAT_3": "JP: 性能 || CZ: VÝKON"
"STAT_DRIVING_BIGAIR_HEIGHT": "JP: 最高到達点 || CZ: NEJVĚTŠÍ VÝŠKA"
"UNLOCKABLE_TITLE_CAPS": "JP: ロック解除 || CZ: ODEMČENO"
"GARAGE_CUST_NAME": "JP: RIM JOBS || CZ: RIM JOBS"
