// extra_dumps: static - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"STAT_DRIVING_TWOWHEELS": "TWO WHEELS"
"STAT_MAX_STUNT_JUMP_HEIGHT": "MAX JUMP HEIGHT"
"ESCORT_NAME_24B": "SCOOTER"
"STORE_INVENTORY_EMPTY": "There is nothing left to purchase!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: COMPLETED"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "TANK MAYHEM: COMPLETED"
"STAT_SECRET_AREAS_FOUND": "SECRET AREAS FOUND"
"TAT_REG_R_LEG": "R LEG"
"HORDE_MODE_TITLE_COMPLETE": "WAVE {0} COMPLETE"
"ESCORT_NAME_26B": "St. James"
"WPN_STORE_THROWN_TITLE": "THROWN"
"STAT_MONEY_PALLETS_FOUND": "MONEY PALLETS FOUND"
"STAT_UNIQUE_VEHICLES_DRIVEN": "UNIQUE VEHICLES DRIVEN"
"STAT_SPECIAL_HIT_PCT": "SPECIAL WEAPON HIT PERCENTAGE"
"STAT_DRIVING_BACKSEAT_RESPECT": "RESPECT EARNED FROM ROADKILL"
"STAT_DRIVING_STOPPIE_RESPECT": "RESPECT EARNED FROM STOPPIES"
"STAT_MOST_HATED_GANG": "MOST HATED GANG"
"ESCORT_NAME_20B": "MUDSLIDE"
"GARAGE_CAT_3": "PERFORMANCE"
"STAT_DRIVING_BIGAIR_HEIGHT": "MOST HEIGHT"
"UNLOCKABLE_TITLE_CAPS": "UNLOCKED"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPECT EARNED FROM THROWN KILLS"
"ESCORT_NAME_22B": "SPELUNKER"
"GARAGE_RETRIEVE_TEXT": "Do you really want to retrieve this vehicle?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "CAT & MOUSE: LONGEST KILL STREAK"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "HELI ASSAULT COMPLETED"
"STAT_DIVERSION_RESPECT_EARNED": "RESPECT EARNED IN DIVERSIONS"
"STAT_ENEMY_GANG_KILLED": "GANG KILLS"
"PCS_RETURN_MAIN": "RETURN TO MAIN MENU"
"STAT_HUMAN_SHIELD_KILLS": "HUMAN SHIELD KILLS"
"ESCORT_NAME_30A": "BLAZING"
"RADIO_STATION_GENX": "GENERATION X"
