​‍‍​​‍​‍​‍‍‍‍​​‍​‍​​‍​‍​​‍​​​​‍​​‍​‍​​‍‍​‍​‍​‍​‍​‍‍​​‍​​​‍​​​‍​​​‍​​‍​​‍​‍‍​‍​‍​​‍‍‍​​​​​​‍‍​‍‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍‍‍‍​​​​‍‍​‍​​​​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍​‍‍​‍​​‍‍‍​​‍‍‍​‍‍​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍‍​‍‍​​​‍‍​​​‍​​‍‍​‍‍‍​​‍​‍​​‍​​‍​‍​​​‍​‍‍​​​‍‍​‍‍​‍‍​‍​​‍‍‍​​‍​‍‍​‍​‍‍​‍‍​​‍​​​‍​‍​‍‍‍​‍​​‍‍‍​​‍‍​‍‍​​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​​‍‍​​​‍​‍​‍‍​​‍​​‍‍​​‍​​‍​‍​‍‍​​‍​​‍​‍​​‍​‍​​‍​​‍​​​​‍‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​‍​‍‍‍​‍​‍​‍‍​​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍‍​​​‍‍​​‍‍​‍​‍​‍​​‍‍​​​‍​‍​‍​​​‍​‍​​​‍​‍‍‍‍​‍​​‍​​‍‍‍‍​‍​‍​‍‍‍​‍​‍​‍​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍‍​​‍‍‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​‍‍​​​​​​‍‍​‍​‍​‍​​‍‍‍​​‍‍​‍​‍​​‍‍​‍​‍‍​​‍‍​‍​​​‍​​‍‍​​​‍​‍​‍​​​‍​‍‍​​‍​‍‍‍‍​​‍​‍​‍‍​‍​​‍‍​‍​‍​​‍​​‍‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍‍‍​‍​​‍​‍​​‍‍​‍​‍‍​‍​‍‍​‍​​‍‍​‍​‍​​‍‍​‍​​​​‍‍​‍​‍​​‍​​‍‍​‍​‍​​​​‍‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​‍​‍​​‍‍​‍‍​​​‍‍​​​‍‍​​‍‍​​‍​​‍​‍​‍‍​​‍‍‍‍​​‍​‍‍​​‍​​​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍​‍​‍‍​‍​‍​​​‍​​‍‍​​‍​​​‍‍‍​​‍​‍‍​‍​‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍​​​‍​‍​‍‍​‍​​‍​‍​​‍‍‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​​‍​​‍​​‍‍​‍​‍​​​‍​​​‍‍​​​‍‍​​‍‍​​‍​​‍​​‍‍​‍​​‍‍​​‍​​‍​​‍‍​‍​​‍‍​​​‍​‍​​‍‍‍​​‍‍‍‍​​‍​​‍‍​​​​​​‍‍​​‍​​‍​‍‍​‍​​‍‍​‍​‍​​‍​​‍‍​‍​‍‍‍‍​​​​‍​​‍‍​​​‍​‍​‍​​​‍​‍​​​‍​​‍‍​​​‍​‍​‍‍​​‍​‍‍‍‍​‍​​‍‍​​​‍‍​‍‍‍​‍​​​‍​‍‍​​‍​‍​‍​‍‍‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​‍‍‍‍​‍​‍​​‍‍​​‍‍​​​​​‍‍‍​‍‍‍​‍​‍‍​‍​​‍​‍​‍​​​‍‍​‍​​​​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍​‍​‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​​​‍​​​‍‍​​‍​​​‍‍​‍​​​​‍​​‍‍‍​​‍‍​‍‍​‍​‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​​‍​​​​‍‍​‍​​‍​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​​‍‍​‍​‍​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍‍‍​​‍‍​‍​‍​​‍‍​​​​​‍​‍​‍​‍​‍​​‍​​​​‍​​‍​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍​​​‍‍‍​‍​​​‍‍​​‍‍​‍‍‍​​‍​‍‍​​‍​‍​‍‍​​​​‍​‍​​‍​​‍‍‍​‍‍​​‍‍​​​‍‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​​‍‍​‍​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​‍‍​​‍‍​​​‍​‍​​​​‍​​‍​‍​​‍​​‍​​​‍​​​‍​‍​‍​‍​​‍‍​​​‍​‍​‍​‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍​​‍​​‍​‍​​‍‍​‍​‍​​​‍​‍​‍​‍‍​​‍​‍‍‍‍​​​​‍​​‍‍​‍​‍​​​‍​​​‍​​​​​‍​‍‍‍​‍‍‍​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​‍‍‍​​‍‍​‍​​‍​​‍​‍‍​‍‍​​​‍​​​​‍​​‍‍‍‍​​‍​‍‍​​​‍​​​‍‍​​‍‍​‍​​​​‍​​‍‍​‍​​​​‍​‍‍​‍​​​‍‍​​‍​​‍​​​‍‍​​​‍‍​​​​​‍​‍‍​‍​​‍​‍​‍​‍​‍‍​‍‍​​​‍​​​‍​‍​‍​​‍​​‍​‍‍​‍​‍​​‍‍​‍‍‍‍​‍‍​‍​​‍​‍​​‍‍​‍​‍​‍​‍​​​‍​​​‍​‍​‍‍‍‍​​​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍‍‍‍​‍​​‍‍​‍​‍‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍​​‍‍​‍​​‍‍​‍​‍​‍​‍‍​‍​​‍​‍​​‍‍​​‍‍​​​​​​‍‍​​​​​‍​​‍‍‍‍​‍​​​‍​​​‍‍​‍‍​​​‍‍​‍‍​​​‍​​‍‍​​​‍​‍​‍​​​‍‍​‍​‍‍​​‍‍​​‍​​‍​​‍‍‍‍​‍​‍​‍​​​‍‍​​‍‍‍​‍‍‍​‍​​​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍​‍​​‍‍​‍‍​‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​​‍​‍​‍‍‍​‍‍‍​‍​‍‍​​‍​‍‍​‍‍​‍​‍​‍​​‍​​‍‍​‍‍​‍​‍​​‍‍‍‍​‍​​​‍‍‍​‍​​‍‍​‍​‍‍‍​‍‍‍​‍​​‍​​‍​‍‍​‍​​‍​‍‍‍​‍‍‍​‍‍​‍​​‍​‍​‍​‍​‍​‍‍​‍‍​‍​‍​‍​‍‍​​‍‍‍‍​‍​​‍​‍‍​‍​​‍​‍‍​​​​‍​​‍​‍​​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​‍‍‍​‍​‍​​‍​​‍​​​‍​​​‍‍​​​‍​​​‍‍​​‍​​‍​‍​​‍​​‍‍​‍‍​​​‍​​‍‍​‍​‍‍​‍​​‍​‍​​‍​​‍​​‍‍​‍‍​​‍​​‍​​‍​‍‍​‍​‍​​‍​‍‍​​‍​‍‍‍​‍‍‍​‍​​‍‍‍​​‍‍‍‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​‍​‍​‍​​‍‍​​‍‍​‍​​‍‍​​​‍​‍​‍​​​‍​‍‍​‍​​‍‍​‍‍​‍​‍​​‍‍​‍​‍‍‍‍​‍​​‍​​​‍​‍​‍‍‍​‍​​​‍​​‍‍‍​​‍​​​‍​​​‍​‍​‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍‍‍‍​​‍​​‍‍​​​‍​‍‍​‍​​​​‍​‍‍​​‍​‍‍‍‍​‍​​‍​​‍‍​‍​​‍‍​‍​‍​‍​​‍‍​​​‍​‍​‍​​​‍​​​​‍​​‍‍​‍‍​​​‍​​‍‍‍‍​‍​​​‍‍‍​‍​​‍‍‍​​‍‍​‍​‍​​‍​​‍‍‍​​‍​‍​‍​​​‍‍​‍‍​​​‍‍​‍​‍‍​‍​​‍‍‍​​​‍‍​​‍​​‍​​​‍​‍​​‍‍​​‍​​‍​‍‍​‍​​‍​‍​​‍‍​‍​​‍​‍​​​‍‍‍​​‍​‍‍​​‍‍​​‍​‍​​​‍​​‍‍‍‍​‍​​‍‍‍‍​‍// extra_dumps: keys present in JP tables but absent in US tables
// format: "MODULE\KEY": "JP"  [CZ: ...]   (JP text decoded via charlist_jp)

// ===== activity =====
"activity\HASH_6F9BAA83": "始末したギャング幹部："  [CZ: ZABITÍ KAPITÁNI:]
"activity\HASH_C2FADF85": "[format][color:green]客[/format]を[format][color:teal]クラブ[/format]へ連れて行け"  [CZ: ZAVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]]
"activity\HASH_15FF3989": ""
"activity\HASH_6A207813": "縄張り奪回成功"  [CZ: ZÍSKAL JSI ČTVRŤ ZPĚT]
"activity\HASH_A7DFE599": ""
"activity\HASH_96FF1F21": "[format][color:green]客[/format]が腹を空かしている\n[format][color:teal]ファーストフード店[/format]へ連れて行け"  [CZ: [format][color:green]KLIENT[/format] MÁ HLAD. ZASTAV U NĚJAKÉHO [format][color:teal]RYCHLÉHO OBČERSTVENÍ[/format]]
"activity\HASH_F2632FA2": "[format][color:green]客[/format]を[format][color:teal]専門店[/format]へ連れて行け"  [CZ: ODVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]SEX SHOPU[/format]]
"activity\HASH_F32929A9": "奪回阻止成功"  [CZ: PŘEVRAT SE ZDAŘIL]
"activity\HASH_49748FAB": "[format][color:green]客[/format]が[format][color:teal]指定する場所[/format]で車を停めろ"  [CZ: ZASTAV NA MÍSTĚ, KTERÉ [format][color:green]KLIENT[/format] [format][color:teal]OZNAČIL[/format]]
"activity\HASH_289F1039": "[format][color:green]客[/format]が腹を空かしている\n[format][color:teal]COMPANY OF GYROS[/format]へ連れて行け"  [CZ: [format][color:green]KLIENT[/format] MÁ HLAD, ODVEZ HO DO [format][color:teal]COMPANY OF GYROS[/format]]
"activity\HASH_410CDA44": "[format][color:green]客[/format]を車に乗せて[format][color:teal]SAINTS ROW[/format]を案内しろ"  [CZ: PROJEĎ S [format][color:green]KLIENTEM[/format] [format][color:teal]SAINTS ROW[/format]]
"activity\HASH_DF9F0AC8": "%lsが攻撃されている"  [CZ: %ls JE POD ÚTOKEM]
"activity\HASH_CA158948": "[format][color:green]客[/format]を[format][color:teal]波止場地区[/format]へ連れて行け"  [CZ: ZAVEZ [format][color:green]KLIENTA[/format] NA [format][color:teal]NÁBŘEŽÍ[/format]]
"activity\HASH_7E62454A": "縄張りを放棄した"  [CZ: OPUSTIL JSI SVOU ČTVRŤ]
"activity\HASH_90E08F4D": "抗争中の地域を出る"  [CZ: OPOUŠTÍŠ BOJOVÉ ÚZEMÍ]
"activity\HASH_3662C1D0": "縄張りの奪回に失敗した"  [CZ: NEPODAŘILO SE TI ZÍSKAT SOUSEDSTVÍ ZPĚT.]
"activity\HASH_DBAAE25B": "この縄張りは抗争中だ"  [CZ: TATO ČTVRŤ JE POD ÚTOKEM]
"activity\HASH_391B5C61": "縄張り防衛失敗"  [CZ: OBRANA SOUSEDSTVÍ SKONČILA NEZDAREM]
"activity\HASH_755E0DE8": "[format][color:green]客[/format]を車に乗せて[format][color:teal]大学[/format]内を案内しろ"  [CZ: ZPROSTŘEDKUJ [format][color:green]KLIENTOVI[/format] PROHLÍDKU [format][color:teal]UNIVERZITY[/format]]
"activity\HASH_6F3F6AE9": "[format][color:green]客[/format]を[format][color:teal]MARINA[/format]へ連れて行け"  [CZ: ZAVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]ČTVRTI MARINA[/format]]
"activity\HASH_AF6B906A": "奪回阻止に失敗した"  [CZ: PŘEVRAT SE NEZDAŘIL]
"activity\HASH_7059B6EE": "次の[format][color:red]幹部[/format]を探せ"  [CZ: Přesuň se k další skupině [format][color:red]kapitánů[/format].]
"activity\HASH_E76B14F0": "奪回阻止に失敗した"  [CZ: PŘEVRAT SE NEZDAŘIL]
"activity\HASH_57E7C078": "[format][color:red]ギャングの幹部[/format]を全員殺せ"  [CZ: ZABIJ [format][color:red]KAPITÁNY GANGU[/format]]
"activity\HASH_DBD1BF7C": "%sを追い払った"  [CZ: %s ZAPUZENO]

// ===== hud =====
"hud\HASH_23ADDA1C": "{ANALOG_RS_IMG}でスペシャルスポットを見つけろ。\n{ANALOG_RS_IMG}を固定したまま、矢印に合わせてタイミングよく{ANALOG_LS_IMG}でスポットに当てろ"  [CZ: Pomocí tlačítka {ANALOG_RS_IMG} nejdříve najdi určené místo. \nPak {ANALOG_RS_IMG} uvolni a jakmile šipky dorazí k cíli, stiskni {ANALOG_LS_IMG}.]
"hud\HASH_74C7C670": "オートセーブ、ミッションのチェックポイント、自己最高スタントなどの街の探索に関する情報がここに表示される"  [CZ: Zde se objevují informace o automaticky uložených hrách, kontrolních bodech misí, nejlepších výkonech a o prozkoumávání světa.]

// ===== menu =====
"menu\HASH_CDE381B1": "オーディオ"  [CZ: ZVUK]

// ===== platform_pc =====
"platform_pc\HASH_D889CE89": "解像度"  [CZ: ZVOL ROZLIŠENÍ]
"platform_pc\HASH_11879627": "画質"  [CZ: KVALITA GRAFIKY]

// ===== static =====
"static\HASH_01D23301": "デスタグ：勝利"  [CZ: TAG SMRTI: VÍTĚZSTVÍ]
"static\Coop Col2_NAME": "協力プレイランキング"  [CZ: NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU]
"static\Partners in Crime_HOWTO": "協力プレイでストーリーミッションをすべてクリアする"  [CZ: KOOPERATIVNĚ DOKONČI VŠECHNY MISE V KAMPANI]
"static\Coop Meta Game Points_NAME": "メタゲームポイント"  [CZ: BODY ZA METAHRANÍ]
"static\Total Cop Kills_NAME": "警官キル合計"  [CZ: ZABITÝCH POLICAJTŮ]
"static\THQ": "THQ"  [CZ: THQ]
"static\Vehicle Jump Height_NAME": "最高高度"  [CZ: NEVYŠŠÍ SKOK]
"static\Time Played_NAME": "プレイ時間合計"  [CZ: CELKOVÝ ČAS HRANÍ]
"static\MainMenu": "メインメニューです"  [CZ: V HLAVNÍM MENU]
"static\HASH_9A7AD50B": "ドライブバイ評価"  [CZ: HODNOCENÍ AKCÍ Z JEDOUCÍHO AUTA]
"static\HASH_AE65D08C": "デスタグ：最高連続デス数"  [CZ: TAG SMRTI: NEJDELŠÍ SÉRIE ÚMRTÍ]
"static\Diversion Gold Stars_NAME": "ゴールドスター"  [CZ: ZLATÉ HVĚZDY]
"static\HASH_64463610": "スタイルレベル"  [CZ: ÚROVEŇ STYLU]
"static\HASH_4C1CDC12": "所有トレンチコート"  [CZ: VLASTNÍ PLÁŠŤ]
"static\SP Vehicle Jumps Col2_NAME": "車両ジャンプランキング"  [CZ: NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY]
"static\SP Diversion Stars Col3_NAME": "デバージョンランキング"  [CZ: NEJLEPŠÍ HRÁČI BOKOVEK]
"static\SP Time Col2_NAME": "プレイ時間ランキング"  [CZ: ŽEBŘÍČEK ČASU HRANÍ]
"static\Vehicle Jump Spin_NAME": "最大スピン"  [CZ: NEJLEPŠÍ PROTOČENÍ]
"static\SP Throw Distance_NAME": "投てき距離ランキング"  [CZ: NEJLEPŠÍ HRÁČI HODU]
"static\HASH_80C0A79A": "ランキングを変更する"  [CZ: ZMĚNIT ŽEBŘÍČEK]
"static\HeliAssault": "ヘリアサルト"  [CZ: ÚTOK ZE VZDUCHU]
"static\HASH_D4EBF91C": "クリアしたドライブバイのレベル"  [CZ: DOKONČENÉ ÚROVNĚ S AKCEMI Z JEDOUCÍHO AUTA]
"static\SP Diversion Stars Col1_NAME": "デバージョンランキング"  [CZ: NEJLEPŠÍ HRÁČI BOKOVEK]
"static\SP Kills Col2_NAME": "連続キルランキング"  [CZ: NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ]
"static\Vehicle Jump Distance_NAME": "ジャンプ最長距離"  [CZ: NEJLEPŠÍ DÉLKA SKOKU]
"static\HASH_269B6FA3": "デスタグ：1ラウンド最多キル"  [CZ: TAG SMRTI: NEJVÍCE ZABITÍ V KOLE]
"static\coop": "協力プレイ"  [CZ: KOOPERATIVNÍ REŽIM]
"static\Pimping": "スカウト"  [CZ: SOUBOJ PASÁKŮ]
"static\Genre string": "アクション"  [CZ: AKCE]
"static\Coop Col3_NAME": "協力プレイランキング"  [CZ: NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU]
"static\HASH_631F9AA8": "協力プレイ メタゲーム：ポイント"  [CZ: KOOPERATIVNÍ METAHRA: BODY]
"static\Coop Col1_NAME": "協力プレイランキング"  [CZ: NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU]
"static\HASH_BD9681AC": "協力プレイ メタゲーム：1ラウンド最多ポイント"  [CZ: KOOPERATIVNÍ METAHRA: NEJVÍCE BODŮ V KOLE]
"static\HASH_84FAC22D": "フラッシングで獲得したリスペクト"  [CZ: RESPEKT ZÍSKANÝ EXHIBICIONISMEM]
"static\HASH_2B28212F": "最長連続ハイドロ"  [CZ: NEJDELŠÍ SÉRIE HYDRAULIKY]
"static\SP Vehicle Jumps Col3_NAME": "車両ジャンプランキング"  [CZ: NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY]
"static\SP Diversion Stars Col2_NAME": "デバージョンランキング"  [CZ: NEJLEPŠÍ HRÁČI BOKOVEK]
"static\SP Time Col3_NAME": "プレイ時間ランキング"  [CZ: ŽEBŘÍČEK ČASU HRANÍ]
"static\HASH_745E5BB0": "デスタグ：最高連続キル数"  [CZ: TAG SMRTI: NEJDELŠÍ SÉRIE ZABITÍ]
"static\SP Kills Col1_NAME": "連続キルランキング"  [CZ: NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ]
"static\HASH_D25D9734": "ヒップショット最長距離"  [CZ: NEJDELŠÍ ODRAZ]
"static\Partners in Crime_NAME": "共犯者たち"  [CZ: PARTNEŘI VE ZLOČINU]
"static\vandalism": "メイヘム"  [CZ: VANDALSTVÍ]
"static\HASH_2B25A437": "フラッシングした人数"  [CZ: ŠOKOVANÍ LIDÉ]
"static\SPStronghold": "{C10}をプレイしています 拠点：{C6}"  [CZ: HRAJE: {C10}  PEVNOST: {C6}]
"static\SP Kills Col3_NAME": "連続キルランキング"  [CZ: NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ]
"static\SP Vehicle Jumps Col1_NAME": "車両ジャンプランキング"  [CZ: NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY]
"static\SP Time Col1_NAME": "プレイ時間ランキング"  [CZ: ŽEBŘÍČEK ČASU HRANÍ]
"static\Coop Time Played_NAME": "プレイ時間"  [CZ: ODEHRANÝ ČAS]
"static\SPMission": "{C10}をプレイしています ミッション：{C4}"  [CZ: HRAJE: {C10}  MISE: {C4}]
"static\Coop Player Kills_NAME": "プレイヤーキル"  [CZ: ZABITO HRÁČŮ]
"static\HASH_DF7D0B4B": "デスタグ：デス"  [CZ: TAG SMRTI: ÚMRTÍ]
