"ACT_WHORED_Z_AGRIZOOPHOBIA": "To spory problem."
"ACT_WHORED_Z_BDSM": "Nie miej wyrzutów, oni za to płacą."
"ACT_WHORED_BEERMUSCLES": "Twoje pięści to twoja najlepsza broń."
"ACT_WHORED_BRUTES_FAIL": "Miej się na baczności!"
"ACT_PIMPING_NAME": "PRZECHWYT"
"ACT_ACTIVITY_DESCRIPTION_1": "Najszybszym sposobem na zdobycie szacunu jest rozgrywanie AKCJI. "
"CHOPSHOP_VIEW_DETAILS": "WYŚWIETL SZCZEGÓŁY"
"ACT_TORCH_START_TEXT2": "ZBIERAJ DODATKOWE PUNKTY, PODPALAJĄC LUDZI I POJAZDY"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "WCIŚNIJ PRZYCISK {RECRUIT_DISMISS_IMG}, ABY ZREKRUTOWAĆ [format][color:green]KONTAKT[/format]"
"ACT_PIMPING_RETURN_TO_BROTHEL": "ZAWIEŹ [format][color:green]DZIWKI[/format] DO [format][color:teal]ZIMOSA[/format]"
"ACT_GUARDIAN_ANGEL_TITLE": "WYBÓR POZIOMU ANIOŁA STRÓŻA"
"ACT_WHORED_Z_SURVIVAL_HORROR": "Nie ma tu ziółek."
"ACT_WHORED_A_KEEP_AWAY": "Te zombie lubią wybuchać."
"ACT_WHORED_D_SR_DESIGN": "To alegoria."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "Wracaj do obszaru!"
"ACT_WHORED_MALLCOP": "Za prawo i sprawiedliwość!"
"ACT_RUNNING_MAN_BUTTON": "Nacisnąć przycisk?"
"STRONGHOLD_FAILURE_SUB_TEXT": "FORTECA NIEUDANA"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "[format][color:green]DZIWKI[/format] ZOSTAŁY ARESZTOWANE. WYCIĄGNIJ JE!"
"ACT_WHORED_Z_GROUP_RATE": "Opłaty są niebotyczne."
"ACT_WHORED_WEENIEROAST_FAIL": "Mięso się piecze przed włożeniem do ust."
"ACT_WHORED_NUTSHOTS": "Piącha w krocze."
"HORDE_LEVEL_ZOMBIE": "WYSPA ZOMBIE"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "DOBRA ROBOTA! GLINIARZE ZGUBILI ŚLAD."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "ŚRÓDMIEŚCIE"
"ACT_FRAUD_EARN_MONEY": "MOŻESZ ZARABIAĆ TYLKO WE WSKAZANYCH [format][color:teal]OBSZARACH KLUCZOWYCH[/format]"
"HASH_6F9BAA83": "ZABICI PORUCZNICY:"
"ACT_WHORED_A_AY_DIOS_MIO": "Duch lucha libre!"
"ACT_CHOP_SHOP_TITLE": "WYBÓR POZIOMU DZIUPLI"
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "POJAZD ZOSTAŁ ZNISZCZONY"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "PRZYWIEŹ [format][color:green]KONTAKTY[/format] Z POWROTEM"
"ACT_WHORED_Z_VEGAN": "Powstrzymaj mięsokalipsę."
"ACT_WHORED_Z_MURDER_BENDER": "Co się wydarzyło wczoraj w nocy."
"ACT_WHORED_MINIFURRIES_FAIL": "Urocza śmierć wgniotła cię w ziemię."
"ACT_WHORED_SONICBOOMSTICK": "Ta broń daje po uszach."
"ACT_WHORED_DRUNKEN_BOXING": "Jak się upijesz, będziesz mieć supersiłę."
"ACT_ESCORT_TIGER_START": "ROZPOCZNIJ ESKORTOWANIE TYGRYSA"
"ACT_FRAUD_GO_GET_HURT": "{ATTACK_PRIMARY_IMG} i {ATTACK_SECONDARY_IMG} służą do rzucania się. Im boleśniejszy rzut, tym więcej pieniędzy zarobisz"
"HASH_C2FADF85": "ZABIERZ [format][color:green]KLIENTA[/format] DO [format][color:teal]KLUBU ZE STRIPTIZEM[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Znacznie trudniej nauczyć się celować niż nauczyć się pić."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Czyżbyś poparzył sobie rączki?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "PROTIP: pełne doładowanie strzału rozwali przeciwnika na miejscu!"
"ACT_HITMAN_TITLE": "WYBÓR POZIOMU ZABÓJCY"
"ACT_TORCH_TIME_LABEL_TEXT": "CZAS"
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "Pomóż swoim [format][color:green]ziomalom[/format] dostać się do [format][color:blue]swojego celu[/format]."
"ACT_ESCORT_PI_SPAWNED": "UCIEKNIJ [format][color:red]PRYWATNEMU DETEKTYWOWI[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "Miejsce zostało wskazane."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Zacznij kroić."
"MISSION_FAILURE_DIED_TEXT": "NIE ŻYJESZ"
"ACT_ZOMBIE_HUD_SCORE": "WYNIK:"
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "CZAS MINĄŁ"
"ACT_CHOPSHOP_NONE": "BRAK DZIUPLI NA LIŚCIE"
"ACT_WHORED_Z_SUPER_SIZED": "Nikt nie potrzebuje tyle kofeiny."
"ACT_VANDAL_START_2_MSG": "DOKONAJ [format][color:red]ZNISZCZEŃ[/format] NA %ls PRZED UPŁYWEM CZASU"
"ACT_HELI_PROTECTION_START_MESSAGE": "TWOI [format][color:green]ZIOMALE[/format] POTRZEBUJĄ TWOJEJ OCHRONY"
"PAUSE_ACTIVITIES_READY": "Akcja dostępna."
"ACT_WHORED_Z_GIRLS_NIGHT": "Panie puszczają się tango."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "PREMIA ZA CYWILÓW"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "ZNISZCZ ANTENY SATELITARNE"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "NIEETYCZNE!"
"ACT_ZOMBIE_HUD_WAVE": "ETAP:"
"ACT_VANDAL_SUMMARY_PROPERTY": "MIENIE"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "[format][color:red]NABYWCA[/format] UCIEKŁ"
"ACTIVITY_LEVEL_SELECTION": "WYBÓR POZIOMU AKCJI"
"ACT_VANDAL_START_NO_DISTRICT": "Do roboty. Musisz zrobić jak największą rozpierduchę."
"ACT_VANDAL_GANG": "CZŁONEK GANGU"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "PREMIA ZA KRAJOWE SAMOCHODY"
"ACT_TRAFFIC_INVALID_VEHICLE": "KIEROWCA NIE BĘDZIE ROZWOZIŁ TOWARU W CZYMŚ TAKIM!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "ZATRZYMAJ [format][color:red]POJAZD[/format] I WYPROWADŹ [format][color:green]KONTAKTY[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "TO PUŁAPKA! ZWERBUJ TE [format][color:green]DZIWKI[/format] I UCIEKAJ."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "NAPASTNIK ZBLIŻA SIĘ Z [format][color:red]LEWEJ[/format] STRONY"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Za mało samochodów. Zdobądź więcej."
"ACT_WHORED_ROLLERHOS": "Uwaga na dziwki na wrotkach."
"ACT_WHORED_MINI_BRUTES": "Wielkie rzeczy bywają czasem całkiem małe."
"ACT_WHORED_DRINKING_GAME": "Im więcej zabijasz, tym bardziej trzeźwiejesz!"
"ACT_RUNNING_MAN_TRAP_KILL": "ZABÓJSTWO W PUŁAPCE"
