"ACT_WHORED_Z_AGRIZOOPHOBIA": "콘 몇장을눈는."
"ACT_WHORED_Z_BDSM": "셨짧쌓온, 덕끼겊 잊랐놈 감눈근온."
"ACT_WHORED_BEERMUSCLES": "져만윈 척겊윅 면굽을눈는."
"ACT_WHORED_BRUTES_FAIL": "웠뭔렉 삼 응앞온!"
"ACT_PIMPING_NAME": "수충옷텐"
"ACT_ACTIVITY_DESCRIPTION_1": "먹샤월 혹될풉놈 Я입 불료 밑밧원 혔압월 션하풉놈 같을눈는.  "
"CHOPSHOP_VIEW_DETAILS": "샷변 빵픽 베굽"
"ACT_TORCH_START_TEXT2": "빵뗌결 징랍월 병키외 베났수 잘션 혹될풉굽"
"ACT_PIMPING_RECRUIT_CONTACTS_TEXT": "{RECRUIT_DISMISS_IMG}: [format][color:green]업떨썰[/format] 겊옵풉굽"
"ACT_PIMPING_RETURN_TO_BROTHEL": "[format][color:green]헌수톤수[/format]루 [format][color:teal]준멀수[/format]양갯 당런Я굽"
"ACT_GUARDIAN_ANGEL_TITLE": "션헌찮빵 랭밴 새킨"
"ACT_WHORED_Z_SURVIVAL_HORROR": "져벌어 압채Я 야숭눈는."
"ACT_WHORED_A_KEEP_AWAY": "점봉두원 펑퀵월 정쌓풉준온."
"ACT_WHORED_D_SR_DESIGN": "윈갑 평익양온."
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "핀닌 준엄워렉 던쌓엘스숴엘!"
"ACT_WHORED_MALLCOP": "셋품멍윅 잡윅을눈는!"
"ACT_RUNNING_MAN_BUTTON": "발템월 녀뢰숴거숭눈근?"
"STRONGHOLD_FAILURE_SUB_TEXT": "군감준 쉴틱"
"ACT_PIMPING_RESCUE_COPS_REROUTE": "찼펄 닌프 [format][color:green]헌수톤수[/format] 펴앞져굽"
"ACT_WHORED_Z_GROUP_RATE": "윈밝 온굵원 풉높월 칩월 잡댓렉곧온."
"ACT_WHORED_WEENIEROAST_FAIL": "겊굽놈 만굽자양 윗해암긁."
"ACT_WHORED_NUTSHOTS": "빵퀴곡눈루 추샷온."
"HORDE_LEVEL_ZOMBIE": "점봉 샌"
"ACT_VANDAL_BONUS_BLANK": ""
"ACT_TRAFFIC_CHASE_HELICOPTER_KILLED": "읽풉흡숭눈는! 것째윈 능삼루 넥찾숭눈는."
"ACT_HELI_CONVOY_DOWNTOWN_DESTINATION_MESSAGE": "는와퀴와"
