"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"DARK_GREEN": "DUNKELGRÜN"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "AZTEKENVOGEL"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "ALTHERRENHUT"
"CUST_CAT_MAKEUP_MOUTH": "MUND"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "EINFARBIG"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "AUFGEKNÖPFTES ANZUGHEMD"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "KAMPFWESTE"
"CUST_CAT_HAIR": "HAARE"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "WASSERSTOFFBLOND"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "IRGENDWAS VERGESSEN?"
"CUST_COMP_FACE_WART_4": "WARZE 4"
"IRIDESCENT_1": "IRISIEREND 1"
"HAIR_COLOR_RED": "ROT"
"CUST_VARIANT_VEST_A": "STIL 1"
"CUST_WEAR_OPEN_TIE": "OFFEN MIT KRAWATTE"
"CUST_WEAR_UNZIPPED": "OFFEN"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "SCHWARZE-WITWE-OHRRINGE"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "STIRNHÖHE"
"CUST_COLOR_CLOTHING_RED_1": "ROT 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "PHANTOMHÖHLE 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "SHAUNDI-HOSE"
"CUST_INSULT_FIST": "GESCHÜTTELTE FAUST"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "OHRLÄPPCHENHÖHE"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "MUNDSEITEN"
"VEHICLE_COLOR_MOCHA_TAN": "MOCCHABRAUN"
"CUST_COLOR_ORANGE_1": "ORANGE 1"
"CUST_SKIN_SILVER": "SILBER"
"CUST_COLOR_CLOTHING_VIOLET_9": "VIOLETT 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "HELLLILA GETÖNT"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "SAMEDI-SPOTTGESTE 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "BLAUGRÜN 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Decke einen größeren Bereich ab."
"VEHICLE_COLOR_TINT_60": "60%% DECKKRAFT"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "ZUKUNFTSSOLDATENSTIEFEL"
"CUST_TATTOO_TORSO_CHEST": "BRUST"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "GESICHTSAUSDRUCK"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "NASENFLÜGELLÄNGE"
"RIM_SET_018": "FELGENSATZ 18"
"HAIR_COLOR_GRAY_MATTE": "MATTGRAU"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "URBAN SAFARI KNÖPF-SHIRT"
"CUST_VARIANT_HOOD_AND_POCKET": "KAPUZE MIT TASCHE"
"CUST_VARIANT_SILK": "SEIDE"
"CUST_VARIANT_LATEX": "LATEX"
"CUST_ITEM_IMPRESSIONS_MALE_O": "MANHATTAN STYLE"
"CUST_ITEM_CM_STAG": "STAG ELITE"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "KINNFORM"
"CUST_COLOR_CLOTHING_GREENS_3": "GRÜN 3"
"SLOT_BULL_HORNS": "STIERHÖRNER"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "UNI"
"CUST_SKIN_BLUE_3": "HIMMELBLAU"
"CUST_COMPLIMENT_X": "AN DIE DECKE"
"CUST_VARIANT_STYLE_B": "STIL 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "WELTRAUMPRINZESSINNEN-STIEFEL"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0 PILOTENBRILLE"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "MUSIK-JUNKIE"
"CUST_COLOR_GRAY_3": "GRAU 3"
"CUST_VARIANT_FADE_UP_JEANS": "VERBLASST"
"CUST_TATTOO": "TÄTOWIERUNG"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "AUGAPFELGRÖSSE"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "STIRNTIEFE"
"CUST_TATTOO_RARM_8": "EIN BISSCHEN VON ALLEM"
"VEHICLE_PAINT_HEROMATTE_PAINT": "MATT"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATTES MATERIAL"
"SLOT_GRILL_COLOR": "KÜHLERGRILLFARBE"
"SLOT_SIDE_MIRRORS": "SEITENSPIEGEL"
"SLOT_DECAL_2": "AUFKLEBER 2"
"CUST_VARIANT_BASIC": "EINFACH"
"CUST_CAT_MAKEUP": "MAKE-UP"
"CUST_COLOR_CLOTHING_BLUES_2": "BLAU 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ROTORANGE 4"
"VEHICLE_COLOR_MORPH_BROWN": "BRAUN"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STIL 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "FRAUENSCHWARM"
"CUST_CAT_BACKPACK": "RUCKSACK"
"STORE_WEAPON_LEVEL": "STUFE {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Erhöhe Schussfrequenz und Magazingröße. Das Laservisier verbessert die Zielgenauigkeit beim Schießen aus der Hüfte."
"CUST_VARIANT_DIRTY": "DRECKIG"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "NACHTCLUB-SHIRT"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "URBAN SAFARI OBERTEIL"
"CUST_FACIAL_ITEMS": "GEGENSTÄNDE"
"CUST_VARIANT_SMALL_HEARTS": "KLEINE HERZEN"
"CUST_VARIANT_GLOSSY": "GLÄNZEND"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "KOPF AB"
"CUST_EYE_COLOR": "AUGENFARBE"
"CUST_COLOR_CLOTHING_GREENS_7": "GRÜN 7"
"CUST_COMP_FACE_SCAR_3": "GROSSE NARBE 3"
"CUST_COLOR_BRUNETTE": "BRÜNETT"
"LOGO_MUSEUM_ART": "KUNSTMUSEUM"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI JACKE MIT T-SHIRT"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "RAWK-ARMBÄNDCHEN"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "WASSEREIMERGRAU"
"CUST_VARIANT_BOWTIE": "NORMAL"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "NIETENSTIEFEL"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "SAUBER"
"CUST_WEAR_UNZIPPED_HOOD_UP": "OFFEN, KAPUZE AUF"
"cm_toilet": "TOILETTE"
"CUST_ITEM_BANK_HEIST": "BANKÜBERFALL"
"CUST_MENU_GLOBAL": "KÖRPER"
"PLAYER_MORPH_EAR_LOBE_TEXT": "OHRLÄPPCHEN"
"VEHICLE_COLOR_BLUE_DARK_TINT": "DUNKELBLAU GETÖNT"
"CUST_VARIANT_LIGHT_SILVER": "HELLES SILBER"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "BRUDERKÄPPI"
"CUST_ITEM_CM_BASIC_PARACHUTE": "EINFACHER FALLSCHIRM"
