"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"DARK_GREEN": "VERDE OSCURO"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "PÁJARO AZTECA"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GORRA DE ABUELO"
"CUST_CAT_MAKEUP_MOUTH": "BOCA"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "SÓLIDO"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "LO MÁS CHIC"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "CHALECO DE TODOPODEROSO"
"CUST_CAT_HAIR": "CABELLO"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "MODERNITO"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "BLANCO PLATINO"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "OLVIDÉ ALGO"
"CUST_COMP_FACE_WART_4": "VERRUGA 4"
"IRIDESCENT_1": "IRIDISCENTE 1"
"HAIR_COLOR_RED": "ROJO"
"CUST_VARIANT_VEST_A": "ESTILO 1"
"CUST_WEAR_OPEN_TIE": "ABIERTA CON CORBATA"
"CUST_WEAR_UNZIPPED": "CREM. BAJADA"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "PENDIENTES VIUDA NEGRA"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "ALTURA FRENTE"
"CUST_COLOR_CLOTHING_RED_1": "ROJO 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "CUEVA FANTASMA 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "BRAGA DE SHAUNDI"
"CUST_INSULT_FIST": "NO ME TIEMBLA EL PULSO"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "ALTURA LÓBULOS"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "LATERALES DE BOCA"
"VEHICLE_COLOR_MOCHA_TAN": "MORENO SALÓN DE BELLEZA"
"CUST_COLOR_ORANGE_1": "NARANJA 1"
"CUST_SKIN_SILVER": "PLATA"
"CUST_COLOR_CLOTHING_VIOLET_9": "VIOLETA 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "TINTE MORADO CLARO"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "PROVOCACIÓN DE LOS SAMEDI 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "VERDE AZULADO 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Afecta un área mayor."
"VEHICLE_COLOR_TINT_60": "TINTE 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "BOTAS DE SOLDADO DEL FUTURO"
"CUST_TATTOO_TORSO_CHEST": "PECHO"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "EXPRESIÓN FACIAL"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "LONGITUD ORIFICIO NASAL"
