"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"DARK_GREEN": "VERT FONCÉ"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "OISEAU AZTÈQUE"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "CASQUETTE DE GRAND-PÈRE"
"CUST_CAT_MAKEUP_MOUTH": "BOUCHE"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "SOLIDE"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "IMPERTURBABLE"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "VESTE PUISSANTE"
"CUST_CAT_HAIR": "CHEVEUX"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "DÉCOLORÉ"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "T'AS OUBLIÉ QUELQUE CHOSE?"
"CUST_COMP_FACE_WART_4": "VERRUE 4"
"IRIDESCENT_1": "IRISÉS 1"
"HAIR_COLOR_RED": "ROUGES"
"CUST_VARIANT_VEST_A": "STYLE 1"
"CUST_WEAR_OPEN_TIE": "OUVERTE AVEC CRAVATE"
"CUST_WEAR_UNZIPPED": "NON FERMÉ"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "VEUVES NOIRES"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "HAUTEUR DU FRONT"
"CUST_COLOR_CLOTHING_RED_1": "ROUGE 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "GROTTE FANTÔME 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "CULOTTE DE DÉESSE"
"CUST_INSULT_FIST": "SECOUSSE"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "HAUTEUR DES LOBES"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "CÔTÉS DE LA BOUCHE"
"VEHICLE_COLOR_MOCHA_TAN": "BEIGE MOKA"
"CUST_COLOR_ORANGE_1": "ORANGE 1"
"CUST_SKIN_SILVER": "ARGENT"
"CUST_COLOR_CLOTHING_VIOLET_9": "VIOLET 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "TEINTE VIOLET CLAIR"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "VANNE SAMEDI 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "BLEU-VERT 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Touche une plus grande surface."
"VEHICLE_COLOR_TINT_60": "TEINTE 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "BOTTES SOLDAT DU FUTUR"
"CUST_TATTOO_TORSO_CHEST": "TORSE"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "EXPRESSION FACIALE"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "LONGUEUR DES NARINES"
"RIM_SET_018": "PACK JANTES 18"
"HAIR_COLOR_GRAY_MATTE": "GRIS MAT"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "CHEMISE \"SAFARI URBAIN\""
"CUST_VARIANT_HOOD_AND_POCKET": "CAPUCHE ET POCHE"
"CUST_VARIANT_SILK": "SOIE"
"CUST_VARIANT_LATEX": "LATEX"
"CUST_ITEM_IMPRESSIONS_MALE_O": "STYLE MANHATTAN"
"CUST_ITEM_CM_STAG": "ÉLITE STAG"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "FORME DU MENTON"
"CUST_COLOR_CLOTHING_GREENS_3": "VERT 3"
"SLOT_BULL_HORNS": "CORNES DE TAUREAU"
"LOGO_UNIVERSITY_4": "U STILWATER 4"
"CUST_VARIANT_NO_DECALS": "UNI"
"CUST_SKIN_BLUE_3": "BLEU CIEL"
"CUST_COMPLIMENT_X": "FAIS PÉTER"
"CUST_VARIANT_STYLE_B": "STYLE 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "BOTTES DE PRINCESSE DE L'ESPACE"
