"CUST_ITEM_CF_HAIR_MED": "セミロング"
"DARK_GREEN": "ダークグリーン"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "アステカの鳥"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "ドライビングキャップ"
"CUST_CAT_MAKEUP_MOUTH": "口"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "無地"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "コートジャケット&シャツ（ボタン開）"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "バトルベスト"
"CUST_CAT_HAIR": "髪の毛"
"CUST_GANG_PUNK": "パンク"
"CUST_COMP_MUSTACHE_28": "ヒップスター"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "ブリーチブロンド"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "ワーストケースシューズパンツ"
"CUST_COMP_FACE_WART_4": "イボ4"
"IRIDESCENT_1": "レインボー1"
"HAIR_COLOR_RED": "レッド"
"CUST_VARIANT_VEST_A": "スタイル1"
"CUST_WEAR_OPEN_TIE": "オープンネクタイ"
"CUST_WEAR_UNZIPPED": "ジッパー開"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "ブラックスパイダーピアス"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "おでこの広さ"
"CUST_COLOR_CLOTHING_RED_1": "レッド1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "PHANTOM CAVE 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "セインツパンティ"
"CUST_INSULT_FIST": "拳振り"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "耳たぶの高さ"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "口の横"
"VEHICLE_COLOR_MOCHA_TAN": "モカタン"
"CUST_COLOR_ORANGE_1": "オレンジ1"
"CUST_SKIN_SILVER": "シルバー"
"CUST_COLOR_CLOTHING_VIOLET_9": "バイオレット9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "ライトスモーク（パープル）"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "サムディ挑発3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "ブルーグリーン4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "効果範囲が広がります"
"VEHICLE_COLOR_TINT_60": "スモーク60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "ストームソルジャーブーツ"
"CUST_TATTOO_TORSO_CHEST": "胸部"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "表情"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "鼻腔の長さ"
"RIM_SET_018": "リムセット18"
"HAIR_COLOR_GRAY_MATTE": "グレー（マット）"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "アーバンサファリカラーシャツ"
"CUST_VARIANT_HOOD_AND_POCKET": "ポケット付きフード"
"CUST_VARIANT_SILK": "シルク"
"CUST_VARIANT_LATEX": "ラテックス"
"CUST_ITEM_IMPRESSIONS_MALE_O": "マンハッタンスタイル"
"CUST_ITEM_CM_STAG": "STAGエリート"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "顎の形"
"CUST_COLOR_CLOTHING_GREENS_3": "グリーン3"
"SLOT_BULL_HORNS": "ブルホーン"
