"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"DARK_GREEN": "DONKERGROEN"
"LOGO_VOLITION_5": "VOLITION 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "AZTEEKSE VOGEL"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "OPAHOED"
"CUST_CAT_MAKEUP_MOUTH": "MOND"
"LOGO_UNDERGROUND": "99 UNDERGROUND"
"CUST_VARIANT_CMBOT_USCRUBS01": "GEDEKT"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "KOMKOMMER COOL"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "KRACHTIG VEST"
"CUST_CAT_HAIR": "HAAR"
"CUST_GANG_PUNK": "PUNK"
"CUST_COMP_MUSTACHE_28": "HIPSTER"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "GEBLONDEERD"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "IETS VERGETEN?"
"CUST_COMP_FACE_WART_4": "WRAT 4"
"IRIDESCENT_1": "REGENBOOGKLEURIG 1"
"HAIR_COLOR_RED": "ROOD"
"CUST_VARIANT_VEST_A": "STIJL 1"
"CUST_WEAR_OPEN_TIE": "OPEN MET DAS"
"CUST_WEAR_UNZIPPED": "OPENGERITST"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "ZWARTE WEDUWE-OORBELLEN"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "HOOGTE VOORHOOFD"
"CUST_COLOR_CLOTHING_RED_1": "ROOD 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "SPOKENGROT 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "SHAUNDI-SLIP"
"CUST_INSULT_FIST": "GESPANNEN VUIST"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "HOOGTE OORLEL"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "ZIJKANTEN MOND"
"VEHICLE_COLOR_MOCHA_TAN": "MOKKA"
"CUST_COLOR_ORANGE_1": "ORANJE 1"
"CUST_SKIN_SILVER": "ZILVER"
"CUST_COLOR_CLOTHING_VIOLET_9": "PAARS 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "LICHTPAARSE TINT"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "SAMEDIBELEDIGING 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "BLAUWGROEN 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "Beïnvloed een groter gebied."
"VEHICLE_COLOR_TINT_60": "TINT 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "LAARZEN TOEKOMSTSOLDAAT"
"CUST_TATTOO_TORSO_CHEST": "BORST"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "GEZICHTSUITDRUKKING"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "LENGTE NEUSGATEN"
"RIM_SET_018": "VELGSET 18"
"HAIR_COLOR_GRAY_MATTE": "MATGRIJS"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "URBAN SAFARI OVERHEMD"
"CUST_VARIANT_HOOD_AND_POCKET": "CAPUCHON MET ZAKKEN"
"CUST_VARIANT_SILK": "ZIJDE"
"CUST_VARIANT_LATEX": "RUBBER"
"CUST_ITEM_IMPRESSIONS_MALE_O": "MANHATTANSTIJL"
"CUST_ITEM_CM_STAG": "STAG ELITE"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "VORM KIN"
"CUST_COLOR_CLOTHING_GREENS_3": "GROEN 3"
"SLOT_BULL_HORNS": "KOEHOORNS"
"LOGO_UNIVERSITY_4": "STILWATER U 4"
"CUST_VARIANT_NO_DECALS": "EFFEN"
"CUST_SKIN_BLUE_3": "HEMELSBLAUW"
