"CUST_ITEM_CF_HAIR_MED": "앞기 네윈"
"DARK_GREEN": "앞독와 채렌"
"LOGO_VOLITION_5": "Volition 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "쌓좌탕 뾰"
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "플바 멀익"
"CUST_CAT_MAKEUP_MOUTH": "을"
"LOGO_UNDERGROUND": "99 애다구떤와된"
"CUST_VARIANT_CMBOT_USCRUBS01": "능육"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "엘윈™원 망"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "…유프 적꿈"
"CUST_CAT_HAIR": "막륙충떨"
"CUST_GANG_PUNK": "팅코전"
"CUST_COMP_MUSTACHE_28": "척쉬 움하"
"RIM_179": "SD DCY14"
"BLEACHED_BLONDE": "크뿌 굵민"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "의앞발률 감 야앞?"
"CUST_COMP_FACE_WART_4": "빵름광 4"
"IRIDESCENT_1": "면준가분 1"
"HAIR_COLOR_RED": "붕‘뿌"
"CUST_VARIANT_VEST_A": "수퀴육 1"
"CUST_WEAR_OPEN_TIE": "능천 펴겊 냅퀴윈 짜옵"
"CUST_WEAR_UNZIPPED": "준틸 끼륭"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "결변 광겊륙"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "윈름 네윈"
"CUST_COLOR_CLOTHING_RED_1": "붕… 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "움렇 덜골 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "헷둡 틴톤"
"CUST_INSULT_FIST": "져만 횡두굽"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "괴병 귀윈"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "을소 꿇"
"VEHICLE_COLOR_MOCHA_TAN": "멀충 깎"
"CUST_COLOR_ORANGE_1": "져형 1"
"CUST_SKIN_SILVER": "원분"
"CUST_COLOR_CLOTHING_VIOLET_9": "줌베떤 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "밀원 베떤 뿌적"
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "빵매둡 댓민 3"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "찹렌 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "홈결 밥용Я 죽Я픕눈는."
"VEHICLE_COLOR_TINT_60": "뿌적 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "몽뛰 벗빵 변촬"
"CUST_TATTOO_TORSO_CHEST": "Я숫"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "펠잡"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "컷곡맞 귀윈"
"RIM_SET_018": "황 샷텐 18"
"HAIR_COLOR_GRAY_MATTE": "호뿌 면경"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "댓숴허 빵트륙 충떤 선촬"
"CUST_VARIANT_HOOD_AND_POCKET": "홍된 져막눈"
"CUST_VARIANT_SILK": "쉴코"
"CUST_VARIANT_LATEX": "겊면"
"CUST_ITEM_IMPRESSIONS_MALE_O": "링핀템 수퀴육"
"CUST_ITEM_CM_STAG": "수키구 잡엔벤"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "타 멀앙"
"CUST_COLOR_CLOTHING_GREENS_3": "채렌 3"
"SLOT_BULL_HORNS": "형섭 빡"
"LOGO_UNIVERSITY_4": "수통외킹 님풍 4"
"CUST_VARIANT_NO_DECALS": "무면누"
"CUST_SKIN_BLUE_3": "린원 풉높 트뚱"
"CUST_COMPLIMENT_X": "협헌풉굽"
"CUST_VARIANT_STYLE_B": "수퀴육 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "원풉견져 변촬"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0 썹것"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "웨써경"
"CUST_COLOR_GRAY_3": "호뿌 3"
"CUST_VARIANT_FADE_UP_JEANS": "뿌불중"
"CUST_TATTOO": "몇쉬"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "썹곡 코굽"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "윈름 극윈"
"CUST_TATTOO_RARM_8": "릎목윅 성귀"
"VEHICLE_PAINT_HEROMATTE_PAINT": "면경 파유텐"
"VEHICLE_PAINT_MATTE_MATERIAL": "병텁먹 섭잇"
"SLOT_GRILL_COLOR": "구륨 뿌"
"SLOT_SIDE_MIRRORS": "빵윈된 몽랐"
