"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Verkleide dich als Morgenstern-Soldat."
"DLC2_OUTRO_PC_09": "Huah!"
"HOMIE_DLC2_KWILANNA": "JENNY"
"UNL_DESC_DLC2_VEHICLE_ALIEN_SHIP": "In deiner Domizil-Garage steht nun das Aegean-Raumschiff zur Verfügung"
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "FAHRZEUG - AEGEAN"
"UNL_DLC2_STORY01_ALERT": "GANGSTER IM WELTRAUM"
"CUST_ITEM_ZOMBIE_HAT_M_MASK": "ZOMBIE-MASKE 2"
"DLC2_ACHIEVE_SR3_XENAPHOBE": "Xenaphobie"
"DLC2_OUTRO_PC_19": "Oh, tja. Ich schätze, der Dreh ist beendet."
"DLC2_WPN_AUTOLASER_DESCRIPT": "DIE SCHNELLFEUERWAFFE DER WELTRAUM-AMAZONEN-VETERANEN"
"CUST_ITEM_DLC_SUIT_SLASHER": "DER SLASHER"
"DLC2_M03_GOTO_SECOND_TRANSMITTER": "BEGIB DICH ZUM [format][color:location]ZWEITEN TRANSMITTER[/format]"
"DLC2_M03_GOTO_FIRST_TRANSMITTER": "BEGIB DICH ZUM [format][color:location]ERSTEN TRANSMITTER[/format]"
"DLC2_M02_DESTROY_CONSOLE": "ZERSTÖRE DIE [format][color:kill]KONSOLE[/format]"
"DLC2_OUTRO_KWILANNA_03": "Blöder Arschwichser, blöder Idiot ..."
"DLC2_INTRO_PC_03": "Ich werde diesen Hurensohn UMLEGEN ..."
"CUST_GANG_ALIENS": "ALIEN"
"CM_MSSPCL_EYES": "MORGENSTERN-SPEZIALISTENBRILLE"
"CUST_ITEM_LUSPEC_SUIT": "LUCHADORES-SPEZIALIST"
"DLC2_M03_PERFORM_NEAR_CRASH": "BAUE EINEN FAST-UNFALL"
"DLC2_M03_UPLOAD_VIRUS": "VERTEIDIGE DICH, WÄHREND DER [format][color:protect]VIRUS[/format] HOCHGELADEN WIRD"
"DLC2_M01_OBJ_GO_TO_VEHICLE": "BEGIB DICH ZUM [format][color:use]FAHRZEUG[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS04": "Verkleide dich als Morgenstern-Spezialist."
"DLC2_OUTRO_DIRECTOR_16": "BIST DU TAUB? WAS ZUM TEUFEL GLAUBST DU, WAS DU DA MACHST?"
"DLC2_OUTRO_KWILANNA_13": "Ich mach nur, was du mir beigebracht hast."
"CUST_GANG_PENTHOUSE": "PENTHOUSE"
"HOMIE_DLC2_SPACE_BRUTINA": "SPACE BRUTINA"
"UNL_DESC_DLC2_ASSET05_OUTFITS03": "Mit Handschuhen, Masken und Füßen kannst du nun ebenso haarig werden wie ein Werwolf."
"CUST_ITEM_CM_DLC_SLASHER": "DER SLASHER"
"CUST_ITEM_ZOMBIE_HAT_F_MASK": "ZOMBIE-MASKE 1"
"DLC2_M03_FAIL_AIRCRAFT_DESTROYED": "DEIN FLUGZEUG WURDE ZERSTÖRT!"
"DLC2_M02_OBJ_MISSION_START": "BEGIB DICH ZUM [format][color:location]SET[/format]"
"DLC2_ACHIEVE_SR3_CAMERAMEN_DOWN": "Gewerkschaftsbekämpfer"
"UNL_DLC2_ITEM_MIND_CONTROL_HELMET": "GEGENSTAND - WELTRAUM-ALIEN-HELM"
"DLC2_M03_GET_IN_RANGE": "BEGIB DICH IN REICHWEITE DES [format][color:location]TRANSMITTERS[/format]"
"DLC2_M03_MISSION_NAME": "DAS IST NICHT IM DREHBUCH!"
"DLC2_M02_DESTORY_GENERATOR": "ZERSTÖRE DEN [format][color:kill]GENERATOR[/format]"
"DLC2_OUTRO_PC_10": "Okay, Jenny! Jenny, sprich mit mir!"
"CUST_ITEM_DLC_FOOT_SLASHER": "SLASHER-STIEFEL"
"DLC2_M03_TUT_ALIEN_AIRCRAFT": "{HELI_UP_IMG} STEIGFLUG\n{HELI_DOWN_IMG} SINKFLUG\n{VTOL_TRANSITION_IMG} FLUGMODUS WECHSELN"
"DLC2_M02_USE_MACHINE_TRG_MSG": "ABSCHALTEN"
"DLC2_M02_EXPLOSION_WARNING": "BEGIB DICH IN SICHERE ENTFERNUNG"
"DLC2_M01_OBJ_JUMP": "SPRINGEN"
"DLC2_M01_OBJ_GO_TO_ARMORY": "GEHE ZUM [format][color:location]HUBSCHRAUBERLANDEPLATZ DER GARDE[/format]"
"CUST_ITEM_DLC_SHOES_WEREWOLF": "WERWOLF-FÜSSE"
"UNL_DESC_DLC2_VEHICLE_SPACE_JET_BIKE": "In deiner Domizil-Garage steht nun das Scythe-Jetbike zur Verfügung"
"UNL_DLC2_GANG_ALIENS": "BANDENANPASSUNG"
"UNL_DLC2_ASSET05_CLOTHING": "GEGENSTÄNDE - HORRORMASKEN"
"CUST_ITEM_DLC_SUIT_DKRSPCL": "DECKERS-SPEZIALIST"
"CUST_ITEM_ZOMBIE_UBDY_M_SHIRT": "ZOMBIE-SHIRT"
"DLC2_ACHIEVE_SR3_SHOOT_THAT_GREEN_STUFF": "Rache des Navigators"
"DLC2_INTRO_KWILANNA_16": "Nee ... nur mich!"
"DLC2_INTRO_DIRECTOR_13": "WER IST DIESE STATISTIN UND WARUM SPRICHT SIE MIT MIR?"
"HOMIE_DESC_DLC2_SPACE_BRUTINA": "Diese extraterrestrische Schönheit hat mächtig Wumms."
"CUST_ITEM_DLC_GLOVES_WEREWOLF": "WERWOLF-HANDSCHUHE"
"UNL_DESC_DLC2_ASSET05_CLOTHING": "Noch mehr Masken für deine Horrorpack-Outfits."
"UNL_DLC2_ASSET05_ALERT": "HORRORPACK"
"UNL_DESC_DLC2_ASSET06_ALERT": "In Kleiderschrank und Waffenlager sind neue Inhalte zum Herunterladen verfügbar."
"CUST_ITEM_DLC_HAT_SKELETON": "SKELETTMASKE"
"DLC2_M03_EXECUTE_VIRUS": "FÜHRE DEN [format][color:kill]VIRUS[/format] AUS"
"DLC2_M03_DESTROY_SHIELDS": "ZERSTÖRE DIE [format][color:kill]TRANSMITTER-SCHILDE[/format]"
"DLC2_M02_GO_TO_BACKSTAGE": "GEHE IN DEN [format][color:location]BACKSTAGE-BEREICH[/format]"
"DLC2_M01_HUD_LEAVE_HELI_AREA": "DER REGISSEUR MÖCHTE, DASS DU VON NORDEN IN DEN BEREICH KOMMST"
"DLC2_M01_OBJ_DESTROY_PURSUERS": "ELIMINIERE DIE [format][color:kill]VERFOLGER[/format]"
"DLC2_ACHIEVE_SR3_BLOWING_THE_BUDGET": "Erster Kontakt"
"DLC2_OUTRO_PC_02": "Vorerst."
"DLC2_WPN_LASERCANNON_DESCRIPT": "EIN GEWEHR, DAS FÜR DIE ELITE DER WELTRAUM-AMAZONEN-KRIEGER RESERVIERT IST"
"cm_dkr01_suit": "DECKERS-SOLDAT"
"UNL_DLC2_HOMIE_SPACE_BRUTINA": "BEGLEITER - SPACE BRUTINA"
"UNL_DESC_DLC2_GANG_ALIENS": "Du kannst nun Weltraum-Aliens in deine Bande aufnehmen."
"DLC2_M02_BOARD_SAUCER": "BEGIB DICH AUF DAS [format][color:use]SCHIFF[/format]"
"DLC2_M02_PROGRESS_02": "NEUVERDRAHTUNG"
"DLC2_ACHIEVE_SR3_MAN_POWER": "Kriegerprinzessin"
"DLC2_OUTRO_PC_12": "Okay. Das scheint mir jetzt etwas übertrieben."
"DLC2_M02_RETURN_TO_HOMIE": "KEHRE ZU KWILANNA ZURÜCK"
"DLC2_M01_OBJ_GO_TO_CRIB": "FLÜCHTE ZUM [format][color:location]DOMIZIL[/format]"
"DLC2_INTRO_PC_08": "Also, ich würde mir nicht zu viele Gedanken machen. Drehs sind eher so die Sache von Shaundi oder Pierce. Ich muss echt kämpfen, um das Drehbuch in den Kopf zu bekommen."
"DLC2_INTRO_KWILANNA_04": "Ähm, Entschuldigung?"
