"UNL_DESC_DLC2_ASSET03_OUTFITS03": "モーニングスターソルジャーに変装しよう。"
"DLC2_OUTRO_PC_09": "おい！"
"HOMIE_DLC2_KWILANNA": "ジェニー"
"UNL_DESC_DLC2_VEHICLE_ALIEN_SHIP": "ガレージに宇宙船が追加された"
"UNL_DLC2_VEHICLE_ALIEN_SHIP": "AEGEAN"
"UNL_DLC2_STORY01_ALERT": "スペースギャングスタ"
"CUST_ITEM_ZOMBIE_HAT_M_MASK": "ゾンビマスク2"
"DLC2_ACHIEVE_SR3_XENAPHOBE": "ゼノフォビア"
"DLC2_OUTRO_PC_19": "ってことは　これで終わりだ"
"DLC2_WPN_AUTOLASER_DESCRIPT": "スペースアマゾンベテランの連射可能な銃"
"CUST_ITEM_DLC_SUIT_SLASHER": "スラッシャー"
"DLC2_M03_GOTO_SECOND_TRANSMITTER": "[format][color:location]第二トランスミッター[/format]へ行け"
"DLC2_M03_GOTO_FIRST_TRANSMITTER": "[format][color:location]第一トランスミッター[/format]へ行け"
"DLC2_M02_DESTROY_CONSOLE": "[format][color:kill]端末[/format]を破壊しろ"
"DLC2_OUTRO_KWILANNA_03": "ったく　ふざけやがって..."
"DLC2_INTRO_PC_03": "あの...　クソ野郎...　 ぶっ殺してやる"
"CUST_GANG_ALIENS": "エイリアン"
"CM_MSSPCL_EYES": "モーニングスタースペシャリストアイギア"
"CUST_ITEM_LUSPEC_SUIT": "ルチャドールスペシャリスト"
"DLC2_M03_PERFORM_NEAR_CRASH": "クラッシュすれすれのスタントを見せろ"
"DLC2_M03_UPLOAD_VIRUS": "[format][color:protect]ウイルス[/format]をアップロードする間護衛しろ"
"DLC2_M01_OBJ_GO_TO_VEHICLE": "[format][color:use]乗り物[/format]へ行け"
"UNL_DESC_DLC2_ASSET03_OUTFITS04": "モーニングスタースペシャリストに変装しよう。"
"DLC2_OUTRO_DIRECTOR_16": "聞こえてんのか　何やってんだお前！？"
"DLC2_OUTRO_KWILANNA_13": "言われたとおりにやっているだけです"
"CUST_GANG_PENTHOUSE": "ペントハウス"
"HOMIE_DLC2_SPACE_BRUTINA": "スペース・ブルティーナ"
"UNL_DESC_DLC2_ASSET05_OUTFITS03": "コーディネートが楽しめるグローブ、マスク、足で毛むくじゃらのモンスターに変身。"
"CUST_ITEM_CM_DLC_SLASHER": "スラッシャー"
"CUST_ITEM_ZOMBIE_HAT_F_MASK": "ゾンビマスク1"
"DLC2_M03_FAIL_AIRCRAFT_DESTROYED": "飛行機が破壊された！"
"DLC2_M02_OBJ_MISSION_START": "[format][color:location]セット[/format]へ行け"
"DLC2_ACHIEVE_SR3_CAMERAMEN_DOWN": "ユニオンバスター"
"UNL_DLC2_ITEM_MIND_CONTROL_HELMET": "洗脳ヘルメット"
"DLC2_M03_GET_IN_RANGE": "[format][color:location]トランスミッター[/format]の範囲に入れ"
"DLC2_M03_MISSION_NAME": "台本どおりにやれ！"
"DLC2_M02_DESTORY_GENERATOR": "[format][color:kill]ジェネレーター[/format]を破壊しろ"
"DLC2_OUTRO_PC_10": "ジェニー！　しっかりしろ！"
"CUST_ITEM_DLC_FOOT_SLASHER": "スラッシャーブーツ"
"DLC2_M03_TUT_ALIEN_AIRCRAFT": "{HELI_UP_IMG}高度を上げる\n{HELI_DOWN_IMG}高度を下げる\n{VTOL_TRANSITION_IMG}フライトモード変更"
"DLC2_M02_USE_MACHINE_TRG_MSG": "解除"
"DLC2_M02_EXPLOSION_WARNING": "安全な場所まで逃げろ"
"DLC2_M01_OBJ_JUMP": "ジャンプ"
"DLC2_M01_OBJ_GO_TO_ARMORY": "[format][color:location]警備隊のヘリポート[/format]へ行け"
"CUST_ITEM_DLC_SHOES_WEREWOLF": "ウェアウルフ足"
"UNL_DESC_DLC2_VEHICLE_SPACE_JET_BIKE": "ガレージにジェットバイクが追加された"
"UNL_DLC2_GANG_ALIENS": "ギャングカスタマイズ"
"UNL_DLC2_ASSET05_CLOTHING": "ホラーマスク"
"CUST_ITEM_DLC_SUIT_DKRSPCL": "デッカースペシャリスト"
"CUST_ITEM_ZOMBIE_UBDY_M_SHIRT": "ゾンビシャツ"
"DLC2_ACHIEVE_SR3_SHOOT_THAT_GREEN_STUFF": "航海士の復讐"
"DLC2_INTRO_KWILANNA_16": "いえ...　私です！"
"DLC2_INTRO_DIRECTOR_13": "誰だこのエキストラは？　なぜ俺に話しかけているんだ！？"
"HOMIE_DESC_DLC2_SPACE_BRUTINA": "女子力溢れる地球外生命体"
"CUST_ITEM_DLC_GLOVES_WEREWOLF": "ウェアウルフ手"
"UNL_DESC_DLC2_ASSET05_CLOTHING": "ホラーパックの衣服にぴったりのマスクがさらに登場"
"UNL_DLC2_ASSET05_ALERT": "ホラーパック"
"UNL_DESC_DLC2_ASSET06_ALERT": "クローゼットとガレージで新しいダウンロード コンテンツが利用できるようになった"
"CUST_ITEM_DLC_HAT_SKELETON": "スケルトンマスク"
"DLC2_M03_EXECUTE_VIRUS": "[format][color:kill]ウイルス[/format]を実行しろ"
"DLC2_M03_DESTROY_SHIELDS": "[format][color:kill]トランスミッターシールド[/format]を破壊しろ"
"DLC2_M02_GO_TO_BACKSTAGE": "[format][color:location]バックステージ[/format]へ行け"
"DLC2_M01_HUD_LEAVE_HELI_AREA": "ディレクターは北から入場して欲しいようだ"
"DLC2_M01_OBJ_DESTROY_PURSUERS": "[format][color:kill]追っ手[/format]を始末しろ"
"DLC2_ACHIEVE_SR3_BLOWING_THE_BUDGET": "ファーストコンタクト"
"DLC2_OUTRO_PC_02": "今のところ"
"DLC2_WPN_LASERCANNON_DESCRIPT": "スペースアマゾンエリートのスペシャルライフル"
"cm_dkr01_suit": "デッカーソルジャー"
"UNL_DLC2_HOMIE_SPACE_BRUTINA": "スペース・ブルティーナ"
"UNL_DESC_DLC2_GANG_ALIENS": "エイリアンを自分のギャングにできます"
"DLC2_M02_BOARD_SAUCER": "[format][color:use]宇宙船[/format]に乗れ"
"DLC2_M02_PROGRESS_02": "細工"
"DLC2_ACHIEVE_SR3_MAN_POWER": "アマゾネス"
"DLC2_OUTRO_PC_12": "わかった　少し極端な気もするが"
"DLC2_M02_RETURN_TO_HOMIE": "キウィラナの元へ戻れ"
"DLC2_M01_OBJ_GO_TO_CRIB": "[format][color:location]アジト[/format]へ逃げろ"
"DLC2_INTRO_PC_08": "そんなに張り切ることもない　カメラが撮ってるのはショーンディやピアースだ　こっちは台本を覚えるのに苦労してる"
"DLC2_INTRO_KWILANNA_04": "あの　すいません"
"CUST_ITEM_ALIEN_HAT": "洗脳ヘルメット"
"cm_msspcl_suit": "モーニングスタースペシャリスト"
"CUST_ITEM_MSFEM02_GLOVES": "モーニングスターグローブ"
"DLC2_M03_BARNSTORM_UNDER_BRIDGE": "[format][color:location]橋[/format]の下を飛行をしろ"
"DLC2_M01_FAIL_ESCAPE_CAR_DESTROYED": "脱出用の乗り物が破壊された！"
"DLC2_M01_NAME": "超速強烈スピード"
"DLC2_INTRO_KWILANNA_14": "いえ　私はキウィラナ役で..."
"DLC2_INTRO_DIRECTOR_11": "素晴らしい！　とてもリアルだ！　ばっちりキマるぞ！"
"DLC2_WPN_LASERCANNON": "レーザーキャノン"
"CUST_ITEM_LUSPEC_OUTFIT": "ルチャドールスペシャリスト"
"DLC2_M02_GET_PISTOL": "[format][color:use]レーザーピストル[/format]を入手しろ"
"DLC2_M01_OBJ_DEFEND_BULLDOG": "[color:defend][format]乗り物[/format]を守れ"
"DLC2_ACHIEVE_SR3_LIGHTS_CAMERA_ACTION": "ライツ！カメラ！アクション！"
"UNL_DESC_DLC2_ASSET03_OUTFITS01": "この完璧セットで、キルベインのルチャドールソルジャーに変装しよう。"
"DLC2_WPN_LASERPISTOL_DESCRIPT": "スペースアマゾンソルジャーのサイドアーム"
"CM_DKR02_OUTFIT": "デッカースペシャリスト"
"cm_dkr01_hdphones": "デッカーヘッドホン   "
"UNL_DLC2_ASSET05_OUTFITS02": "スラッシャー"
"CUST_ITEM_LUSPEC_MASK": "ルチャドールスペシャリストマスク"
"DLC2_M03_TUT_TITLE_NEAR_CRASH": "低空飛行"
"DLC2_M02_SEARCH_CODE": "[format][color:use]暗号[/format]を探せ"
"DLC2_M02_PLAYER_DESTROY_MACHINE": "[format][color:kill]洗脳装置[/format]を破壊しろ"
"DLC2_M01_HUD_JUMP": "ジャンプ"
"DLC2_ACHIEVE_SR3_PEW_PEW_PEW": "レーザー発射！"
"DLC2_ACHIEVE_SR3_NO_STUNTMAN_REQUIRED": "スタントは自分で"
"DLC2_OUTRO_KWILANNA_06": "あの野郎　ぶっ殺してやる！"
"DLC2_INTRO_PC_06": "それはいい事？　悪い事？"
"DLC2_M03_TUT_TITLE_ALIEN_AIRCRAFT": "宇宙船"
"DLC2_M03_DESTROY_SHIELD": "[format][color:kill]トランスミッターシールド[/format]を破壊しろ"
"DLC2_M02_GO_TO_SERVER": "[format][color:location]サーバー[/format]へ行け"
"DLC2_INTRO_PC_01": "あの野郎ぶっ殺してやる..."
"UNL_DLC2_ASSET06_VEHICLES": "ゲンキガールカー"
"DLC2_M03_GOTO_VIRUS_LOCATION": "[format][color:location]処刑場[/format]へ行け"
"DLC2_M02_MISSION_FAIL_HOMIE_DIED": "キウィラナが死んでしまった！"
"DLC2_M01_PRE_MISSION_OBJ": "[format][color:location]スタジオ[/format]へ行け"
"UNL_DESC_DLC2_ASSET03_OUTFITS06": "マット・ミラーのデッカースペシャリストに変装しよう。"
"DLC2_OUTRO_KWILANNA_11": "もうイヤ　あいつに狙われてるなんてもうイヤ　こんなに辛い目に合わされるのはイヤ　あのスカーフもすごくイヤ！　"
"DLC2_INTRO_DIRECTOR_18": "いいか！　この誰だかわからん女には絶対にジャマさせない！　自分らしさを出してくれれば　ばっちりキマるから"
"UNL_DESC_DLC2_GANG_PENTHOUSE": "ペントハウスペットをギャングに加えることができます"
"UNL_DLC2_GANG_PENTHOUSE": "ギャングカスタマイズ"
"CM_DKR01_OUTFIT": "デッカーソルジャー"
"UNL_DESC_DLC2_ASSET05_OUTFITS01": "このマスクと衣服セットでゾンビの仲間入り。"
"UNL_DESC_DLC2_ASSET06_VEHICLES": "ゲンキガールカー"
"CUST_ITEM_MSFEM02_SUIT": "モーニングスターソルジャー"
"DLC2_M02_SELF_DESTRUCT": "自爆装置起動"
"DLC2_M01_FAIL_KWILANNA_DISMISSED": "キウィラナと別れた！"
"DLC2_M01_OBJ_PREPARE_JUMP": "[color:location][format]ジャンプ[/format]の準備をしろ"
"DLC2_INTRO_KWILANNA_07": "からかわないでくださいよ　初めての作品で　セインツのリーダーの相手役だなんて！"
"DLC2_M02_APPROACH_SAUCER": "[format][color:location]宇宙船[/format]へ行け"
"DLC2_M01_OBJ_BREACH_HELIPORT": "[format][color:location]警備隊のヘリポート[/format]へ侵入しろ"
"DLC2_M02_KILL_BRUTINA": "エイリアンブルートを殺せ"
"DLC2_WPN_AUTOLASER": "オートレーザー"
"UNL_DESC_DLC2_HOMIE_KWILANNA": "ジェニーの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる"
"UNL_DLC2_HOMIE_KWILANNA": "ジェニー"
"CUST_ITEM_ZOMBIE_LBDY_M_PANTS": "ゾンビパンツ"
"DLC2_M02_WAIT_FOR_HOMIE": "[format][color:location]キウィラナ[/format]を待て"
"DLC2_OUTRO_PC_01": "地球は平和だ..."
"DLC2_INTRO_DIRECTOR_15": "何だと？　キウィラナ役には大物が来ると思っていたが"
"CUST_ITEM_DLC_HAT_DEVIL": "デビルマスク"
"DLC2_M03_ESCAPE": "信号の範囲に[format][color:location]入るな[/format]"
"DLC2_M02_PROGRESS_01": "ハッキング"
"DLC2_M02_APPROACH_MACHINE_COOP": "[format][color:location]洗脳装置[/format]へ行け"
"DLC2_M02_MISSION_NAME": "ハンガー18 1/2"
"HOMIE_DESC_DLC2_KWILANNA": "宇宙の彼方から来た助っ人"
"DLC2_M02_GET_FINAL_WEAPON": "[format][color:use]レーザーキャノン[/format]を入手しろ"
