"DLC3_OUTRO_08_TAG": "Tyč striptérky?"
"DLC3_INTRO_20_JIMMY": "Můžete se mi aspoň podepsat?"
"DLC3_INTRO_03_JIMMY": "Zklamali tě, Johnny... ale já tě nikdy nezklamu. Jsem tvůj nejvěrnější fanoušek."
"UNL_DESC_DLC3_STORY03_VEHICLES": "V garáži u bejváku na tebe čeká Torbitron."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "HOMIE - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat... přítel?"
"UNL_DLC3_STORY03_VEHICLES": "VEHICLE - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Mezi kontakty v telefonu najdeš Johnnyho Taga. Pomůže ti v boji."
"UNL_DLC3_STORY03_ALERT": "PROBLÉMY S KLONY..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "ZÍSKÁVÁŠ SUPERSCHOPNOSTI!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "Johnnyho stráž"
"DLC3_M01_GET_BACK_TO_CLUB": "VRAŤ SE K [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "Jo, jdeme na to!"
"DLC3_INTRO_15_JIMMY": "Tak to je kurva krutopřísný!"
"DLC3_INTRO_10_PIERCE": "Tak počkat! Tys naklonoval Gata?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "MUSÍŠ NA JIMMYHO ČEKAT UVNITŘ TECHNICALLY LEGAL"
"DLC3_M01_INTERROGATE_OWNER": "VYSLECHNI [format][color:use]MANAŽERA[/format]"
"DLC3_OUTRO_12_JIMMY": "Konec. Otazník?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Gatův přerostlý klon všem nakope zadele!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Divná věda"
"CUST_ITEM_DLC_UPP_WITCH": "RÓBA ČARODĚJKY"
"CUST_ITEM_DLC_HAT_WITCH": "KLOBOUK ČARODĚJKY"
"DLC3_M03_MISSION_NAME": "POŠLETE KLONY"
"DLC3_M03_DEFEND_TAG": "CHRAŇ [format][color:defend]TAGA[/format]"
"DLC3_INTRO_06_JIMMY": "Myslel jsem, že věcí, kterejch se dotkl, už mám dost."
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "BOTY ČARODĚJKY   "
"UNL_DLC3_CUST02_VEHICLES": "VOZIDLO - SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "OPOUŠTÍŠ TORBITRON!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "JIMMYHO AUTO BYLO ZNIČENO"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "KOMPLET - ČARODĚJKA"
"DLC3_M01_MISSION_NAME": "DIVNÁ VĚDA"
"DLC3_OUTRO_04_PLAYER": "Já vím, Johnny, já vím, ale - to napravíme!"
"DLC3_OUTRO_02_PIERCE": "Jo, teď se s ním chceš bavit rozumně."
"DLC3_INTRO_01_JIMMY": "Byla temná a bouřlivá noc..."
"DLC3_ACHIEVE_SR3_BAMF": "B.A.M.F."
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Ukaž světu, že být čarodějkou je nejen poslední výkřik módy, ale i životní styl."
"DLC3_WPN_FIREBALL": "DOLŮ DOPŘEDU NÍZKÝ ÚDER"
"DLC3_OUTRO_07_PLAYER": "No tak, kámo. Půjdeme zpátky domů."
"DLC3_INTRO_14_TAG": "Kde Shogo?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Fanoušky teď místo hlasu uzemňuje pěstmi."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Sosáčkama sosáme"
"DLC3_M01_INTERROGATE_GANG": "VYSLECHNI [format][color:use]PORUČÍKA[/format]"
