"DLC3_OUTRO_08_TAG": "Stripperstange?"
"DLC3_INTRO_20_JIMMY": "Kannst du mir wenigstens ein Autogramm geben?"
"DLC3_INTRO_03_JIMMY": "Die haben dich im Stich gelassen, Johnny ... aber ich werde das niemals tun. Ich bin dein Fan Nr. 1."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Der Torbitron steht dir nun in deiner Domizil-Garage zur Verfügung"
"UNL_DLC3_HOMIE_JOHNNY_TAG": "BEGLEITER - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat ... Freund?"
"UNL_DLC3_STORY03_VEHICLES": "FAHRZEUG - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Johnny Tag findet sich nun im Telefonbuch deines Handys. Er hilft den Saints im Kampf."
"UNL_DLC3_STORY03_ALERT": "DER ÄRGER MIT DEN KLONEN ..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "DU HAST SUPERKRÄFTE!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "Die Johnnywache"
"DLC3_M01_GET_BACK_TO_CLUB": "GEHE ZURÜCK ZUM [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "Ja, lass uns das machen!"
"DLC3_INTRO_15_JIMMY": "Das ist so verdammt abgefahren!"
"DLC3_INTRO_10_PIERCE": "Moment mal! Du hast Gat geklont?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "DU MUSST IM TECHNICALLY LEGAL AUF JIMMY WARTEN"
"DLC3_M01_INTERROGATE_OWNER": "BEFRAGE DEN [format][color:use]BESITZER[/format]"
"DLC3_OUTRO_12_JIMMY": "Das Ende. Fragezeichen?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Räume mit Gats überdimensionalem Klon kräftig auf!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Verrückte Wissenschaft"
"CUST_ITEM_DLC_UPP_WITCH": "HEXENMANTEL"
"CUST_ITEM_DLC_HAT_WITCH": "HEXENHUT"
