"DLC3_OUTRO_08_TAG": "¿Barra de stripper?"
"DLC3_INTRO_20_JIMMY": "¿No podéis darme un autógrafo al menos?"
"DLC3_INTRO_03_JIMMY": "Te fallaron, Johnny... yo no lo haré. Soy tu mayor fan."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Ya dispones del Torbitrón en el garaje de tu casa."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "COLEGA: JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "¿Gat... amigo?"
"UNL_DLC3_STORY03_VEHICLES": "VEHÍCULO: TORBITRÓN"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Puedes encontrar a Johnny Tag en el menú \"TELÉFONO\" de tu móvil. Ayudará a los Saints en combate."
"UNL_DLC3_STORY03_ALERT": "EL PROBLEMA DE LOS CLONES..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "¡TIENES SUPERPODERES!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "El guardián de Johnny"
"DLC3_M01_GET_BACK_TO_CLUB": "VUELVE A [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "¡Vale, hagámoslo!"
"DLC3_INTRO_15_JIMMY": "¡Esto mola un huevo!"
"DLC3_INTRO_10_PIERCE": "¡Espera! ¿Has clonado a Gat?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "TIENES QUE ESPERAR A JIMMY DENTRO DE TECHNICALLY LEGAL"
"DLC3_M01_INTERROGATE_OWNER": "INTERROGA AL [format][color:use]PROPIETARIO[/format]"
"DLC3_OUTRO_12_JIMMY": "¿Fin?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "¡Da caña con el clon gigantesco de Gat!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Ciencia extraña"
"CUST_ITEM_DLC_UPP_WITCH": "TÚNICA DE BRUJA"
"CUST_ITEM_DLC_HAT_WITCH": "GORRO DE BRUJA"
"DLC3_M03_MISSION_NAME": "ENVIAD A LOS CLONES"
"DLC3_M03_DEFEND_TAG": "DEFIENDE A [format][color:defend]TAG[/format]"
"DLC3_INTRO_06_JIMMY": "Pensé que bastaría con las cosas que había tocado."
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "BOTAS DE BRUJA  "
"UNL_DLC3_CUST02_VEHICLES": "VEHÍCULO: EL SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "¡HAS ABANDONADO EL TORBITRÓN!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "EL COCHE DE JIMMY HA SIDO DESTRUIDO"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "CONJUNTO: BRUJA"
"DLC3_M01_MISSION_NAME": "CIENCIA EXTRAÑA"
"DLC3_OUTRO_04_PLAYER": "Lo sé, lo sé, Johnny. ¡Pero podemos arreglarlo!"
"DLC3_OUTRO_02_PIERCE": "Oh, ahora quieres intentar razonar con él."
"DLC3_INTRO_01_JIMMY": "Era una noche oscura y tormentosa..."
"DLC3_ACHIEVE_SR3_BAMF": "H.P. con pintas"
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Demuestra al mundo que ser una bruja es más que una tendencia, es un estilo de vida."
"DLC3_WPN_FIREBALL": "PUÑETAZO CUASICIRCULAR"
"DLC3_OUTRO_07_PLAYER": "Venga, tío. Nos vamos a casa."
"DLC3_INTRO_14_TAG": "¿Y Shogo?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Ahora, usa los puños en vez de la voz para impactar a los fans."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Choque anafiláctico"
"DLC3_M01_INTERROGATE_GANG": "INTERROGA A LA [format][color:use]LUGARTENIENTE[/format]"
"DLC3_OUTRO_10_JIMMY": "Y así acaba la historia de nuestros intrépidos héroes. Unidos por los lazos que... eh... los unían."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Me pertenece, monstruo"
"UNL_DLC3_CUST02_CLOTHING": "OBJETOS: BRUJAS Y SALCHICHAS"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS MAMPORROW"
"DLC3_M02_FAIL_TRUCK_DEAD": "¡EL TORBITRÓN HA SIDO DESTRUIDO!"
"DLC3_M02_PROTECT_PIERCE": "PROTEGE A [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny, tío. ¡Intento ayudarte!"
"DLC3_M02_DEFEND_STAGE": "DEFIENDE EL [format][color:defend]ESCENARIO[/format]"
"DLC3_M01_LOOK_FOR_TAG": "INVESTIGA UN [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "Llevo meses recogiendo mierda. Su mierda."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "¡Supergenial!"
"DLC3_INTRO_19_PIERCE": "Aparca el puto culo, Jimmy. Déjaselo a los profesionales."
"DLC3_M02_FIND_TAG": "ENCUENTRA A [format][color:location]TAG[/format]"
"DLC3_OUTRO_05_PIERCE": "Sí, somos tus amigos, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "VE A [format][color:location]FRIENDLY FIRE[/format]"
