"DLC3_OUTRO_08_TAG": "Palo spogliarello?"
"DLC3_INTRO_20_JIMMY": "Potete farmi un autografo, almeno?"
"DLC3_INTRO_03_JIMMY": "Ti hanno deluso, Johnny... ma io non lo farò mai. Sono il tuo fan numero uno."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Ora hai il Torbitron a disposizione nel garage del tuo alloggio."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "AMICO - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat... amico?"
"UNL_DLC3_STORY03_VEHICLES": "VEICOLO - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Trovi Johnny Tag nel menu \"TELEFONO\" del tuo cellulare. Aiuterà i Saints in combattimento."
"UNL_DLC3_STORY03_ALERT": "PICCOLI PROBLEMI DI CLONI"
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "HAI I SUPERPOTERI!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "The Johnnyguard"
"DLC3_M01_GET_BACK_TO_CLUB": "TORNA AL [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "Già, facciamolo!"
"DLC3_INTRO_15_JIMMY": "Cazzo, che figata!"
"DLC3_INTRO_10_PIERCE": "Ferma tutto! Hai clonato Gat?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "DEVI ENTRARE AL TECHNICALLY LEGAL E ASPETTARE JIMMY"
"DLC3_M01_INTERROGATE_OWNER": "INTERROGA IL [format][color:use]PROPRIETARIO[/format]"
"DLC3_OUTRO_12_JIMMY": "Fine... punto interrogativo?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Spacca tutto con il clone extra-large di Gat!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Scienza da brivido"
"CUST_ITEM_DLC_UPP_WITCH": "ABITO DA STREGA"
"CUST_ITEM_DLC_HAT_WITCH": "CAPPELLO DA STREGA"
"DLC3_M03_MISSION_NAME": "FATE ENTRARE I CLONI"
"DLC3_M03_DEFEND_TAG": "DIFENDI [format][color:defend]TAG[/format]"
"DLC3_INTRO_06_JIMMY": "Credevo di avere abbastanza campioni."
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "STIVALI DA STREGA  "
"UNL_DLC3_CUST02_VEHICLES": "VEICOLO - SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "HAI ABBANDONATO IL TORBITRON!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "L'AUTO DI JIMMY È STATA DISTRUTTA"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "COMPLETO - STREGA"
"DLC3_M01_MISSION_NAME": "SCIENZA DA BRIVIDO"
"DLC3_OUTRO_04_PLAYER": "Lo so, Johnny, lo so. Ma possiamo risolvere tutto!"
"DLC3_OUTRO_02_PIERCE": "Oh, adesso vuoi ragionare con lui."
"DLC3_INTRO_01_JIMMY": "Era una notte buia e tempestosa..."
"DLC3_ACHIEVE_SR3_BAMF": "Ti spiezzo in due!"
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Mostra al mondo che essere una strega è uno stile di moda oltre che uno stile di vita."
"DLC3_WPN_FIREBALL": "MEZZALUNA E PUGNO"
"DLC3_OUTRO_07_PLAYER": "Forza, vecchio mio. Si torna a casa."
"DLC3_INTRO_14_TAG": "Dove Shogo?"
